ID_Solicitud,Riesgo,Ingreso_Estable,Buen_Historial,Tiene_Garantia
195,Muy alto,0,0,1
196,Alto,0,1,0
197,Bajo,1,1,1
198,Bajo,1,1,0
199,Alto,0,1,0
200,Bajo,1,0,1
201,Alto,1,0,1
202,Bajo,1,1,1
203,Muy alto,0,0,0
204,Medio,1,1,1
205,Alto,0,0,1
206,Medio,1,1,1
207,Bajo,1,1,0
208,Medio,1,1,1
209,Medio,1,0,1
210,Alto,1,1,1
211,Alto,0,0,0
212,Medio,1,1,1
213,Bajo,1,1,1
214,Alto,0,0,0
215,Muy alto,0,0,0
216,Bajo,1,1,0
217,Medio,1,1,1
218,Bajo,1,1,1
219,Bajo,0,1,0
220,Medio,1,1,1
221,Muy alto,0,0,0
222,Bajo,1,1,0
223,Alto,0,0,1
224,Alto,0,0,0
225,Medio,0,1,1
226,Alto,0,0,1
227,Bajo,1,0,1
228,Bajo,0,1,1
229,Bajo,1,1,1
230,Alto,0,1,0
231,Medio,0,1,1
232,Bajo,1,1,1
233,Medio,1,1,1
234,Bajo,1,0,1
235,Medio,1,1,1
236,Bajo,1,1,0
237,Medio,1,0,1
238,Bajo,1,1,1
239,Bajo,1,1,0
240,Bajo,1,1,1
241,Muy alto,0,0,0
242,Bajo,1,1,0
243,Alto,1,0,0
244,Alto,0,1,0
245,Medio,1,1,0
246,Muy alto,0,0,0
247,Bajo,1,1,1
248,Alto,1,0,1
249,Alto,0,0,0
250,Alto,1,1,0
251,Muy alto,0,1,1
252,Alto,1,1,1
253,Bajo,0,1,1
254,Bajo,1,1,1
255,Alto,0,0,1
256,Alto,0,0,0
257,Medio,0,1,1
258,Bajo,1,1,0
259,Muy alto,0,0,0
260,Muy alto,0,0,0
261,Muy alto,0,0,1
262,Medio,0,1,1
263,Muy alto,0,0,0
264,Medio,1,0,0
265,Alto,0,1,0
266,Alto,1,1,0
267,Alto,0,0,0
268,Bajo,1,1,1
269,Bajo,1,1,1
270,Alto,1,0,0
271,Medio,1,1,1
272,Alto,1,1,1
273,Muy alto,0,0,0
274,Bajo,1,1,1
275,Muy alto,0,0,0
276,Muy alto,0,0,0
277,Muy alto,0,0,0
278,Muy alto,0,0,1
279,Medio,0,1,1
280,Alto,1,1,0
281,Bajo,1,1,0
282,Muy alto,1,0,0
283,Bajo,1,1,0
284,Bajo,1,0,1
285,Medio,1,1,1
286,Medio,1,0,1
287,Bajo,1,1,0
288,Medio,1,1,0
289,Bajo,1,1,1
290,Alto,0,0,0
291,Alto,0,0,1
292,Alto,1,0,0
293,Alto,1,0,0
294,Medio,1,1,1
295,Medio,1,0,1
296,Alto,1,0,1
297,Alto,1,1,0
298,Medio,1,1,0
299,Medio,1,0,1
300,Bajo,1,1,1
301,Bajo,1,1,1
302,Medio,0,1,0
303,Muy alto,0,0,0
304,Medio,1,1,0
305,Alto,1,0,1
306,Alto,1,0,1
307,Medio,1,0,0
308,Muy alto,0,0,1
309,Muy alto,0,0,0
310,Alto,0,1,0
311,Alto,0,1,0
312,Medio,0,1,0
313,Muy alto,0,0,1
314,Muy alto,0,0,1
315,Muy alto,0,0,0
316,Muy alto,0,0,0
317,Bajo,1,1,0
318,Bajo,1,1,0
319,Medio,1,1,1
320,Bajo,1,1,0
321,Bajo,1,1,1
322,Alto,0,0,1
323,Bajo,1,1,1
324,Bajo,1,1,0
325,Alto,0,0,0
326,Medio,1,1,1
327,Alto,0,0,0
328,Alto,0,0,0
329,Muy alto,0,0,0
330,Alto,0,1,1
331,Medio,1,1,0
332,Medio,1,1,1
333,Medio,1,0,1
334,Bajo,1,1,1
335,Alto,0,1,0
336,Muy alto,0,0,0
337,Medio,1,1,1
338,Medio,1,1,1
339,Bajo,1,0,1
340,Medio,1,0,0
341,Medio,1,0,1
342,Alto,1,1,0
343,Medio,1,1,1
344,Medio,1,1,1
345,Alto,1,0,0
346,Alto,0,0,0
347,Medio,1,0,0
348,Bajo,1,1,1
349,Medio,1,1,1
350,Medio,1,1,1
351,Alto,1,0,0
352,Muy alto,0,0,0
353,Medio,0,1,1
354,Medio,1,1,1
355,Muy alto,1,0,0
356,Alto,1,0,1
357,Alto,0,1,1
358,Bajo,1,1,1
359,Muy alto,0,0,0
360,Medio,1,0,0
361,Medio,0,1,1
362,Bajo,1,1,1
363,Medio,1,1,1
364,Alto,1,0,1
365,Muy alto,1,0,1
366,Muy alto,1,0,1
367,Medio,1,1,0
368,Medio,1,0,1
369,Alto,0,1,0
370,Bajo,1,0,1
371,Bajo,1,1,1
372,Alto,0,1,0
373,Muy alto,0,0,0
374,Bajo,1,1,0
375,Bajo,1,1,1
376,Alto,1,0,0
377,Alto,0,1,0
378,Muy alto,0,0,1
379,Alto,1,1,0
380,Medio,1,0,0
381,Medio,1,1,0
382,Medio,1,1,1
383,Medio,1,1,0
384,Bajo,1,1,0
385,Alto,0,0,1
386,Medio,1,0,1
387,Bajo,1,1,0
388,Alto,0,1,1
389,Bajo,1,1,0
390,Alto,0,0,0
391,Alto,1,0,0
392,Bajo,1,1,0
393,Medio,1,1,1
394,Bajo,1,1,1
395,Muy alto,0,0,0
396,Alto,0,0,1
397,Medio,1,1,1
398,Bajo,1,1,0
399,Medio,1,1,0
400,Alto,1,0,1
401,Medio,1,1,0
402,Bajo,1,1,1
403,Alto,1,0,0
404,Medio,0,1,0
405,Medio,1,1,1
406,Medio,0,1,0
407,Alto,0,0,0
408,Bajo,1,1,1
409,Bajo,1,1,1
410,Muy alto,0,0,1
411,Alto,1,1,1
412,Medio,1,1,1
413,Muy alto,0,0,0
414,Bajo,1,1,1
415,Medio,1,1,1
416,Medio,1,0,1
417,Bajo,1,1,1
418,Medio,1,1,1
419,Bajo,1,1,1
420,Bajo,0,1,1
421,Medio,1,1,1
422,Medio,1,1,0
423,Bajo,1,1,1
424,Bajo,1,1,1
425,Bajo,1,1,0
426,Bajo,0,1,1
427,Bajo,1,1,1
428,Bajo,1,1,1
429,Medio,1,1,0
430,Alto,0,1,1
431,Bajo,1,1,1
432,Alto,0,0,1
433,Alto,0,0,0
434,Muy alto,0,0,0
435,Alto,0,0,0
436,Bajo,1,1,1
437,Medio,1,1,0
438,Medio,1,1,1
439,Bajo,1,1,0
440,Bajo,1,1,0
441,Medio,0,0,0
442,Muy alto,0,0,1
443,Bajo,1,1,1
444,Medio,1,0,0
445,Alto,1,0,1
446,Muy alto,1,1,1
447,Bajo,1,1,0
448,Medio,1,1,1
449,Alto,1,0,0
450,Medio,1,1,0
451,Medio,1,0,0
452,Alto,1,0,1
453,Bajo,1,1,1
454,Bajo,1,1,1
455,Alto,0,0,0
456,Alto,0,0,0
457,Medio,0,1,1
458,Alto,0,1,1
459,Alto,1,1,1
460,Medio,0,1,0
461,Muy alto,0,0,0
462,Muy alto,0,0,1
463,Alto,0,1,0
464,Alto,0,0,1
465,Bajo,1,1,1
466,Medio,1,0,1
467,Medio,0,1,1
468,Bajo,1,1,0
469,Bajo,1,1,1
470,Bajo,1,1,1
471,Medio,0,1,0
472,Muy alto,0,0,0
473,Alto,1,0,0
474,Muy alto,0,1,1
475,Muy alto,0,0,0
476,Bajo,1,1,1
477,Muy alto,0,0,0
478,Medio,1,1,1
479,Bajo,1,1,1
480,Bajo,1,1,1
481,Medio,1,1,0
482,Alto,0,1,0
483,Alto,1,0,0
484,Medio,1,1,0
485,Bajo,0,1,1
486,Muy alto,0,0,0
487,Medio,0,1,0
488,Medio,1,1,1
489,Bajo,0,1,0
490,Alto,0,0,0
491,Medio,1,1,0
492,Alto,1,0,1
493,Medio,0,1,1
494,Alto,0,0,0
495,Medio,1,0,0
496,Medio,0,0,0
497,Medio,1,1,0
498,Alto,0,0,1
499,Muy alto,0,0,1
500,Bajo,1,1,0
501,Bajo,1,1,1
502,Bajo,1,1,1
503,Medio,1,1,0
504,Alto,0,0,1
505,Alto,1,1,1
506,Bajo,1,1,1
507,Bajo,1,1,0
508,Medio,0,1,1
509,Alto,0,0,0
510,Medio,0,0,1
511,Medio,1,0,1
512,Bajo,1,1,1
513,Alto,0,0,0
514,Medio,0,1,0
515,Alto,1,1,0
516,Medio,1,1,1
517,Medio,1,1,0
518,Muy alto,0,0,0
519,Medio,0,1,0
520,Muy alto,0,0,0
521,Bajo,1,1,1
522,Medio,1,1,1
523,Bajo,1,1,1
524,Alto,0,0,0
525,Medio,1,1,1
526,Medio,1,1,1
527,Alto,0,1,1
528,Medio,1,0,1
529,Muy alto,1,0,0
530,Muy alto,1,0,0
531,Muy alto,0,0,0
532,Alto,0,1,0
533,Alto,1,0,1
534,Bajo,1,1,1
535,Muy alto,0,0,1
536,Alto,1,1,0
537,Muy alto,0,0,1
538,Alto,0,0,1
539,Muy alto,0,0,0
540,Medio,1,1,1
541,Bajo,1,1,0
542,Medio,1,1,1
543,Alto,0,0,1
544,Alto,1,0,1
545,Alto,0,0,0
546,Muy alto,0,0,0
547,Muy alto,0,0,0
548,Medio,1,1,0
549,Medio,1,0,1
550,Alto,0,0,0
551,Medio,1,1,1
552,Medio,1,0,0
553,Bajo,1,1,1
554,Muy alto,0,1,1
555,Alto,0,0,1
556,Alto,1,1,1
557,Bajo,1,1,1
558,Medio,1,1,1
559,Bajo,1,0,0
560,Alto,1,0,1
561,Alto,0,0,1
562,Bajo,1,1,1
563,Alto,0,0,1
564,Bajo,1,1,1
565,Alto,1,0,0
566,Medio,1,1,1
567,Bajo,1,1,1
568,Medio,1,0,0
569,Medio,0,0,0
570,Medio,1,1,0
571,Alto,0,0,0
572,Bajo,1,1,1
573,Alto,0,0,0
574,Medio,1,1,0
575,Muy alto,0,0,0
576,Muy alto,0,0,0
577,Bajo,1,1,0
578,Alto,1,1,1
579,Medio,0,1,0
580,Medio,1,1,0
581,Medio,1,1,0
582,Bajo,1,1,0
583,Bajo,1,0,0
584,Medio,0,0,0
585,Bajo,1,0,1
586,Muy alto,0,0,0
587,Bajo,1,1,0
588,Bajo,1,1,1
589,Muy alto,1,0,0
590,Medio,1,1,1
591,Bajo,1,1,1
592,Alto,1,0,1
593,Bajo,1,1,1
594,Bajo,1,1,0
595,Medio,1,0,1
596,Bajo,1,1,1
597,Bajo,1,1,1
598,Medio,1,1,0
599,Bajo,0,1,1
600,Medio,0,1,0
601,Muy alto,0,0,0
602,Medio,1,1,1
603,Bajo,1,1,0
604,Medio,1,1,0
605,Medio,1,1,0
606,Muy alto,0,0,0
607,Bajo,1,1,1
608,Medio,0,1,0
609,Medio,1,1,0
610,Bajo,1,0,0
611,Medio,0,1,0
612,Medio,1,0,1
613,Alto,0,1,0
614,Muy alto,0,0,0
615,Alto,1,0,0
616,Muy alto,0,0,0
617,Alto,0,1,0
618,Bajo,1,1,1
619,Bajo,1,1,1
620,Muy alto,0,0,0
621,Bajo,1,1,1
622,Bajo,1,1,0
623,Muy alto,0,0,0
624,Medio,1,1,0
625,Medio,0,0,1
626,Alto,1,1,1
627,Bajo,1,1,1
628,Muy alto,0,0,1
629,Medio,1,1,1
630,Medio,1,1,0
631,Muy alto,0,0,0
632,Medio,0,1,1
633,Medio,1,1,0
634,Bajo,1,1,1
635,Bajo,1,1,1
636,Muy alto,0,0,0
637,Alto,0,0,1
638,Muy alto,0,0,0
639,Bajo,1,1,1
640,Muy alto,1,0,1
641,Bajo,1,0,1
642,Alto,0,0,1
643,Bajo,1,1,1
644,Muy alto,0,0,1
645,Alto,1,0,1
646,Muy alto,0,0,0
647,Medio,1,0,0
648,Alto,1,1,0
649,Muy alto,0,0,1
650,Muy alto,0,0,0
651,Medio,1,1,0
652,Alto,0,1,0
653,Medio,1,1,1
654,Medio,1,0,1
655,Muy alto,0,0,1
656,Medio,1,1,0
657,Bajo,1,1,1
658,Alto,0,0,0
659,Bajo,1,1,0
660,Bajo,1,1,1
661,Bajo,0,1,0
662,Alto,0,0,1
663,Muy alto,0,0,0
664,Alto,0,1,0
665,Alto,1,0,0
666,Alto,0,1,0
667,Alto,1,0,1
668,Alto,0,0,0
669,Muy alto,0,0,0
670,Bajo,1,1,1
671,Bajo,1,1,1
672,Medio,0,1,0
673,Bajo,0,1,1
674,Alto,0,1,0
675,Alto,0,0,0
676,Muy alto,0,0,0
677,Muy alto,0,0,1
678,Bajo,1,1,0
679,Bajo,1,1,1
680,Medio,1,1,1
681,Bajo,1,0,0
682,Muy alto,0,0,0
683,Medio,0,0,1
684,Bajo,1,0,1
685,Medio,0,0,0
686,Bajo,1,1,1
687,Medio,1,1,1
688,Medio,0,0,1
689,Muy alto,1,0,1
690,Medio,1,1,1
691,Bajo,1,0,1
692,Medio,0,1,1
693,Muy alto,0,0,1
694,Medio,0,0,1
695,Medio,1,0,0
696,Bajo,0,1,1
697,Medio,1,0,1
698,Medio,0,1,1
699,Alto,1,0,0
700,Muy alto,0,0,0
701,Bajo,0,1,1
702,Medio,0,0,0
703,Medio,1,1,1
704,Bajo,1,1,1
705,Medio,0,1,1
706,Muy alto,0,0,0
707,Bajo,1,1,1
708,Alto,0,0,1
709,Medio,0,0,1
710,Alto,1,0,0
711,Alto,1,1,0
712,Bajo,1,1,0
713,Medio,1,1,1
714,Alto,0,0,0
715,Alto,1,0,0
716,Medio,1,0,0
717,Muy alto,0,0,0
718,Medio,1,1,1
719,Alto,0,1,1
720,Alto,0,0,1
721,Medio,0,1,1
722,Muy alto,0,0,0
723,Medio,1,1,0
724,Alto,0,0,0
725,Muy alto,0,0,0
726,Muy alto,0,1,1
727,Alto,0,0,0
728,Bajo,1,1,1
729,Bajo,1,1,1
730,Bajo,1,1,1
731,Medio,1,0,1
732,Alto,1,0,1
733,Medio,1,1,1
734,Alto,1,0,0
735,Medio,1,0,1
736,Alto,0,1,1
737,Bajo,1,1,1
738,Medio,0,0,0
739,Muy alto,0,0,0
740,Medio,1,0,1
741,Bajo,1,1,0
742,Alto,1,0,0
743,Medio,1,0,1
744,Medio,1,1,1
745,Muy alto,0,1,0
746,Bajo,1,1,1
747,Bajo,1,1,1
748,Bajo,0,1,1
749,Alto,1,0,1
750,Muy alto,1,0,0
751,Alto,0,0,0
752,Bajo,0,1,0
753,Muy alto,0,0,1
754,Bajo,1,1,1
755,Bajo,1,1,0
756,Bajo,1,1,1
757,Bajo,1,1,1
758,Bajo,1,1,0
759,Medio,1,1,0
760,Medio,1,0,0
761,Bajo,1,1,1
762,Muy alto,0,0,1
763,Medio,1,1,1
764,Bajo,1,1,1
765,Bajo,1,1,1
766,Medio,1,1,1
767,Alto,0,0,1
768,Muy alto,0,0,0
769,Bajo,1,0,1
770,Alto,0,1,1
771,Muy alto,0,0,1
772,Bajo,1,1,1
773,Bajo,1,1,1
774,Medio,1,0,1
775,Bajo,1,1,1
776,Muy alto,0,0,0
777,Alto,0,0,0
778,Bajo,1,1,0
779,Bajo,1,1,1
780,Medio,1,1,0
781,Bajo,1,1,1
782,Bajo,1,1,1
783,Alto,0,1,0
784,Bajo,1,1,1
785,Medio,1,0,0
786,Medio,1,0,0
787,Medio,0,0,0
788,Alto,0,0,0
789,Bajo,1,1,1
790,Muy alto,1,0,1
791,Medio,0,1,1
792,Bajo,1,1,1
793,Medio,0,1,0
794,Alto,1,0,1
795,Muy alto,0,0,0
796,Medio,1,1,1
797,Muy alto,0,0,1
798,Alto,0,1,1
799,Muy alto,0,0,1
800,Bajo,1,0,0
801,Muy alto,0,1,0
802,Muy alto,0,0,0
803,Medio,1,1,0
804,Bajo,1,1,1
805,Muy alto,0,1,0
806,Alto,1,0,1
807,Bajo,1,1,1
808,Muy alto,0,0,1
809,Alto,0,0,0
810,Alto,1,0,1
811,Alto,0,0,1
812,Medio,1,1,1
813,Medio,1,1,0
814,Bajo,1,0,1
815,Alto,0,0,1
816,Bajo,0,1,1
817,Muy alto,0,0,0
818,Medio,1,0,1
819,Alto,0,0,0
820,Muy alto,0,0,1
821,Bajo,1,1,0
822,Medio,1,1,1
823,Muy alto,0,0,0
824,Muy alto,0,0,0
825,Medio,1,0,0
826,Alto,0,0,0
827,Alto,0,0,1
828,Bajo,0,1,0
829,Muy alto,0,0,0
830,Alto,0,1,1
831,Bajo,1,1,0
832,Medio,1,1,1
833,Muy alto,1,1,0
834,Bajo,1,1,1
835,Alto,0,1,1
836,Medio,0,1,1
837,Muy alto,0,0,0
838,Alto,0,1,0
839,Bajo,1,0,1
840,Medio,1,1,1
841,Bajo,1,0,1
842,Medio,1,1,1
843,Muy alto,0,0,0
844,Muy alto,1,1,0
845,Muy alto,1,0,0
846,Medio,1,1,1
847,Muy alto,0,0,0
848,Muy alto,0,0,1
849,Medio,0,1,0
850,Muy alto,0,0,0
851,Muy alto,1,0,0
852,Muy alto,0,0,0
853,Alto,1,1,0
854,Medio,0,1,1
855,Medio,1,1,1
856,Bajo,1,1,0
857,Medio,1,1,1
858,Bajo,1,1,1
859,Bajo,1,1,1
860,Bajo,1,1,1
861,Medio,0,1,1
862,Medio,1,1,1
863,Bajo,1,1,0
864,Alto,0,0,0
865,Muy alto,0,1,0
866,Bajo,1,0,1
867,Alto,1,0,1
868,Medio,1,0,0
869,Muy alto,0,0,0
870,Bajo,1,1,1
871,Bajo,0,1,0
872,Medio,1,1,0
873,Bajo,1,1,1
874,Muy alto,0,1,0
875,Alto,0,0,1
876,Bajo,1,1,1
877,Medio,1,1,1
878,Alto,1,0,0
879,Muy alto,1,0,0
880,Medio,1,1,1
881,Muy alto,0,0,0
882,Alto,0,0,1
883,Alto,0,0,1
884,Alto,0,0,0
885,Medio,0,1,0
886,Bajo,1,1,1
887,Bajo,0,1,1
888,Medio,0,1,1
889,Medio,1,1,1
890,Bajo,1,1,1
891,Medio,1,0,0
892,Alto,1,1,0
893,Medio,0,0,1
894,Muy alto,0,0,1
895,Alto,1,0,0
896,Medio,1,0,0
897,Bajo,1,1,1
898,Alto,0,1,0
899,Medio,1,1,1
900,Alto,0,0,1
901,Bajo,1,1,0
902,Muy alto,0,0,1
903,Bajo,1,1,1
904,Medio,1,0,1
905,Alto,0,0,0
906,Alto,1,1,0
907,Alto,0,0,0
908,Medio,0,1,0
909,Medio,1,1,1
910,Alto,0,0,0
911,Medio,1,0,0
912,Muy alto,0,1,0
913,Bajo,1,1,1
914,Medio,0,1,0
915,Alto,1,1,0
916,Medio,1,1,1
917,Bajo,1,1,1
918,Medio,1,0,0
919,Bajo,1,1,1
920,Medio,1,1,0
921,Muy alto,1,0,0
922,Medio,1,0,0
923,Muy alto,0,0,0
924,Muy alto,0,0,0
925,Medio,1,0,0
926,Bajo,1,1,1
927,Medio,1,1,0
928,Bajo,1,1,0
929,Alto,0,0,1
930,Medio,1,1,0
931,Alto,1,1,1
932,Alto,0,0,0
933,Medio,1,1,0
934,Medio,0,1,1
935,Bajo,1,0,1
936,Medio,1,1,0
937,Alto,1,1,0
938,Alto,0,1,1
939,Muy alto,0,0,1
940,Bajo,1,1,1
941,Muy alto,0,0,0
942,Muy alto,0,0,0
943,Medio,1,1,0
944,Medio,0,1,1
945,Alto,1,0,0
946,Alto,0,0,1
947,Bajo,1,1,0
948,Muy alto,1,0,0
949,Alto,0,1,0
950,Muy alto,1,0,1
951,Medio,1,0,0
952,Bajo,1,1,1
953,Medio,1,1,1
954,Bajo,1,1,1
955,Alto,1,1,0
956,Bajo,1,1,0
957,Bajo,1,1,1
958,Alto,0,0,0
959,Bajo,1,0,0
960,Muy alto,0,0,0
961,Alto,0,1,0
962,Alto,1,0,0
963,Medio,1,1,1
964,Bajo,1,1,1
965,Muy alto,0,0,0
966,Alto,0,0,0
967,Medio,0,0,0
968,Muy alto,0,0,0
969,Bajo,1,1,1
970,Bajo,1,1,1
971,Alto,1,0,0
972,Muy alto,1,0,0
973,Medio,1,1,1
974,Alto,0,1,0
975,Alto,0,1,0
976,Alto,0,1,1
977,Bajo,1,1,0
978,Bajo,0,1,0
979,Muy alto,0,0,0
980,Bajo,1,1,0
981,Medio,1,1,0
982,Muy alto,0,0,0
983,Bajo,0,1,0
984,Medio,1,0,0
985,Bajo,1,1,1
986,Muy alto,0,0,1
987,Bajo,1,1,1
988,Alto,0,1,0
989,Muy alto,0,0,0
990,Bajo,0,1,1
991,Medio,1,1,1
992,Medio,1,0,1
993,Medio,1,1,0
994,Medio,0,1,0
995,Alto,1,1,0
996,Medio,0,0,1
997,Medio,1,1,1
998,Medio,1,1,1
999,Medio,1,1,1
1000,Muy alto,0,0,1
1001,Muy alto,1,0,0
1002,Medio,1,1,1
1003,Muy alto,0,0,0
1004,Bajo,1,1,0
1005,Medio,1,1,0
1006,Medio,1,1,1
1007,Alto,1,1,0
1008,Medio,1,1,0
1009,Medio,1,1,1
1010,Bajo,1,1,1
1011,Alto,0,1,1
1012,Medio,1,1,1
1013,Medio,1,1,1
1014,Bajo,1,1,1
1015,Bajo,0,1,1
1016,Muy alto,0,1,1
1017,Medio,1,1,0
1018,Muy alto,0,0,1
1019,Muy alto,0,0,0
1020,Bajo,1,1,0
1021,Medio,1,1,1
1022,Medio,0,1,1
1023,Alto,0,0,0
1024,Bajo,1,1,1
1025,Medio,0,1,1
1026,Bajo,1,1,1
1027,Medio,1,1,0
1028,Alto,1,1,1
1029,Muy alto,0,0,0
1030,Muy alto,0,0,1
1031,Muy alto,0,1,0
1032,Bajo,1,1,1
1033,Muy alto,0,0,0
1034,Medio,1,0,1
1035,Muy alto,0,0,0
1036,Medio,0,1,1
1037,Medio,0,1,0
1038,Medio,1,1,0
1039,Medio,1,1,1
1040,Bajo,1,1,1
1041,Bajo,1,1,0
1042,Bajo,1,1,1
1043,Bajo,1,1,1
1044,Medio,1,0,0
1045,Muy alto,0,0,0
1046,Alto,0,1,1
1047,Bajo,0,1,0
1048,Medio,0,1,1
1049,Alto,0,0,1
1050,Medio,1,1,1
1051,Medio,0,1,1
1052,Alto,0,1,0
1053,Muy alto,0,0,0
1054,Medio,0,0,1
1055,Alto,1,0,1
1056,Alto,0,1,1
1057,Alto,0,0,0
1058,Alto,0,0,0
1059,Alto,0,1,0
1060,Alto,0,0,0
1061,Bajo,1,1,1
1062,Bajo,1,1,1
1063,Medio,1,0,0
1064,Alto,1,0,1
1065,Alto,1,0,0
1066,Bajo,1,1,1
1067,Muy alto,0,0,0
1068,Bajo,1,1,1
1069,Medio,1,1,1
1070,Medio,1,1,0
1071,Medio,1,1,0
1072,Bajo,1,1,1
1073,Bajo,0,1,1
1074,Muy alto,1,0,0
1075,Muy alto,0,0,1
1076,Muy alto,0,0,0
1077,Alto,1,1,1
1078,Alto,0,0,0
1079,Medio,0,0,0
1080,Medio,1,1,0
1081,Alto,0,0,1
1082,Bajo,1,1,1
1083,Alto,0,0,1
1084,Medio,1,0,1
1085,Muy alto,0,1,0
1086,Muy alto,0,0,0
1087,Medio,1,1,1
1088,Medio,1,1,0
1089,Muy alto,0,0,1
1090,Bajo,1,1,1
1091,Alto,1,0,1
1092,Alto,0,0,1
