Unidades_Vendidas,Precio_Unitario,Descuento_Porc,Venta_Total
15,538.99,3.92,7767.86
7,552.71,0.1,3865.12
33,381.35,8.01,11576.63
34,520.11,25.2,13227.32
4,651.42,3.81,2506.43
1,424.93,22.92,327.56
41,459.04,27.88,13573.67
14,488.75,16.82,5691.38
31,662.13,26.49,15088.45
38,561.78,7.44,19758.74
50,419.59,21.68,16430.12
20,551.53,23.4,8449.03
3,404.03,14.62,1034.83
35,326.71,18.08,9367.24
46,404.36,2.67,18104.55
33,480.29,8.29,14535.61
15,514.04,2.3,7532.94
3,257.7,7.18,717.57
28,556.49,26.78,11409.42
27,671.28,0.93,17956.83
47,571.01,14.9,22837.47
47,484.21,15.68,19189.5
33,534.4,8.57,16123.16
19,507.11,23.45,7375.72
33,538.92,17.69,14638.98
31,582.35,5.86,16995.51
4,570.62,14.14,1959.85
32,396.82,0.7,12609.32
42,519.96,0.54,21720.95
28,574.22,22.05,12533.53
16,476.24,5.17,7226.02
49,521.61,29.05,18132.8
43,473.28,10.75,18163.88
28,618.12,20.96,13679.49
15,534.02,13.87,6898.9
48,547.21,12.28,23039.61
22,490.13,20.04,8622.18
31,617.05,18.78,15535.78
21,401.58,26.31,6214.79
32,616.02,2.53,19213.47
7,460.25,15.2,2732.16
33,499.49,18.23,13478.19
8,682.08,19.5,4392.85
14,496.33,18.76,5644.71
25,484.63,11.04,10778.65
32,488.76,0.93,15494.4
28,606.07,21.4,13337.63
2,452.69,1.32,893.47
17,608.68,14.12,8886.37
27,398.44,21.57,8436.93
2,418.95,8.21,769.15
8,646.2,0.83,5126.48
38,550.27,2.78,20328.7
20,451.74,4.17,8657.74
49,553.5,19.95,21710.08
37,500.63,19.61,14891.72
21,601.71,29.35,8927.08
26,672.46,9.72,15785.15
31,575.75,3.94,17144.89
20,406.31,5.18,7705.66
6,578.07,0.96,3434.96
50,452.18,24.72,17020.75
15,486.86,2.28,7136.03
1,542.21,26.81,396.85
26,581.04,1.45,14887.4
29,497.77,24.4,10913.14
2,427.59,5.87,804.95
22,577.82,0.69,12624.09
29,561.32,21.05,12852.25
9,542.28,0.08,4876.61
41,483.61,8.93,18057.27
21,258.97,1.71,5345.29
32,305.92,3.64,9433.03
32,463.36,3.76,14269.57
47,624.18,21.7,22971.61
44,406.67,29.16,12675.02
40,557.01,7.34,20645.59
26,539.65,11.97,12351.86
48,546.65,11.23,23292.17
13,563.36,7.7,6759.51
3,623.39,21.38,1470.3
32,401.77,8.14,11810.21
33,369.42,15.43,10309.38
33,551.2,3.89,17481.43
42,563.82,25.44,17656.27
42,452.99,20.62,15102.36
13,420.11,16.16,4578.7
43,616.75,18.42,21634.7
6,363.07,6.73,2031.82
4,508.75,25.32,1519.7
38,525.26,3.67,19226.76
6,683.73,26.43,3017.92
3,489.0,18.39,1197.16
27,438.04,28.21,8490.56
40,387.66,8.64,14165.79
20,458.97,28.06,6603.53
18,468.39,19.15,6816.49
20,466.74,0.3,9306.88
30,402.27,3.09,11695.65
10,525.22,17.79,4318.01
23,570.01,2.85,12736.23
47,425.57,22.44,15513.99
3,346.51,20.16,829.97
50,673.28,5.62,31771.99
9,397.9,19.11,2896.87
49,526.55,17.0,21414.47
19,547.63,7.39,9636.09
36,498.4,21.23,14133.92
40,347.54,7.54,12853.44
27,457.14,25.94,9140.86
42,517.68,11.89,19157.81
28,568.22,14.86,13546.11
43,532.8,19.84,18364.99
8,672.18,26.49,3953.03
42,538.7,13.69,19529.15
48,533.99,19.65,20595.56
8,683.62,17.91,4489.73
18,282.98,2.16,4983.37
21,493.42,18.99,8394.47
46,379.81,1.39,17228.25
13,576.98,15.17,6363.0
27,449.05,3.2,11736.78
47,436.12,18.26,16754.78
40,476.65,21.63,14941.99
16,482.94,23.57,5905.49
40,430.7,17.7,14178.63
9,608.62,29.68,3851.9
27,478.39,10.8,11521.88
17,411.72,0.34,6975.4
3,393.51,24.55,890.69
4,421.74,13.57,1458.05
40,556.92,16.28,18650.81
1,633.97,25.41,472.88
14,574.88,7.86,7415.73
8,446.53,9.8,3222.1
7,438.56,2.9,2980.82
30,596.5,20.45,14234.88
25,565.47,6.39,13233.52
39,490.17,25.6,14223.45
16,523.28,18.31,6839.62
11,384.77,27.34,3075.31
25,515.87,1.83,12660.67
33,337.65,29.75,7827.44
48,457.11,11.93,19322.94
21,611.6,16.37,10741.17
10,444.38,19.31,3585.58
50,562.53,14.56,24031.79
9,592.72,15.84,4489.66
1,462.52,12.51,404.64
34,434.69,5.61,13950.98
31,492.44,29.08,10825.99
21,569.91,24.03,9091.91
24,484.62,17.94,9544.61
19,503.89,1.7,9411.42
48,695.85,26.84,24435.29
21,518.66,2.32,10638.9
25,552.77,23.47,10576.44
20,484.37,1.76,9516.47
26,539.43,22.84,10822.04
7,534.91,25.34,2795.67
3,596.81,13.49,1548.85
40,509.04,16.64,16973.85
48,443.36,25.13,15933.86
8,419.32,29.12,2377.7
30,505.62,0.53,15087.66
11,467.71,3.89,4944.53
8,524.78,25.92,3109.86
37,590.21,20.36,17392.5
17,523.5,8.17,8172.27
8,448.96,13.35,3112.07
47,405.95,3.34,18443.35
44,549.65,0.86,23976.63
30,342.22,21.96,8012.0
43,410.64,21.72,13822.04
43,541.53,20.83,18435.75
16,506.56,26.53,5954.47
4,587.86,8.6,2149.22
21,568.14,12.71,10414.66
50,441.68,7.52,20424.04
34,579.59,18.76,16009.28
40,424.84,19.11,13746.04
35,421.7,12.23,12953.79
13,436.22,28.05,4079.92
43,437.24,14.66,16045.6
27,519.92,27.53,10173.28
8,611.57,21.91,3820.4
41,480.69,28.16,14158.41
42,354.11,22.73,11491.77
29,530.62,6.74,14350.75
16,464.03,20.69,5888.42
43,517.7,7.15,20668.68
46,419.07,8.72,17596.67
5,542.5,6.64,2532.29
37,516.61,14.89,16268.33
40,484.95,13.02,16872.42
40,384.96,27.21,11207.9
42,403.02,17.79,13914.72
10,510.79,10.79,4556.57
15,569.36,18.7,6943.28
21,684.69,10.25,12905.27
34,398.15,25.09,10140.7
22,322.27,2.67,6900.51
22,443.6,6.56,9118.91
9,616.35,2.82,5390.65
26,459.97,26.01,8847.97
13,515.65,8.16,6156.26
18,488.41,29.84,6167.82
1,602.16,4.56,574.72
23,447.03,9.73,9281.87
33,577.29,26.8,13944.96
47,573.58,19.06,21819.71
31,561.55,14.84,14823.94
21,536.97,4.91,10722.19
23,622.87,23.73,10926.72
16,403.34,9.99,5808.77
27,630.35,22.59,13174.22
37,382.82,17.48,11687.7
38,490.22,18.5,15182.0
14,650.97,9.76,8224.23
37,499.95,2.25,18081.7
47,392.18,17.86,15140.3
7,517.18,22.3,2812.76
12,553.28,17.28,5491.91
28,573.77,18.03,13168.27
3,503.79,20.92,1195.16
22,611.91,1.34,13281.14
21,427.67,6.71,8378.39
29,478.92,18.42,11330.89
20,370.56,4.07,7109.65
3,382.39,8.11,1054.16
27,489.46,1.35,13037.03
21,585.62,6.46,11503.71
41,534.82,0.35,21851.42
33,607.24,24.55,15119.5
30,310.93,17.63,7683.21
48,536.95,16.4,21546.39
39,322.31,0.17,12548.96
41,492.45,25.5,15041.02
9,653.79,0.0,5883.98
48,474.72,23.62,17404.61
38,648.85,6.57,23036.92
23,603.47,24.61,10464.53
23,563.96,3.87,12468.67
1,414.11,16.42,346.11
21,674.39,0.88,14036.97
32,393.47,16.64,10495.92
45,528.49,3.99,22833.17
26,548.02,24.18,10802.78
33,580.77,7.09,17807.09
9,602.3,3.48,5232.13
17,503.09,0.91,8474.46
6,447.87,17.22,2224.36
46,452.54,19.86,16682.82
7,638.66,26.84,3270.48
7,463.3,1.85,3183.02
37,600.05,11.76,19591.65
5,348.27,4.89,1656.17
33,814.71,15.07,22834.8
50,465.59,7.15,21614.45
10,406.03,12.33,3559.58
17,737.56,11.06,11152.0
40,331.94,20.7,10529.26
28,545.41,22.26,11872.41
47,337.85,12.74,13856.11
46,447.25,7.32,19067.47
22,530.54,23.84,8889.41
21,411.03,25.44,6435.91
47,432.28,16.2,17025.82
32,503.73,7.49,14912.5
32,502.1,23.52,12288.61
36,689.44,10.68,22168.79
31,392.93,27.56,8823.6
6,656.23,8.0,3622.3
21,390.19,28.21,5882.66
35,386.26,12.84,11783.62
14,551.85,22.6,5979.95
23,442.09,6.27,9530.79
42,288.3,18.74,9838.94
24,512.36,17.47,10148.97
30,708.32,12.61,18570.26
10,438.42,22.06,3416.95
5,490.56,24.54,1850.91
42,547.05,21.82,17962.98
30,462.25,24.39,10484.87
7,380.1,22.36,2065.88
6,547.86,4.49,3139.61
8,447.09,23.17,2747.93
26,390.28,5.72,9566.86
18,581.81,2.98,10160.83
36,722.38,27.05,18971.29
26,609.49,17.95,13002.75
36,508.02,5.29,17320.52
41,503.58,19.09,16706.06
4,503.75,9.99,1813.78
13,417.14,4.25,5192.58
24,655.97,23.98,11967.35
31,512.56,3.3,15365.13
22,451.75,28.87,7068.9
40,452.35,23.16,13903.74
18,572.31,21.37,8100.48
34,435.9,7.17,13757.28
23,416.09,22.79,7389.27
39,542.44,0.68,21011.94
47,378.21,16.62,14822.24
37,523.04,9.32,17548.46
47,387.89,24.97,13678.78
1,686.69,22.84,529.86
42,646.37,14.64,23174.61
20,571.88,14.17,9816.77
47,444.19,2.19,20418.83
25,458.86,7.04,10663.83
6,572.66,21.22,2706.95
30,616.87,1.97,18141.59
20,438.15,23.62,6693.35
9,403.34,29.39,2563.32
48,470.41,2.37,22043.94
49,516.07,13.74,21813.87
18,423.83,17.37,6303.75
40,442.43,24.39,13381.24
3,408.61,4.5,1170.65
36,454.49,10.8,14594.04
6,525.61,25.07,2363.13
44,643.35,15.55,23906.88
38,522.41,4.9,18878.08
1,427.85,26.08,316.25
19,380.53,28.08,5199.59
38,448.57,22.19,13263.3
28,375.59,29.21,7444.66
47,590.68,27.8,20045.16
9,599.35,3.64,5197.68
47,490.29,12.28,20214.4
10,366.19,17.91,3006.17
24,610.85,21.97,11439.36
26,587.61,16.05,12825.4
8,384.02,19.48,2473.84
5,551.7,3.5,2661.83
13,459.69,12.19,5247.57
22,570.14,0.21,12517.17
34,591.87,19.56,16188.37
25,295.71,4.93,7027.96
23,538.46,12.12,10883.76
41,592.37,14.96,20653.85
48,401.89,19.99,15434.23
21,569.77,22.9,9225.4
3,408.54,21.45,962.69
8,462.86,17.03,3072.13
46,440.88,15.86,17063.34
50,537.0,25.71,19947.53
39,438.28,26.0,12648.3
39,678.71,1.86,25978.5
22,578.59,8.1,11697.4
45,643.86,27.65,20962.64
11,462.68,17.78,4184.61
23,579.72,4.04,12794.87
49,461.18,2.13,22115.82
16,704.17,2.83,10947.52
28,511.47,23.1,11013.62
35,394.99,6.66,12904.04
42,454.46,7.29,17696.26
29,724.54,3.92,20188.56
38,595.98,17.99,18573.02
6,546.82,15.42,2775.12
49,481.54,8.45,21602.61
14,570.01,19.74,6404.56
29,314.74,23.33,6997.78
49,349.79,29.39,12102.68
28,447.51,14.36,10730.74
10,479.71,12.39,4202.8
46,586.14,8.77,24598.91
47,407.97,23.54,14661.21
4,548.07,29.17,1552.86
24,414.41,18.01,8154.37
2,469.96,19.27,758.81
46,671.75,20.67,24512.11
29,535.32,12.7,13553.04
25,438.47,6.61,10237.16
31,476.98,7.68,13650.26
47,571.16,18.52,21873.82
46,580.19,19.13,21583.5
15,585.77,13.86,7568.97
38,594.6,1.3,22300.86
33,550.49,26.32,13385.35
50,336.94,7.33,15612.11
49,562.39,17.43,22753.65
8,572.92,22.16,3567.71
40,415.17,5.53,15688.51
16,355.13,14.2,4875.28
38,298.16,0.04,11325.67
44,453.89,1.42,19687.13
41,560.76,7.51,21263.61
34,628.94,19.76,17158.15
6,511.15,26.6,2251.1
39,526.43,12.73,17916.16
40,398.86,0.75,15834.48
49,548.48,8.78,24515.2
23,561.81,28.71,9211.75
50,400.74,3.34,19368.27
21,564.19,22.67,9161.92
35,648.82,22.42,17617.57
47,530.88,17.7,20535.63
29,669.14,27.93,13985.79
35,433.9,19.26,12260.81
2,308.59,29.0,438.23
33,546.93,24.78,13575.63
26,599.47,23.82,11873.47
44,470.08,28.53,14782.11
32,545.94,18.51,14236.1
18,468.87,9.67,7623.57
34,730.5,3.11,24064.7
30,653.24,20.83,15515.56
44,557.32,15.7,20672.37
23,612.91,11.56,12466.81
48,418.52,28.49,14365.26
20,539.5,27.37,7836.49
46,252.33,11.34,10291.06
23,386.03,28.36,6360.33
40,447.18,12.96,15569.01
8,205.56,6.18,1542.78
14,527.24,18.62,6006.95
23,335.64,2.83,7501.37
46,475.58,4.58,20874.74
14,562.78,24.43,5954.27
2,583.15,24.57,879.7
4,332.85,7.22,1235.28
24,544.39,22.41,10137.96
36,621.44,29.21,15837.58
9,390.59,28.74,2505.17
16,359.99,13.34,4991.67
32,723.06,25.92,17141.32
32,563.94,16.71,15029.99
27,612.74,16.94,13740.88
15,397.13,7.18,5529.37
49,445.64,11.53,19319.27
4,417.72,6.45,1563.18
36,378.32,22.27,10585.99
25,609.31,19.22,12305.3
15,349.5,24.13,3977.31
12,442.57,18.6,4323.25
7,608.76,8.32,3906.96
36,510.07,28.58,13115.41
24,518.13,19.52,10007.6
6,340.23,14.29,1749.68
48,542.99,23.33,19983.68
41,342.12,7.64,12955.5
45,447.89,24.32,15252.22
31,562.3,10.15,15662.16
21,621.74,2.24,12764.14
11,458.86,23.49,3862.02
16,453.32,5.73,6837.58
14,574.67,19.33,6490.29
25,498.47,8.09,11453.05
14,604.36,20.56,6721.21
38,397.69,3.78,14540.55
18,659.55,18.72,9649.81
14,559.42,5.76,7380.66
24,551.36,15.1,11234.39
8,528.88,26.18,3123.3
45,579.96,14.26,22375.8
25,561.08,23.16,10778.14
34,342.47,4.39,11132.44
45,577.56,19.71,20866.27
44,366.15,4.56,15376.22
28,495.94,23.06,10684.49
24,595.71,21.42,11234.26
18,613.53,12.07,9710.32
34,398.95,14.1,11651.7
42,481.95,5.05,19219.08
3,515.34,19.07,1251.26
12,365.29,27.38,3183.29
36,460.72,16.81,13797.43
5,443.0,9.45,2005.58
19,649.37,12.28,10822.56
12,293.61,6.55,3292.59
27,539.01,13.25,12624.5
17,420.41,14.85,6085.4
43,462.33,28.22,14269.48
28,597.96,12.9,14583.56
40,505.79,25.87,14998.09
22,448.19,5.0,9366.68
10,540.93,16.36,4524.64
41,397.93,17.72,13423.52
6,421.93,17.81,2080.69
17,482.06,15.06,6960.47
12,534.76,23.01,4940.26
6,482.89,5.19,2747.08
43,373.95,2.04,15751.46
22,390.74,4.28,8228.29
50,535.76,16.9,22261.8
16,399.35,7.49,5910.9
4,545.14,22.16,1697.44
25,584.62,1.89,14339.98
33,383.86,27.27,9213.08
1,367.33,28.55,262.46
15,443.56,23.57,5085.18
17,588.78,26.34,7372.93
43,599.94,11.35,22869.33
19,492.15,4.79,8903.15
50,509.15,6.0,23930.53
19,576.37,15.04,9304.24
20,415.42,19.84,6659.8
1,425.72,17.06,353.07
23,592.98,3.15,13209.08
16,425.04,21.82,5316.88
24,401.06,23.67,7347.12
20,480.16,0.89,9518.2
15,468.08,13.77,6054.57
24,430.79,13.13,8980.99
37,585.39,2.02,21222.61
41,387.68,5.3,15051.84
33,502.04,24.45,12516.6
32,672.02,17.54,17732.89
31,642.26,6.57,18602.44
15,594.0,13.75,7684.67
1,642.15,25.64,477.51
49,596.58,3.07,28335.2
12,495.66,28.66,4243.02
35,598.73,4.24,20066.5
37,294.99,8.72,9962.77
48,513.7,5.44,23315.09
30,558.6,14.09,14397.23
26,539.65,9.32,12723.6
11,570.77,29.66,4416.61
32,490.35,0.46,15618.68
2,615.62,9.65,1112.48
10,440.43,17.84,3618.53
46,569.24,10.2,23513.98
22,631.0,13.67,11983.94
9,556.34,12.76,4368.34
30,446.38,2.59,13044.93
25,678.46,19.47,13658.84
21,403.99,25.02,6361.07
18,585.58,15.83,8871.43
20,402.86,4.49,7695.7
40,559.02,14.44,19132.15
16,459.82,0.42,7325.95
49,537.78,27.22,19177.39
39,442.1,7.22,15997.53
35,603.4,27.07,15401.85
29,693.48,17.52,16586.74
46,635.11,29.5,20596.62
30,514.02,25.48,11491.52
48,582.58,0.33,27871.02
3,477.91,0.45,1427.23
32,603.85,22.3,15013.44
14,390.65,15.5,4621.16
26,554.29,22.66,11145.7
5,538.44,17.69,2215.94
28,519.07,6.97,13521.21
8,689.13,23.6,4212.06
45,406.49,0.93,18121.71
48,468.33,24.2,17040.71
33,502.89,19.95,13284.16
36,416.92,20.2,11977.62
13,482.83,1.32,6194.25
20,537.3,6.29,10069.76
