ingreso_mensual,edad,horas_extra_mensuales,antiguedad_meses,nivel_educativo,area_trabajo
17270.42,28,27.8,1,Secundaria,Procesamiento
10659.05,31,5.9,18,Universidad,Procesamiento
13429.6,26,2.1,27,Preparatoria,Mantenimiento
12980.18,36,4.0,1,Secundaria,Mantenimiento
12409.35,30,6.3,22,Universidad,Procesamiento
20149.45,38,0.5,15,Universidad,Procesamiento
15795.94,24,6.8,2,Posgrado,Procesamiento
10465.17,39,27.8,4,Universidad,Administración
17437.16,43,1.5,17,Universidad,Extracción
21290.9,20,11.0,7,Secundaria,Extracción
17803.89,39,16.7,56,Secundaria,Procesamiento
9638.02,46,20.1,34,Preparatoria,Mantenimiento
12950.45,26,22.6,82,Preparatoria,Extracción
18554.12,49,5.2,6,Preparatoria,Extracción
12235.46,39,26.5,70,Preparatoria,Extracción
15920.22,30,9.9,11,Preparatoria,Mantenimiento
16978.83,36,1.2,9,Preparatoria,Extracción
11533.82,40,4.5,1,Secundaria,Procesamiento
14309.52,37,8.9,1,Secundaria,Procesamiento
8000.0,40,2.0,24,Preparatoria,Administración
11221.96,29,7.2,12,Universidad,Procesamiento
13691.78,37,7.7,5,Secundaria,Extracción
10507.09,25,1.2,19,Preparatoria,Procesamiento
19723.72,35,5.8,6,Universidad,Administración
9923.55,29,10.3,17,Preparatoria,Procesamiento
13091.86,30,4.8,9,Secundaria,Administración
14918.37,46,0.1,35,Preparatoria,Mantenimiento
19112.07,45,0.1,34,Secundaria,Extracción
9905.24,41,3.1,13,Universidad,Mantenimiento
18222.12,27,18.2,9,Secundaria,Extracción
14532.75,33,1.8,9,Universidad,Procesamiento
11359.17,46,7.0,33,Secundaria,Extracción
15978.73,37,1.8,8,Preparatoria,Extracción
15136.99,55,2.7,5,Preparatoria,Administración
12579.31,39,13.2,2,Secundaria,Extracción
14723.37,38,9.1,13,Preparatoria,Administración
13267.0,34,0.7,13,Secundaria,Extracción
14863.26,37,3.9,37,Preparatoria,Extracción
16618.82,35,0.2,5,Preparatoria,Administración
19575.25,42,4.6,10,Preparatoria,Mantenimiento
10538.99,44,7.6,33,Universidad,Mantenimiento
21325.71,30,0.9,35,Preparatoria,Extracción
8253.32,25,2.4,10,Preparatoria,Procesamiento
14014.29,21,3.6,12,Secundaria,Mantenimiento
16382.62,40,17.6,7,Preparatoria,Procesamiento
15399.17,27,35.0,54,Universidad,Procesamiento
12507.36,19,0.3,3,Secundaria,Administración
13834.01,39,10.0,54,Universidad,Mantenimiento
12922.4,56,3.3,23,Secundaria,Administración
12614.03,36,3.5,15,Universidad,Mantenimiento
17218.73,43,9.8,1,Secundaria,Mantenimiento
15642.45,37,17.5,13,Universidad,Extracción
12282.69,35,21.1,10,Preparatoria,Procesamiento
17378.72,43,6.0,4,Secundaria,Administración
15483.36,34,3.1,21,Secundaria,Extracción
17101.16,38,10.8,71,Preparatoria,Extracción
16514.81,39,2.0,17,Posgrado,Extracción
11847.22,31,5.8,25,Secundaria,Extracción
12707.42,44,3.1,1,Secundaria,Administración
16891.34,35,7.5,11,Preparatoria,Administración
16453.18,30,1.9,2,Preparatoria,Procesamiento
14433.11,40,1.5,19,Preparatoria,Extracción
14875.45,29,17.5,56,Universidad,Mantenimiento
18588.53,36,0.8,22,Secundaria,Procesamiento
12606.97,36,4.9,2,Universidad,Administración
16250.71,45,1.7,9,Preparatoria,Procesamiento
13852.98,40,0.3,16,Secundaria,Extracción
13803.42,36,0.3,10,Universidad,Procesamiento
18016.09,43,1.3,36,Preparatoria,Administración
17141.33,47,14.1,34,Preparatoria,Mantenimiento
17103.23,40,2.3,19,Preparatoria,Mantenimiento
18677.53,36,21.0,9,Secundaria,Extracción
14567.21,26,6.1,6,Preparatoria,Mantenimiento
16682.25,27,4.0,2,Universidad,Mantenimiento
13507.15,34,6.1,9,Secundaria,Extracción
15537.33,31,5.1,11,Preparatoria,Procesamiento
14083.54,35,10.0,23,Universidad,Extracción
14810.39,36,2.3,21,Posgrado,Extracción
16404.5,40,3.0,1,Preparatoria,Extracción
11881.69,35,15.7,10,Preparatoria,Extracción
21195.64,40,20.5,4,Preparatoria,Procesamiento
11280.74,37,15.6,3,Posgrado,Extracción
10614.6,20,3.8,35,Universidad,Extracción
18205.95,28,10.6,1,Secundaria,Administración
17033.32,35,4.5,11,Preparatoria,Procesamiento
16497.18,26,4.8,4,Preparatoria,Procesamiento
16510.71,41,1.6,42,Universidad,Procesamiento
14460.81,48,6.3,16,Preparatoria,Mantenimiento
11628.79,46,1.4,5,Universidad,Extracción
14742.57,34,2.8,14,Posgrado,Mantenimiento
12333.08,48,13.5,26,Secundaria,Extracción
17620.38,37,1.6,63,Secundaria,Mantenimiento
14029.42,33,0.5,5,Preparatoria,Extracción
11858.41,31,0.5,43,Preparatoria,Mantenimiento
13471.57,34,19.8,54,Secundaria,Procesamiento
15821.38,33,4.9,50,Secundaria,Procesamiento
12696.08,37,3.7,20,Universidad,Extracción
11868.89,37,11.7,20,Universidad,Mantenimiento
15279.8,36,12.6,10,Preparatoria,Administración
15283.89,39,2.8,28,Preparatoria,Mantenimiento
12877.78,46,8.3,15,Secundaria,Extracción
12992.68,44,10.3,23,Universidad,Procesamiento
15242.56,24,7.4,11,Universidad,Administración
9866.13,18,1.2,26,Preparatoria,Procesamiento
9996.12,43,14.6,35,Secundaria,Mantenimiento
12200.98,25,5.4,3,Secundaria,Administración
13816.97,34,2.3,36,Secundaria,Administración
15494.9,27,3.9,16,Preparatoria,Procesamiento
19221.14,22,0.3,37,Universidad,Procesamiento
17244.51,40,1.0,11,Universidad,Extracción
13988.2,42,10.2,10,Preparatoria,Mantenimiento
14439.15,31,0.0,49,Universidad,Extracción
11291.91,18,3.8,6,Posgrado,Extracción
14440.76,32,5.2,37,Secundaria,Procesamiento
13576.29,39,0.4,13,Preparatoria,Extracción
15532.7,24,25.3,14,Posgrado,Mantenimiento
11852.86,37,1.8,7,Preparatoria,Procesamiento
16161.91,36,2.5,17,Universidad,Procesamiento
19404.76,41,2.5,8,Posgrado,Procesamiento
14151.97,37,1.8,1,Universidad,Administración
15785.48,28,0.0,6,Universidad,Extracción
16708.46,46,9.1,1,Universidad,Mantenimiento
13216.09,35,23.8,77,Universidad,Administración
15217.1,36,1.8,67,Preparatoria,Procesamiento
14540.3,29,7.6,10,Secundaria,Procesamiento
14812.56,32,9.5,26,Preparatoria,Administración
12026.37,29,13.2,8,Universidad,Extracción
14578.43,35,3.8,22,Secundaria,Procesamiento
16093.59,50,2.5,33,Secundaria,Procesamiento
19143.66,25,2.8,59,Secundaria,Extracción
17569.67,23,8.7,10,Universidad,Mantenimiento
21390.18,48,11.9,31,Posgrado,Administración
12044.49,34,1.4,6,Posgrado,Mantenimiento
17291.43,31,3.2,93,Preparatoria,Extracción
15086.69,44,16.3,1,Universidad,Extracción
21507.37,31,11.5,19,Universidad,Procesamiento
11913.45,51,29.3,22,Preparatoria,Extracción
11812.89,41,9.8,23,Preparatoria,Mantenimiento
12581.94,32,3.5,3,Secundaria,Procesamiento
8000.0,53,6.3,56,Posgrado,Mantenimiento
12817.58,31,7.6,4,Preparatoria,Procesamiento
12070.78,42,58.0,19,Preparatoria,Procesamiento
14981.26,38,5.5,5,Universidad,Extracción
15593.62,46,8.6,7,Preparatoria,Extracción
20503.75,48,1.3,16,Secundaria,Procesamiento
17541.36,36,10.6,11,Preparatoria,Mantenimiento
12653.91,30,6.1,3,Secundaria,Mantenimiento
11625.07,40,21.3,4,Universidad,Mantenimiento
16074.14,31,0.3,11,Preparatoria,Administración
10275.25,52,2.2,28,Preparatoria,Extracción
20360.67,37,6.4,46,Preparatoria,Extracción
18274.21,33,2.5,2,Preparatoria,Extracción
12998.64,37,8.8,10,Preparatoria,Mantenimiento
9017.97,25,10.0,2,Universidad,Procesamiento
18832.39,28,0.8,1,Universidad,Mantenimiento
14133.47,46,5.0,22,Universidad,Procesamiento
18461.01,31,5.0,18,Universidad,Administración
9397.83,28,3.2,4,Secundaria,Administración
12582.0,40,18.9,5,Preparatoria,Extracción
14516.78,45,12.3,1,Posgrado,Procesamiento
14650.34,42,8.4,36,Preparatoria,Procesamiento
13059.79,44,8.8,74,Secundaria,Extracción
16493.12,30,4.3,3,Preparatoria,Procesamiento
11083.61,25,17.8,5,Secundaria,Mantenimiento
14044.39,48,8.3,41,Secundaria,Extracción
14884.95,33,9.1,52,Posgrado,Procesamiento
16146.2,34,13.8,11,Preparatoria,Mantenimiento
16777.17,47,2.2,1,Secundaria,Extracción
10901.15,40,11.5,1,Posgrado,Procesamiento
9590.83,40,1.5,17,Posgrado,Extracción
18588.57,53,3.0,10,Preparatoria,Mantenimiento
15563.4,31,2.9,1,Secundaria,Extracción
12104.84,43,26.9,18,Universidad,Administración
19463.69,36,13.6,1,Universidad,Procesamiento
14870.16,38,8.5,31,Universidad,Extracción
18273.75,48,9.1,7,Universidad,Procesamiento
14716.06,40,5.8,1,Universidad,Procesamiento
21094.39,40,20.6,18,Secundaria,Procesamiento
20117.09,45,4.8,10,Universidad,Procesamiento
13703.31,33,3.4,73,Preparatoria,Procesamiento
17609.03,29,1.2,16,Universidad,Extracción
16565.2,28,10.8,6,Preparatoria,Extracción
18879.62,20,9.3,25,Secundaria,Mantenimiento
11412.24,52,3.4,6,Preparatoria,Procesamiento
16695.36,27,0.2,47,Preparatoria,Procesamiento
17886.96,34,12.8,9,Preparatoria,Mantenimiento
8872.03,34,0.1,16,Preparatoria,Procesamiento
10713.57,38,8.5,1,Preparatoria,Mantenimiento
8000.0,43,24.6,11,Universidad,Extracción
13637.9,43,4.0,36,Secundaria,Extracción
16796.14,31,1.9,33,Universidad,Administración
19307.54,35,8.5,5,Universidad,Procesamiento
14737.1,38,11.9,5,Universidad,Mantenimiento
19711.57,34,5.5,34,Preparatoria,Extracción
10083.68,49,23.9,53,Posgrado,Mantenimiento
9049.18,40,0.4,2,Secundaria,Administración
14322.25,42,4.9,12,Secundaria,Extracción
15729.01,41,8.9,8,Preparatoria,Mantenimiento
14395.38,45,13.9,41,Secundaria,Procesamiento
8000.0,37,1.4,2,Posgrado,Procesamiento
14214.82,26,11.3,5,Secundaria,Procesamiento
10325.7,39,5.6,28,Universidad,Administración
16642.95,31,3.5,1,Universidad,Extracción
15673.11,32,1.0,14,Secundaria,Extracción
11492.38,41,14.0,12,Preparatoria,Administración
12855.63,46,1.2,8,Secundaria,Mantenimiento
11110.52,36,2.6,10,Preparatoria,Extracción
14299.43,38,2.4,15,Secundaria,Procesamiento
17556.46,50,14.4,4,Universidad,Procesamiento
11345.68,38,7.8,17,Posgrado,Procesamiento
16112.95,57,11.2,33,Secundaria,Extracción
12803.18,41,2.0,29,Secundaria,Mantenimiento
11962.81,22,6.9,3,Universidad,Extracción
14157.5,42,5.9,3,Secundaria,Mantenimiento
11187.22,39,12.5,6,Universidad,Mantenimiento
12728.32,46,16.6,9,Preparatoria,Procesamiento
10666.79,41,0.1,11,Preparatoria,Extracción
20787.12,35,7.8,23,Universidad,Extracción
14612.84,26,0.4,1,Preparatoria,Procesamiento
12260.88,34,5.6,1,Universidad,Mantenimiento
15184.74,29,2.4,10,Universidad,Procesamiento
14140.55,31,2.6,24,Secundaria,Procesamiento
13792.9,41,3.0,4,Secundaria,Procesamiento
16465.33,49,6.8,21,Posgrado,Extracción
16924.02,39,2.8,6,Universidad,Extracción
12802.4,26,9.2,43,Secundaria,Extracción
12657.38,40,3.6,45,Universidad,Extracción
13619.83,46,0.5,7,Preparatoria,Procesamiento
8000.0,31,10.7,5,Secundaria,Administración
9651.39,35,2.4,11,Universidad,Mantenimiento
18874.0,36,4.0,6,Secundaria,Extracción
19763.9,30,8.1,22,Posgrado,Extracción
13703.08,41,2.8,35,Secundaria,Extracción
16344.98,35,0.4,22,Preparatoria,Extracción
15496.0,39,3.3,35,Secundaria,Procesamiento
24352.42,29,20.2,10,Preparatoria,Procesamiento
18082.64,33,7.2,3,Universidad,Extracción
14090.66,42,7.8,27,Secundaria,Extracción
11442.27,33,7.0,9,Preparatoria,Extracción
9359.37,50,1.6,22,Preparatoria,Extracción
15151.08,33,3.8,6,Secundaria,Mantenimiento
12079.68,38,9.7,2,Universidad,Extracción
9948.79,43,0.7,98,Preparatoria,Procesamiento
12430.97,25,2.3,3,Preparatoria,Procesamiento
11039.05,22,2.3,89,Preparatoria,Administración
19898.85,24,4.0,76,Preparatoria,Administración
17321.25,46,27.5,32,Secundaria,Mantenimiento
14474.49,32,0.5,22,Preparatoria,Extracción
19235.82,56,5.1,17,Preparatoria,Procesamiento
14747.58,31,1.4,40,Universidad,Mantenimiento
11743.89,37,24.7,7,Universidad,Extracción
19374.0,48,0.8,13,Preparatoria,Procesamiento
16224.51,52,3.6,19,Secundaria,Administración
11180.81,52,9.4,11,Secundaria,Procesamiento
13890.92,46,8.5,11,Secundaria,Extracción
11698.02,44,3.8,8,Secundaria,Extracción
10075.04,41,3.0,17,Preparatoria,Procesamiento
17463.77,42,3.5,38,Secundaria,Extracción
20610.13,32,2.1,5,Secundaria,Mantenimiento
10024.58,29,1.6,54,Secundaria,Mantenimiento
16301.5,36,4.6,23,Secundaria,Extracción
12417.94,35,2.2,35,Secundaria,Administración
12941.2,32,2.4,16,Secundaria,Procesamiento
12604.34,42,7.5,30,Preparatoria,Extracción
11735.23,44,24.2,1,Preparatoria,Mantenimiento
14655.27,37,6.5,34,Secundaria,Mantenimiento
11840.96,48,0.6,1,Preparatoria,Mantenimiento
15365.46,27,0.6,44,Preparatoria,Administración
14339.24,34,21.2,96,Secundaria,Mantenimiento
13735.37,30,2.5,7,Secundaria,Administración
11595.8,21,0.7,5,Preparatoria,Procesamiento
12654.33,35,6.4,29,Universidad,Mantenimiento
16917.25,35,6.8,6,Secundaria,Administración
16102.94,48,7.3,40,Secundaria,Mantenimiento
11371.82,41,2.2,2,Universidad,Extracción
14817.86,28,0.1,3,Secundaria,Procesamiento
16904.44,51,23.5,77,Secundaria,Procesamiento
9157.9,46,2.0,22,Universidad,Extracción
16238.75,41,7.9,38,Universidad,Administración
12379.6,34,8.6,8,Preparatoria,Extracción
16325.92,28,6.6,23,Preparatoria,Extracción
12057.57,33,2.6,18,Secundaria,Administración
8724.38,45,2.2,18,Secundaria,Procesamiento
9291.86,51,6.4,23,Preparatoria,Extracción
14653.87,48,14.1,17,Secundaria,Procesamiento
15331.11,32,20.5,11,Preparatoria,Procesamiento
11606.19,27,0.8,6,Posgrado,Extracción
16543.5,37,1.2,29,Posgrado,Administración
9183.14,22,20.3,5,Secundaria,Procesamiento
14288.54,39,9.3,24,Preparatoria,Procesamiento
10624.75,35,15.0,5,Preparatoria,Procesamiento
12414.12,32,1.6,20,Universidad,Procesamiento
14651.68,23,6.2,27,Secundaria,Extracción
11746.68,40,8.5,5,Secundaria,Extracción
13269.42,32,8.0,1,Secundaria,Procesamiento
17720.14,27,3.7,3,Preparatoria,Mantenimiento
12653.95,18,0.1,19,Preparatoria,Extracción
17174.21,36,6.1,38,Universidad,Procesamiento
10884.94,50,2.0,1,Universidad,Mantenimiento
16195.37,49,4.2,26,Secundaria,Extracción
19113.02,32,22.1,8,Preparatoria,Extracción
8000.0,31,3.6,13,Secundaria,Extracción
11949.94,40,12.8,53,Universidad,Procesamiento
16346.63,28,1.5,8,Posgrado,Extracción
13850.25,38,7.8,13,Posgrado,Procesamiento
15687.67,42,26.4,1,Universidad,Procesamiento
12567.25,46,0.8,2,Secundaria,Procesamiento
14777.09,35,0.1,6,Secundaria,Extracción
