Edad,Horas_Trabajo_Semana,Ingreso_Mensual_MXN,Antiguedad_Laboral_Anios,Sector_Laboral,Nivel_Estudios
45,47,14872,5.1,Servicios,Licenciatura
46,43,16621,13.5,Construccion,Bachillerato
18,35,9315,2.9,Comercio,Licenciatura
40,43,10864,9.7,Gobierno,Posgrado
18,46,19181,7.3,Comercio,Bachillerato
44,45,26153,11.8,Servicios,Secundaria
46,36,27700,3.2,Gobierno,Bachillerato
34,49,47677,9.2,Industria,Bachillerato
35,39,41327,7.8,Industria,Secundaria
46,42,8491,2.5,Construccion,Licenciatura
37,42,23808,3.0,Industria,Bachillerato
24,48,5858,3.3,Servicios,Bachillerato
25,37,22470,5.6,Industria,Licenciatura
18,55,9511,5.5,Servicios,Secundaria
40,42,23306,10.8,Industria,Licenciatura
33,38,10880,2.8,Comercio,Posgrado
48,39,10771,4.5,Comercio,Licenciatura
25,44,1129,10.9,Servicios,Secundaria
51,45,28615,9.0,Comercio,Bachillerato
43,35,23615,3.8,Construccion,Bachillerato
48,40,19984,7.9,Servicios,Licenciatura
61,53,23047,3.7,Industria,Bachillerato
52,51,26566,8.2,Comercio,Secundaria
40,31,9711,4.0,Industria,Licenciatura
36,41,38756,3.7,Servicios,Bachillerato
38,47,13813,9.2,Servicios,Licenciatura
37,52,7349,13.6,Construccion,Licenciatura
38,38,23703,5.7,Servicios,Bachillerato
57,27,35120,6.1,Construccion,Licenciatura
30,46,13959,4.0,Comercio,Bachillerato
30,33,11445,7.9,Comercio,Bachillerato
65,32,18596,4.8,Servicios,Bachillerato
51,41,17519,12.8,Industria,Licenciatura
32,40,21194,4.0,Gobierno,Secundaria
54,32,12939,2.2,Servicios,Secundaria
48,39,11451,2.3,Construccion,Secundaria
27,49,25331,13.9,Construccion,Secundaria
52,42,34593,1.3,Industria,Licenciatura
42,37,13574,16.8,Gobierno,Bachillerato
35,45,6077,7.5,Construccion,Licenciatura
36,39,52178,0.7,Comercio,Bachillerato
33,45,14618,6.6,Industria,Posgrado
47,37,18494,4.8,Construccion,Secundaria
44,39,14052,3.1,Servicios,Licenciatura
30,45,22206,4.0,Comercio,Licenciatura
44,36,34990,14.5,Construccion,Licenciatura
23,45,27336,0.5,Construccion,Bachillerato
38,39,5088,5.8,Comercio,Licenciatura
35,37,15028,9.2,Servicios,Licenciatura
39,38,19821,4.5,Comercio,Licenciatura
65,44,13623,15.2,Industria,Secundaria
37,37,13911,4.5,Comercio,Bachillerato
47,40,13436,10.8,Servicios,Licenciatura
46,43,16819,6.5,Servicios,Licenciatura
26,45,8112,14.9,Gobierno,Secundaria
40,50,10393,4.7,Industria,Secundaria
45,43,7807,9.9,Servicios,Bachillerato
43,41,46924,10.7,Servicios,Licenciatura
47,38,7225,7.6,Comercio,Licenciatura
60,36,10940,10.1,Servicios,Secundaria
25,38,18505,2.7,Servicios,Bachillerato
43,41,24367,7.0,Servicios,Licenciatura
44,46,14212,7.2,Comercio,Licenciatura
27,41,7029,6.5,Construccion,Secundaria
33,37,27463,5.1,Servicios,Secundaria
30,50,13087,10.9,Gobierno,Licenciatura
21,34,38656,2.4,Comercio,Bachillerato
40,54,16208,2.4,Comercio,Bachillerato
60,42,17589,4.0,Gobierno,Licenciatura
59,45,15620,3.4,Servicios,Bachillerato
18,31,29300,4.0,Servicios,Bachillerato
31,35,7529,3.0,Construccion,Licenciatura
19,43,25415,10.3,Servicios,Bachillerato
37,48,8250,5.9,Industria,Secundaria
29,43,18427,2.8,Industria,Bachillerato
32,41,11621,13.2,Comercio,Secundaria
27,47,23289,0.3,Servicios,Bachillerato
38,37,10784,9.1,Servicios,Secundaria
36,39,18817,3.5,Servicios,Secundaria
44,56,9143,3.4,Comercio,Secundaria
65,46,8846,4.9,Gobierno,Secundaria
41,49,10418,4.9,Servicios,Bachillerato
41,39,11242,1.8,Servicios,Bachillerato
37,42,21309,10.0,Servicios,Bachillerato
49,31,13664,6.4,Industria,Bachillerato
29,47,22399,6.2,Industria,Bachillerato
18,35,29599,8.5,Servicios,Secundaria
23,39,18885,5.5,Servicios,Licenciatura
47,41,14024,6.5,Servicios,Secundaria
23,48,19098,2.2,Construccion,Licenciatura
42,38,23424,6.4,Industria,Bachillerato
45,55,8586,1.2,Industria,Licenciatura
49,39,8414,6.7,Comercio,Bachillerato
49,32,9618,15.8,Comercio,Secundaria
48,33,14213,9.6,Comercio,Secundaria
55,57,13578,6.2,Gobierno,Bachillerato
38,38,16691,5.1,Gobierno,Licenciatura
33,42,10119,3.9,Industria,Secundaria
33,29,16626,2.3,Industria,Licenciatura
20,55,25060,4.8,Gobierno,Licenciatura
58,31,8855,5.8,Servicios,Bachillerato
51,42,7819,7.1,Industria,Licenciatura
48,42,17235,9.1,Industria,Bachillerato
44,43,22072,4.5,Servicios,Secundaria
38,39,24935,3.6,Comercio,Secundaria
36,33,8318,8.0,Servicios,Licenciatura
42,47,13189,6.6,Servicios,Bachillerato
41,47,23359,4.9,Comercio,Secundaria
65,41,6574,11.5,Gobierno,Bachillerato
31,40,28541,1.8,Servicios,Licenciatura
18,45,22102,6.2,Comercio,Secundaria
35,42,16506,3.0,Comercio,Licenciatura
33,52,43825,8.8,Construccion,Licenciatura
35,50,26101,4.9,Servicios,Licenciatura
20,52,30865,9.8,Comercio,Secundaria
19,38,11778,6.3,Gobierno,Licenciatura
51,36,10554,16.4,Servicios,Licenciatura
39,35,10248,4.3,Gobierno,Posgrado
47,40,14895,5.1,Industria,Bachillerato
24,36,16531,10.9,Construccion,Bachillerato
51,42,40969,3.6,Servicios,Licenciatura
23,34,10691,3.6,Industria,Licenciatura
27,44,4310,9.3,Servicios,Bachillerato
50,49,21701,1.9,Comercio,Licenciatura
54,50,12452,6.4,Gobierno,Posgrado
19,48,9228,10.8,Industria,Secundaria
39,46,9447,16.4,Construccion,Posgrado
40,46,30375,2.0,Servicios,Secundaria
34,47,15198,8.5,Comercio,Secundaria
33,60,46375,9.8,Comercio,Bachillerato
42,36,10102,8.9,Construccion,Licenciatura
30,44,13590,9.8,Servicios,Licenciatura
47,47,16897,4.3,Industria,Bachillerato
39,49,15251,11.9,Construccion,Licenciatura
49,41,11699,11.0,Industria,Secundaria
60,54,25665,2.1,Gobierno,Bachillerato
34,45,19621,5.2,Servicios,Licenciatura
49,31,21528,4.0,Industria,Licenciatura
45,43,10007,6.9,Servicios,Licenciatura
46,37,15769,6.2,Gobierno,Secundaria
40,44,4673,4.0,Comercio,Secundaria
43,45,32021,2.9,Industria,Secundaria
33,50,32109,5.7,Gobierno,Secundaria
41,46,17849,9.9,Comercio,Bachillerato
44,44,6632,9.2,Servicios,Bachillerato
35,42,20586,4.6,Comercio,Licenciatura
56,35,11982,14.0,Comercio,Secundaria
20,35,26959,4.5,Comercio,Licenciatura
43,37,7772,3.0,Comercio,Licenciatura
37,50,17209,0.7,Industria,Secundaria
35,48,5623,4.3,Comercio,Bachillerato
50,42,10396,4.5,Construccion,Licenciatura
40,44,43757,0.5,Comercio,Licenciatura
44,58,15127,5.5,Gobierno,Bachillerato
34,46,32471,9.7,Construccion,Licenciatura
47,44,30216,10.4,Gobierno,Licenciatura
44,45,16192,13.6,Comercio,Licenciatura
35,39,7734,7.0,Servicios,Bachillerato
52,43,11037,6.3,Servicios,Licenciatura
39,45,18278,13.5,Gobierno,Licenciatura
29,42,13438,3.7,Comercio,Posgrado
33,48,8700,4.5,Construccion,Licenciatura
28,51,13018,12.0,Construccion,Secundaria
40,38,16626,7.3,Comercio,Bachillerato
22,42,4057,3.1,Servicios,Secundaria
46,44,13374,9.5,Gobierno,Licenciatura
29,44,10565,13.4,Industria,Posgrado
59,45,17439,6.0,Servicios,Licenciatura
51,39,15037,6.3,Industria,Posgrado
46,47,12953,10.7,Servicios,Bachillerato
31,40,13409,11.0,Comercio,Licenciatura
41,44,15947,2.6,Comercio,Secundaria
41,32,8762,4.0,Servicios,Secundaria
44,37,27212,10.3,Gobierno,Licenciatura
37,51,9151,10.5,Comercio,Secundaria
39,43,21852,11.1,Industria,Licenciatura
48,43,10735,3.8,Servicios,Licenciatura
45,49,26220,8.3,Servicios,Bachillerato
54,33,8256,4.1,Comercio,Licenciatura
40,40,10122,1.3,Construccion,Bachillerato
37,43,13733,12.3,Gobierno,Secundaria
25,45,18767,11.0,Servicios,Secundaria
32,35,15670,18.2,Comercio,Bachillerato
39,40,17487,1.5,Construccion,Licenciatura
42,49,7331,2.2,Servicios,Licenciatura
38,32,27322,13.9,Servicios,Bachillerato
42,44,23123,1.4,Gobierno,Posgrado
45,42,16465,12.3,Servicios,Licenciatura
52,47,8711,0.9,Comercio,Secundaria
51,35,17284,6.7,Gobierno,Licenciatura
35,41,14946,4.1,Comercio,Licenciatura
36,46,9006,42.0,Servicios,Secundaria
37,49,27898,2.3,Servicios,Bachillerato
45,46,16035,7.4,Servicios,Licenciatura
23,30,13963,12.2,Servicios,Secundaria
25,50,16621,6.0,Servicios,Bachillerato
37,35,9682,16.3,Gobierno,Licenciatura
45,40,13027,3.2,Industria,Licenciatura
40,43,31823,5.9,Servicios,Licenciatura
31,24,18870,7.0,Industria,Secundaria
55,53,13507,5.0,Servicios,Licenciatura
27,51,9150,17.8,Comercio,Licenciatura
33,42,24376,21.7,Servicios,Bachillerato
39,55,15379,7.2,Servicios,Licenciatura
45,48,14847,5.3,Servicios,Licenciatura
40,47,18568,8.8,Comercio,Secundaria
49,43,9864,6.2,Servicios,Bachillerato
36,50,8763,6.6,Servicios,Posgrado
49,39,11744,6.4,Comercio,Posgrado
22,40,11203,11.3,Servicios,Bachillerato
37,32,9910,9.5,Gobierno,Bachillerato
53,37,13532,7.3,Construccion,Licenciatura
26,39,16730,2.0,Comercio,Secundaria
45,37,9726,7.4,Industria,Bachillerato
30,42,20819,8.4,Industria,Licenciatura
64,37,6740,10.2,Construccion,Secundaria
42,35,12255,5.6,Construccion,Secundaria
45,44,20282,5.6,Comercio,Licenciatura
26,42,6113,15.4,Construccion,Bachillerato
50,47,17486,3.3,Comercio,Secundaria
41,40,16114,3.2,Servicios,Secundaria
48,43,7721,12.1,Gobierno,Licenciatura
52,53,17903,4.2,Servicios,Bachillerato
46,43,9760,6.7,Servicios,Bachillerato
24,52,16799,0.5,Industria,Licenciatura
18,41,8937,19.2,Servicios,Licenciatura
38,53,23131,2.7,Industria,Secundaria
39,42,22192,14.7,Construccion,Bachillerato
60,36,11482,9.2,Construccion,Licenciatura
24,35,13473,11.1,Industria,Licenciatura
48,45,10820,4.1,Servicios,Licenciatura
28,55,8067,5.0,Comercio,Licenciatura
41,53,33699,2.2,Gobierno,Secundaria
34,41,13159,11.2,Comercio,Licenciatura
60,37,20251,8.0,Industria,Licenciatura
40,43,9637,9.0,Gobierno,Licenciatura
37,53,13990,7.2,Servicios,Bachillerato
34,44,13367,15.6,Construccion,Bachillerato
31,39,21012,9.3,Comercio,Secundaria
35,37,20763,5.8,Industria,Posgrado
20,50,10548,8.4,Industria,Bachillerato
31,49,16563,5.3,Construccion,Bachillerato
48,36,10360,2.2,Servicios,Secundaria
19,46,6153,5.3,Construccion,Posgrado
41,38,12177,4.6,Servicios,Bachillerato
41,37,9535,2.0,Comercio,Licenciatura
37,41,12843,2.6,Industria,Licenciatura
59,49,8275,7.5,Servicios,Licenciatura
40,34,24798,14.4,Industria,Secundaria
41,42,17973,4.9,Servicios,Licenciatura
30,46,50971,3.3,Servicios,Bachillerato
38,42,3331,19.4,Comercio,Secundaria
41,57,21172,1.5,Industria,Licenciatura
46,42,38951,4.3,Construccion,Secundaria
50,36,7869,7.4,Comercio,Bachillerato
41,48,11017,2.9,Comercio,Licenciatura
39,43,15205,6.5,Comercio,Secundaria
18,55,35149,3.7,Comercio,Secundaria
44,47,13991,5.3,Servicios,Licenciatura
32,37,13065,17.5,Servicios,Bachillerato
53,48,19777,3.5,Gobierno,Licenciatura
45,45,19094,2.9,Comercio,Bachillerato
50,42,21961,10.1,Servicios,Licenciatura
48,39,17031,2.6,Industria,Posgrado
31,43,13562,17.6,Comercio,Bachillerato
50,33,13757,5.1,Servicios,Secundaria
44,25,15922,5.2,Gobierno,Licenciatura
34,40,38258,6.0,Gobierno,Bachillerato
33,39,6074,5.6,Servicios,Licenciatura
44,32,12794,8.9,Comercio,Secundaria
44,40,6200,5.7,Servicios,Bachillerato
47,56,25080,7.9,Industria,Licenciatura
49,33,14436,1.6,Industria,Posgrado
32,54,14370,4.8,Servicios,Secundaria
31,39,21319,2.8,Servicios,Bachillerato
31,48,9864,10.2,Comercio,Licenciatura
46,40,18684,7.9,Servicios,Bachillerato
38,45,22380,3.2,Servicios,Licenciatura
37,39,10419,11.0,Comercio,Licenciatura
31,52,17038,5.4,Servicios,Secundaria
34,32,9999,4.3,Gobierno,Bachillerato
46,46,17405,13.9,Construccion,Secundaria
44,34,23140,15.1,Servicios,Licenciatura
26,44,10034,9.0,Industria,Bachillerato
33,49,11410,18.3,Industria,Posgrado
55,36,14077,12.5,Comercio,Bachillerato
44,41,13809,4.7,Servicios,Bachillerato
51,40,15528,2.2,Industria,Licenciatura
41,48,30786,12.8,Construccion,Licenciatura
54,53,10963,2.2,Industria,Licenciatura
46,41,14799,2.4,Servicios,Secundaria
24,41,24485,5.3,Construccion,Bachillerato
35,47,12171,3.7,Construccion,Secundaria
35,36,21118,2.7,Construccion,Licenciatura
40,45,9264,13.1,Gobierno,Licenciatura
53,44,17136,10.9,Construccion,Secundaria
30,40,61640,1.8,Comercio,Bachillerato
29,48,16598,5.1,Industria,Bachillerato
35,49,11131,19.4,Gobierno,Secundaria
46,45,16636,3.2,Gobierno,Licenciatura
26,48,14431,15.9,Servicios,Bachillerato
37,56,6624,8.8,Gobierno,Secundaria
45,41,22792,1.8,Industria,Licenciatura
47,44,12134,9.3,Construccion,Bachillerato
60,50,22161,13.5,Industria,Secundaria
22,42,22137,4.9,Servicios,Bachillerato
49,45,15862,12.0,Construccion,Licenciatura
41,41,13663,6.2,Gobierno,Licenciatura
36,51,11424,4.1,Comercio,Secundaria
44,35,10915,5.2,Comercio,Licenciatura
41,39,9274,9.3,Industria,Bachillerato
38,58,10248,15.1,Comercio,Posgrado
27,38,10704,3.5,Construccion,Licenciatura
47,43,11166,10.5,Gobierno,Bachillerato
52,45,23095,3.2,Gobierno,Licenciatura
33,50,11257,9.8,Comercio,Bachillerato
78,43,10936,3.0,Construccion,Bachillerato
42,33,51706,5.3,Industria,Bachillerato
29,51,13734,9.4,Gobierno,Licenciatura
41,41,19366,10.3,Comercio,Bachillerato
48,36,17759,1.9,Comercio,Secundaria
39,45,8064,4.2,Servicios,Licenciatura
28,38,40689,6.2,Servicios,Secundaria
36,46,36838,11.5,Servicios,Licenciatura
24,30,14893,1.1,Servicios,Licenciatura
38,41,10924,1.5,Gobierno,Bachillerato
42,37,22727,2.7,Servicios,Licenciatura
34,40,33251,6.3,Servicios,Bachillerato
36,50,20991,9.6,Industria,Secundaria
45,35,45297,6.0,Construccion,Bachillerato
44,43,6667,6.2,Industria,Secundaria
38,47,54282,4.4,Construccion,Licenciatura
26,33,27828,2.8,Servicios,Posgrado
49,40,12545,12.3,Servicios,Bachillerato
43,51,13754,5.5,Industria,Licenciatura
39,31,7866,7.2,Servicios,Secundaria
44,44,10120,12.1,Comercio,Secundaria
21,32,14432,20.0,Construccion,Licenciatura
35,42,13869,5.2,Servicios,Bachillerato
18,51,8234,3.3,Industria,Secundaria
52,44,22896,10.3,Industria,Bachillerato
29,50,13993,9.9,Comercio,Bachillerato
27,37,11927,7.5,Gobierno,Licenciatura
42,44,6424,9.2,Servicios,Licenciatura
62,41,61880,0.3,Servicios,Licenciatura
40,38,8579,11.1,Construccion,Bachillerato
43,32,17187,5.0,Servicios,Bachillerato
32,40,19135,1.6,Servicios,Licenciatura
32,44,15436,14.8,Construccion,Licenciatura
30,38,6595,8.2,Gobierno,Licenciatura
30,35,13762,6.4,Industria,Licenciatura
52,41,12426,4.3,Servicios,Bachillerato
40,51,8842,9.9,Comercio,Licenciatura
35,38,5154,5.6,Servicios,Secundaria
26,51,3079,3.1,Servicios,Licenciatura
30,43,11164,8.4,Gobierno,Secundaria
32,34,18419,1.0,Comercio,Bachillerato
19,47,19486,5.4,Servicios,Licenciatura
37,47,22362,3.1,Construccion,Licenciatura
48,34,24190,9.0,Comercio,Licenciatura
50,46,21241,5.4,Industria,Secundaria
46,36,44705,18.2,Comercio,Licenciatura
33,42,14882,7.6,Industria,Licenciatura
40,37,30565,9.3,Industria,Licenciatura
37,53,9171,1.5,Comercio,Bachillerato
50,50,18788,5.4,Comercio,Licenciatura
35,47,20783,10.4,Industria,Licenciatura
36,47,13166,6.3,Servicios,Licenciatura
30,57,23017,19.5,Gobierno,Licenciatura
54,44,16767,6.5,Comercio,Licenciatura
55,41,8240,6.1,Servicios,Licenciatura
49,33,14571,18.8,Comercio,Bachillerato
32,52,6231,2.2,Comercio,Secundaria
53,39,23295,9.8,Gobierno,Licenciatura
35,46,22772,8.3,Construccion,Bachillerato
43,34,9796,2.9,Construccion,Licenciatura
52,57,32765,3.5,Gobierno,Licenciatura
18,40,8340,6.5,Comercio,Bachillerato
22,29,5475,7.4,Servicios,Bachillerato
45,51,11494,13.6,Construccion,Secundaria
29,52,51576,12.5,Servicios,Licenciatura
29,38,13882,3.3,Servicios,Bachillerato
40,58,9106,1.7,Construccion,Bachillerato
49,49,9963,2.2,Comercio,Posgrado
29,33,7008,5.5,Construccion,Licenciatura
39,43,21165,18.3,Comercio,Licenciatura
39,44,11936,9.9,Servicios,Bachillerato
50,53,6662,2.8,Construccion,Secundaria
45,39,11119,5.5,Comercio,Licenciatura
18,44,14379,8.1,Industria,Secundaria
31,46,16494,14.3,Gobierno,Bachillerato
56,48,9565,10.1,Servicios,Bachillerato
36,48,29651,7.2,Comercio,Licenciatura
39,40,36728,6.2,Servicios,Secundaria
24,34,3520,7.5,Industria,Licenciatura
55,48,16195,13.8,Comercio,Bachillerato
38,47,14874,15.3,Comercio,Licenciatura
45,41,10247,5.4,Servicios,Licenciatura
37,42,25256,10.2,Comercio,Secundaria
40,48,10442,9.3,Comercio,Licenciatura
52,44,24552,6.1,Industria,Secundaria
44,48,14594,3.7,Industria,Secundaria
53,55,42822,1.7,Comercio,Licenciatura
44,49,14070,1.6,Gobierno,Posgrado
38,49,17445,8.2,Comercio,Licenciatura
39,45,9765,10.7,Servicios,Bachillerato
18,35,9434,4.2,Servicios,Licenciatura
36,42,11784,6.0,Comercio,Posgrado
37,40,9993,5.9,Industria,Secundaria
37,48,16514,14.9,Servicios,Posgrado
31,30,10575,7.6,Comercio,Posgrado
28,50,14402,10.2,Servicios,Secundaria
37,41,7828,6.7,Industria,Secundaria
25,37,9461,17.0,Servicios,Bachillerato
46,38,10529,5.2,Comercio,Licenciatura
35,28,31523,7.9,Servicios,Licenciatura
45,44,33493,12.4,Comercio,Posgrado
41,50,8803,6.3,Comercio,Licenciatura
39,47,39476,20.7,Servicios,Secundaria
41,46,26519,6.2,Construccion,Licenciatura
42,36,11204,1.7,Industria,Secundaria
32,39,17373,29.4,Gobierno,Secundaria
18,49,15863,3.3,Comercio,Licenciatura
43,39,9659,15.6,Comercio,Secundaria
42,38,22363,4.1,Servicios,Licenciatura
33,43,9252,9.4,Industria,Licenciatura
58,44,9636,9.9,Servicios,Posgrado
26,42,14276,7.8,Comercio,Bachillerato
45,37,24920,1.4,Gobierno,Secundaria
34,37,14334,8.3,Servicios,Licenciatura
35,47,24608,10.3,Servicios,Posgrado
46,51,13014,8.8,Industria,Licenciatura
39,38,15813,11.8,Servicios,Bachillerato
34,44,5525,10.6,Industria,Bachillerato
18,33,13149,8.9,Comercio,Secundaria
23,27,11969,7.7,Construccion,Bachillerato
59,45,9764,4.9,Comercio,Licenciatura
24,53,23104,4.6,Comercio,Bachillerato
38,37,10250,4.3,Comercio,Secundaria
49,45,14303,12.7,Servicios,Posgrado
48,57,8263,17.7,Servicios,Secundaria
48,53,12609,5.4,Industria,Licenciatura
56,47,11304,7.3,Construccion,Licenciatura
45,43,15605,15.8,Servicios,Licenciatura
37,39,20420,2.2,Comercio,Licenciatura
46,49,15259,2.2,Construccion,Bachillerato
52,46,9526,11.1,Gobierno,Secundaria
54,59,9661,8.7,Servicios,Licenciatura
43,47,20893,10.6,Gobierno,Bachillerato
48,44,9026,3.6,Industria,Licenciatura
39,42,11214,2.9,Gobierno,Licenciatura
28,34,11413,26.5,Servicios,Licenciatura
46,41,22240,2.7,Industria,Bachillerato
51,39,4961,6.5,Comercio,Licenciatura
22,41,6481,4.1,Industria,Licenciatura
35,48,5580,2.4,Servicios,Licenciatura
46,52,11550,4.1,Servicios,Bachillerato
54,40,20943,8.2,Servicios,Secundaria
41,30,7138,1.5,Industria,Secundaria
22,35,16134,6.4,Gobierno,Bachillerato
52,43,10117,1.5,Servicios,Licenciatura
49,41,14638,7.6,Comercio,Bachillerato
45,42,29554,4.6,Servicios,Posgrado
32,39,9118,15.7,Comercio,Bachillerato
18,44,25222,13.0,Construccion,Bachillerato
23,44,6568,2.9,Industria,Licenciatura
48,49,16361,3.4,Gobierno,Secundaria
43,35,23524,17.6,Servicios,Licenciatura
39,35,11799,12.9,Comercio,Licenciatura
43,48,14723,4.4,Servicios,Bachillerato
22,40,8569,8.0,Servicios,Licenciatura
52,33,41898,5.7,Construccion,Licenciatura
53,42,23910,2.6,Servicios,Posgrado
28,38,8943,3.4,Construccion,Bachillerato
30,47,10550,18.2,Servicios,Licenciatura
36,37,7871,6.5,Comercio,Secundaria
40,35,16628,3.7,Industria,Licenciatura
36,40,9906,8.7,Servicios,Secundaria
38,32,8111,11.4,Industria,Posgrado
43,51,14416,4.2,Gobierno,Posgrado
30,46,32473,7.4,Comercio,Posgrado
36,50,6889,7.3,Servicios,Bachillerato
19,31,32941,9.7,Comercio,Bachillerato
32,50,8624,2.8,Gobierno,Bachillerato
32,36,12009,6.2,Servicios,Licenciatura
29,43,12165,13.6,Industria,Secundaria
40,33,14112,9.4,Comercio,Licenciatura
47,35,6875,2.8,Comercio,Secundaria
54,46,16750,1.9,Comercio,Licenciatura
56,38,12042,5.7,Construccion,Bachillerato
37,40,19196,7.3,Servicios,Bachillerato
51,33,4191,1.6,Servicios,Secundaria
38,29,19030,13.2,Construccion,Licenciatura
52,42,12651,5.3,Comercio,Secundaria
24,49,27252,2.5,Servicios,Secundaria
37,47,10632,3.5,Construccion,Licenciatura
42,43,5466,6.1,Servicios,Licenciatura
48,49,16059,2.6,Servicios,Licenciatura
39,48,12147,1.6,Gobierno,Licenciatura
29,45,34935,3.2,Industria,Bachillerato
29,47,33014,4.2,Construccion,Secundaria
43,48,36726,5.5,Industria,Posgrado
54,37,25662,10.6,Servicios,Licenciatura
49,45,16090,5.3,Comercio,Secundaria
36,47,9522,7.1,Comercio,Bachillerato
31,44,5639,1.9,Servicios,Bachillerato
35,38,11696,7.4,Servicios,Bachillerato
35,47,12325,9.4,Servicios,Licenciatura
18,48,6606,9.7,Construccion,Bachillerato
37,52,12791,11.1,Servicios,Licenciatura
