"","Mapa","Cve_Ent","Nom_Ent","Nom_Abr","Cve_Mun","Nom_Mun","Cve_Loc","Nom_Loc","Ámbito","Latitud","Longitud","Lat_Decimal","Lon_Decimal","Altitud","Cve_Carta","Pob_Total","Pob_Masculina","Pob_Femenina","Total De Viviendas Habitadas"
"27","100050157","10","Durango","Dgo.","005","Durango","0157","Hacienda el Chorro","R","24°16´06.753""N","104°27´06.059""W",24.268543,-104.451683,1865,"G13D72","0","0","0","0"
"28","100050159","10","Durango","Dgo.","005","Durango","0159","Dieciocho de Marzo","R","23°49´19.809""N","104°26´15.532""W",23.822169,-104.437648,1951,"F13B12","275","139","136","63"
"29","100050160","10","Durango","Dgo.","005","Durango","0160","Dieciséis de Septiembre (Cieneguita de Fullman)","R","24°00´26.917""N","104°48´26.194""W",24.007477,-104.807276,2254,"G13D81","278","140","138","64"
"30","100050164","10","Durango","Dgo.","005","Durango","0164","Dolores Hidalgo","R","24°00´12.729""N","104°34´26.251""W",24.003536,-104.573959,1867,"G13D82","735","353","382","183"
"31","100050165","10","Durango","Dgo.","005","Durango","0165","El Durazno","R","23°57´42.665""N","104°44´30.678""W",23.961851,-104.741855,1913,"F13B11","414","196","218","97"
"32","100050167","10","Durango","Dgo.","005","Durango","0167","Empalme Purísima","R","23°55´56.019""N","105°05´54.946""W",23.932228,-105.098596,2479,"F13A19","86","42","44","24"
"33","100050168","10","Durango","Dgo.","005","Durango","0168","El Encinal","R","23°43´03.549""N","105°02´00.319""W",23.717653,-105.033422,2611,"F13A29","231","121","110","54"
"34","100050171","10","Durango","Dgo.","005","Durango","0171","Regocijo","R","23°41´26.637""N","105°07´49.072""W",23.690733,-105.130298,2572,"F13A29","225","121","104","63"
"35","100050172","10","Durango","Dgo.","005","Durango","0172","La Flor","R","23°31´53.157""N","104°43´23.201""W",23.531433,-104.723111,2818,"F13B21","103","56","47","22"
"36","100050173","10","Durango","Dgo.","005","Durango","0173","Fray Francisco Montes de Oca","R","24°02´53.782""N","104°33´08.480""W",24.048273,-104.552356,1861,"G13D82","610","291","319","133"
"37","100050174","10","Durango","Dgo.","005","Durango","0174","Francisco Villa Nuevo","R","24°02´56.766""N","104°29´16.657""W",24.049102,-104.48796,1863,"G13D82","145","72","73","41"
"38","100050175","10","Durango","Dgo.","005","Durango","0175","Francisco Villa Viejo","R","24°04´02.970""N","104°29´32.425""W",24.067492,-104.49234,1856,"G13D82","243","121","122","64"
"39","100050176","10","Durango","Dgo.","005","Durango","0176","Gabino Santillán","R","23°58´49.206""N","104°35´41.247""W",23.980335,-104.594791,1874,"F13B12","683","333","350","160"
"40","100050177","10","Durango","Dgo.","005","Durango","0177","General Carlos Real","R","24°17´03.422""N","104°27´06.532""W",24.284284,-104.451814,1872,"G13D72","781","399","382","204"
"41","100050179","10","Durango","Dgo.","005","Durango","0179","Colonia General Felipe Ángeles","R","23°55´56.606""N","104°33´27.127""W",23.932391,-104.557535,1874,"F13B12","138","65","73","33"
"42","100050180","10","Durango","Dgo.","005","Durango","0180","General Felipe Ángeles (Ejido)","R","23°55´16.583""N","104°32´12.903""W",23.921273,-104.536918,1879,"F13B12","511","265","246","121"
"43","100050181","10","Durango","Dgo.","005","Durango","0181","General Mariano Matamoros","R","23°50´26.450""N","104°25´14.220""W",23.840681,-104.420617,1999,"F13B12","316","164","152","81"
"44","100050182","10","Durango","Dgo.","005","Durango","0182","General Máximo García (El Pino)","R","23°58´06.483""N","104°49´04.635""W",23.968468,-104.817954,2314,"F13B11","619","322","297","142"
"45","100050185","10","Durango","Dgo.","005","Durango","0185","Héroe de Nacozari","R","24°01´06.472""N","104°22´57.146""W",24.018464,-104.382541,1863,"G13D82","516","255","261","118"
"46","100050187","10","Durango","Dgo.","005","Durango","0187","Colonia Hidalgo","R","24°09´33.242""N","104°35´04.635""W",24.159234,-104.584621,1869,"G13D82","1986","972","1014","514"
"47","100050188","10","Durango","Dgo.","005","Durango","0188","Las Huertas","R","24°16´42.021""N","104°17´28.502""W",24.278339,-104.291251,1936,"G13D73","130","67","63","36"
"48","100050189","10","Durango","Dgo.","005","Durango","0189","Ignacio López Rayón","R","23°55´35.953""N","104°29´50.876""W",23.926654,-104.497466,1878,"F13B12","547","288","259","106"
"49","100050190","10","Durango","Dgo.","005","Durango","0190","Ignacio Zaragoza","R","24°22´23.247""N","105°09´01.334""W",24.373124,-105.150371,2266,"G13C79","341","181","160","85"
"50","100050191","10","Durango","Dgo.","005","Durango","0191","Independencia y Libertad","R","24°02´38.424""N","104°20´26.468""W",24.044007,-104.340686,1845,"G13D82","890","445","445","232"
"51","100050192","10","Durango","Dgo.","005","Durango","0192","Jesús González Ortega (Pericos)","R","24°10´24.912""N","105°03´16.646""W",24.173587,-105.054624,2388,"G13C89","161","89","72","33"
"52","100050193","10","Durango","Dgo.","005","Durango","0193","José María Morelos y Pavón (La Tinaja)","R","24°04´30.872""N","104°39´20.223""W",24.075242,-104.655618,1900,"G13D82","1072","529","543","260"
"53","100050194","10","Durango","Dgo.","005","Durango","0194","José Refugio Salcido","R","23°57´54.047""N","104°31´04.343""W",23.965013,-104.517873,1870,"F13B12","1262","613","649","313"
"54","100050195","10","Durango","Dgo.","005","Durango","0195","La Joya","R","24°14´15.894""N","104°42´52.120""W",24.237748,-104.714478,1898,"G13D81","353","167","186","80"
"55","100050196","10","Durango","Dgo.","005","Durango","0196","Juan Aldama","R","23°57´39.942""N","104°26´24.573""W",23.961095,-104.440159,1876,"F13B12","80","42","38","31"
"56","100050197","10","Durango","Dgo.","005","Durango","0197","Juan B. Ceballos","R","24°12´25.718""N","104°40´02.596""W",24.207144,-104.667388,1900,"G13D81","699","344","355","168"
"57","100050200","10","Durango","Dgo.","005","Durango","0200","Rancho Laguna Colorada de los López","R","24°10´41.175""N","105°08´09.701""W",24.178104,-105.136028,2384,"G13C89","5","4","1","3"
"58","100050201","10","Durango","Dgo.","005","Durango","0201","La Laguna de Peyro","R","24°10´23.729""N","104°38´24.088""W",24.173258,-104.640024,1880,"G13D82","0","0","0","0"
"59","100050202","10","Durango","Dgo.","005","Durango","0202","General Lázaro Cárdenas","R","24°06´54.560""N","104°31´59.942""W",24.115156,-104.533317,1859,"G13D82","38","21","17","11"
"60","100050203","10","Durango","Dgo.","005","Durango","0203","La Luz","R","24°12´21.593""N","105°03´28.618""W",24.205998,-105.057949,2389,"G13C89","210","108","102","50"
"61","100050204","10","Durango","Dgo.","005","Durango","0204","Llano Grande","R","23°51´49.000""N","105°12´23.000""W",23.863611,-105.206389,2416,"F13A19","1938","990","948","483"
"62","100050205","10","Durango","Dgo.","005","Durango","0205","Málaga","R","24°09´26.370""N","104°29´50.953""W",24.157325,-104.497487,1856,"G13D82","273","135","138","61"
"63","100050206","10","Durango","Dgo.","005","Durango","0206","Las Mangas","R","24°03´53.029""N","104°41´33.787""W",24.06473,-104.692719,1929,"G13D81","0","0","0","0"
"64","100050207","10","Durango","Dgo.","005","Durango","0207","San Miguel de las Maravillas de Arriba","R","23°53´24.258""N","104°38´44.686""W",23.890072,-104.645746,1928,"F13B12","167","86","81","35"
"65","100050208","10","Durango","Dgo.","005","Durango","0208","Mesas de Urbina","R","24°18´16.988""N","105°11´22.392""W",24.304719,-105.189553,2405,"G13C79","114","67","47","31"
"66","100050209","10","Durango","Dgo.","005","Durango","0209","Metates (Tenchontle)","R","23°56´51.458""N","104°50´20.996""W",23.947627,-104.839166,2286,"F13B11","161","84","77","37"
"67","100050210","10","Durango","Dgo.","005","Durango","0210","Los Mimbres","R","23°55´43.883""N","104°58´57.356""W",23.928856,-104.982599,2386,"F13B11","155","80","75","36"
"68","100050211","10","Durango","Dgo.","005","Durango","0211","Minerva (Colonia)","R","23°55´56.053""N","104°27´00.745""W",23.932237,-104.450207,1875,"F13B12","175","79","96","47"
"69","100050212","10","Durango","Dgo.","005","Durango","0212","Mi Patria es Primero (Mesa del Cuervo)","R","24°05´45.413""N","105°08´26.035""W",24.095948,-105.140565,2603,"G13C89","92","50","42","24"
"70","100050214","10","Durango","Dgo.","005","Durango","0214","Morcillo","R","24°10´04.771""N","104°42´10.210""W",24.167992,-104.702836,1920,"G13D81","885","458","427","213"
"71","100050215","10","Durango","Dgo.","005","Durango","0215","Colonia José María Morelos","R","24°20´23.376""N","104°26´44.785""W",24.339827,-104.445774,1930,"G13D72","58","29","29","10"
"72","100050216","10","Durango","Dgo.","005","Durango","0216","Navajas","R","23°52´56.348""N","105°08´51.888""W",23.882319,-105.147747,2441,"F13A19","261","130","131","56"
"73","100050217","10","Durango","Dgo.","005","Durango","0217","Navacoyán","R","24°02´56.889""N","104°32´58.657""W",24.049136,-104.549627,1858,"G13D82","622","304","318","139"
"74","100050218","10","Durango","Dgo.","005","Durango","0218","Navíos","R","23°53´45.903""N","105°02´55.428""W",23.896084,-105.04873,2512,"F13A19","67","31","36","15"
"75","100050219","10","Durango","Dgo.","005","Durango","0219","El Nayar","U","23°57´41.050""N","104°41´53.132""W",23.961403,-104.698092,1891,"F13B11","3308","1627","1681","769"
"76","100050220","10","Durango","Dgo.","005","Durango","0220","Rancho Nevería","R","24°01´18.715""N","104°52´14.239""W",24.021865,-104.870622,2259,"G13D81","1","*","*","1"
"77","100050221","10","Durango","Dgo.","005","Durango","0221","Nicolás Romero","R","23°47´30.647""N","104°29´16.357""W",23.791846,-104.487877,1990,"F13B12","754","365","389","181"
"78","100050222","10","Durango","Dgo.","005","Durango","0222","Nueva Patria (Santo Domingo)","R","24°03´23.580""N","105°27´41.925""W",24.05655,-105.461646,2267,"G13C88","453","226","227","110"
"79","100050223","10","Durango","Dgo.","005","Durango","0223","Otinapa","R","24°03´07.052""N","105°00´30.888""W",24.051959,-105.00858,2399,"G13C89","262","138","124","73"
"80","100050224","10","Durango","Dgo.","005","Durango","0224","Colonia las Palmas","R","23°49´38.185""N","104°27´07.612""W",23.827274,-104.452114,1924,"F13B12","4","*","*","2"
"81","100050226","10","Durango","Dgo.","005","Durango","0226","Parras de la Fuente","R","23°59´48.583""N","104°31´53.961""W",23.996829,-104.531656,1863,"F13B12","686","317","369","162"
"82","100050228","10","Durango","Dgo.","005","Durango","0228","Hacienda la Pila","R","24°07´07.408""N","104°17´17.455""W",24.118724,-104.288182,1884,"G13D83","0","0","0","0"
"83","100050229","10","Durango","Dgo.","005","Durango","0229","Pilar de Zaragoza","R","23°55´30.471""N","104°36´10.086""W",23.925131,-104.602802,1876,"F13B12","813","416","397","162"
"84","100050231","10","Durango","Dgo.","005","Durango","0231","Plan de Ayala","R","23°54´11.748""N","104°32´14.772""W",23.903263,-104.537437,1893,"F13B12","899","448","451","168"
"85","100050234","10","Durango","Dgo.","005","Durango","0234","Praxedis G. Guerrero Viejo","R","23°57´00.894""N","104°33´32.348""W",23.950248,-104.558986,1874,"F13B12","182","96","86","39"
"86","100050235","10","Durango","Dgo.","005","Durango","0235","Primero de Mayo","R","24°01´43.855""N","104°21´01.381""W",24.028849,-104.350384,1848,"G13D82","655","333","322","143"
"87","100050236","10","Durango","Dgo.","005","Durango","0236","El Pueblito","R","23°58´05.553""N","104°43´15.669""W",23.968209,-104.721019,1883,"F13B11","613","291","322","145"
"88","100050237","10","Durango","Dgo.","005","Durango","0237","Puerta de la Cantera","R","23°54´26.130""N","104°35´37.826""W",23.907258,-104.593841,1891,"F13B12","475","224","251","98"
"89","100050238","10","Durango","Dgo.","005","Durango","0238","La Puerta de Santiago Bayacora (Puerta Chica)","R","23°54´40.071""N","104°36´07.985""W",23.911131,-104.602218,1891,"F13B12","153","73","80","37"
"90","100050239","10","Durango","Dgo.","005","Durango","0239","La Punta","R","24°02´16.669""N","104°20´48.928""W",24.037964,-104.346924,1849,"G13D82","0","0","0","0"
"91","100050241","10","Durango","Dgo.","005","Durango","0241","Quince de Octubre","R","24°01´36.554""N","104°34´37.691""W",24.026821,-104.577136,1870,"G13D82","356","182","174","82"
"92","100050242","10","Durango","Dgo.","005","Durango","0242","Quince de Septiembre","R","23°57´12.753""N","104°36´35.622""W",23.953543,-104.609895,1877,"F13B12","645","323","322","151"
"93","100050243","10","Durango","Dgo.","005","Durango","0243","La Quinta","R","24°08´54.185""N","105°00´41.416""W",24.148385,-105.011504,2305,"G13C89","72","40","32","20"
"94","100050244","10","Durango","Dgo.","005","Durango","0244","Quinta Don Goyo (Granja el Refugio)","R","24°04´22.261""N","104°34´00.906""W",24.07285,-104.566918,1859,"G13D82","5","*","*","1"
"95","100050247","10","Durango","Dgo.","005","Durango","0247","Río Verde","R","24°16´20.796""N","104°59´52.202""W",24.272443,-104.997834,2450,"G13D71","202","111","91","48"
"96","100050248","10","Durango","Dgo.","005","Durango","0248","Rodríguez Puebla","R","24°19´17.995""N","105°04´09.467""W",24.321665,-105.069296,2483,"G13C79","147","72","75","34"
"97","100050249","10","Durango","Dgo.","005","Durango","0249","La Perla (Salcido)","R","24°13´03.137""N","104°42´26.678""W",24.217538,-104.707411,1898,"G13D81","81","44","37","21"
"98","100050250","10","Durango","Dgo.","005","Durango","0250","Rancho los Pelícanos","R","23°59´05.237""N","104°35´37.917""W",23.984788,-104.593866,1870,"F13B12","6","*","*","1"
"99","100050253","10","Durango","Dgo.","005","Durango","0253","San Antonio de las Basuras","R","24°05´52.806""N","105°22´11.752""W",24.098002,-105.369931,2543,"G13C88","37","20","17","11"
"100","100050254","10","Durango","Dgo.","005","Durango","0254","San Benito","R","24°13´51.898""N","105°01´43.352""W",24.231083,-105.028709,2389,"G13C89","160","84","76","33"
"101","100050255","10","Durango","Dgo.","005","Durango","0255","San Carlos","R","24°04´26.338""N","104°33´39.199""W",24.073983,-104.560889,1860,"G13D82","43","23","20","11"
"102","100050256","10","Durango","Dgo.","005","Durango","0256","San Felipe","R","24°09´49.112""N","104°32´18.411""W",24.163642,-104.538448,1861,"G13D82","0","0","0","0"
"103","100050257","10","Durango","Dgo.","005","Durango","0257","San Francisco","R","24°21´07.872""N","104°21´11.416""W",24.352187,-104.353171,1917,"G13D72","0","0","0","0"
"104","100050258","10","Durango","Dgo.","005","Durango","0258","San Francisco de Calleros","R","23°59´07.758""N","104°36´13.688""W",23.985488,-104.603802,1871,"F13B12","27","12","15","8"
"105","100050259","10","Durango","Dgo.","005","Durango","0259","San Isidro","R","23°40´03.718""N","105°01´54.681""W",23.667699,-105.031856,2499,"F13A29","482","253","229","114"
"106","100050260","10","Durango","Dgo.","005","Durango","0260","Ganadera San Jerónimo","R","24°17´00.283""N","104°24´19.965""W",24.283412,-104.405546,1881,"G13D72","0","0","0","0"
"107","100050261","10","Durango","Dgo.","005","Durango","0261","San José de Ánimas","R","24°00´41.505""N","105°29´54.622""W",24.011529,-105.498506,2220,"G13C88","286","163","123","63"
"108","100050262","10","Durango","Dgo.","005","Durango","0262","San José de Arenales","R","24°14´06.703""N","105°11´20.256""W",24.235195,-105.18896,2289,"G13C89","6","*","*","1"
"109","100050263","10","Durango","Dgo.","005","Durango","0263","San José de la Vinata","R","23°56´59.368""N","104°40´35.294""W",23.949824,-104.676471,1887,"F13B11","248","121","127","58"
"110","100050264","10","Durango","Dgo.","005","Durango","0264","San José del Molino","R","24°12´10.908""N","104°36´56.432""W",24.20303,-104.615676,1874,"G13D82","475","254","221","121"
"111","100050266","10","Durango","Dgo.","005","Durango","0266","San Juan de Dios [Rancho]","R","24°06´06.867""N","104°40´35.915""W",24.101908,-104.676643,1932,"G13D81","1","*","*","1"
"112","100050267","10","Durango","Dgo.","005","Durango","0267","San Miguel [Granja]","R","23°59´12.409""N","104°38´09.683""W",23.98678,-104.636023,1877,"F13B12","25","12","13","6"
"113","100050268","10","Durango","Dgo.","005","Durango","0268","San Pedro de la Máquina","R","24°08´27.163""N","105°02´30.303""W",24.140879,-105.041751,2347,"G13C89","29","17","12","7"
"114","100050271","10","Durango","Dgo.","005","Durango","0271","San Salvador de Casa Blanca","R","24°09´13.974""N","104°43´04.425""W",24.153882,-104.717896,1915,"G13D81","59","28","31","17"
"115","100050273","10","Durango","Dgo.","005","Durango","0273","Santa Cruz del Río","R","24°06´49.655""N","104°34´18.094""W",24.113793,-104.571693,1871,"G13D82","64","33","31","17"
"116","100050275","10","Durango","Dgo.","005","Durango","0275","Santa Isabel de Batres","R","24°11´42.095""N","104°54´43.231""W",24.195026,-104.912009,2488,"G13D81","96","52","44","26"
"117","100050277","10","Durango","Dgo.","005","Durango","0277","Santiago Bayacora","R","23°53´44.739""N","104°36´51.745""W",23.895761,-104.614374,1891,"F13B12","1218","616","602","280"
"118","100050278","10","Durango","Dgo.","005","Durango","0278","San Vicente de Chupaderos","R","24°07´07.807""N","104°42´51.081""W",24.118835,-104.714189,1961,"G13D81","784","379","405","173"
"119","100050279","10","Durango","Dgo.","005","Durango","0279","Sebastián Lerdo de Tejada","R","23°57´20.059""N","104°38´17.315""W",23.955572,-104.638143,1888,"F13B12","1712","841","871","376"
"120","100050281","10","Durango","Dgo.","005","Durango","0281","El Tepetate","R","24°03´54.215""N","104°33´56.183""W",24.06506,-104.565606,1860,"G13D82","18","8","10","3"
"121","100050282","10","Durango","Dgo.","005","Durango","0282","El Toboso","R","24°16´21.487""N","104°34´40.532""W",24.272635,-104.577926,1884,"G13D72","64","38","26","19"
"122","100050283","10","Durango","Dgo.","005","Durango","0283","Tomás Urbina","R","23°50´46.382""N","104°28´44.916""W",23.846217,-104.479143,1930,"F13B12","719","359","360","166"
"123","100050284","10","Durango","Dgo.","005","Durango","0284","Rancho Bermúdez","R","24°10´41.868""N","104°34´18.337""W",24.178297,-104.57176,1867,"G13D82","0","0","0","0"
"124","100050285","10","Durango","Dgo.","005","Durango","0285","El Tunal","R","23°57´54.682""N","104°42´34.691""W",23.965189,-104.709636,1876,"F13B11","292","149","143","75"
"125","100050286","10","Durango","Dgo.","005","Durango","0286","Unidos Venceremos","R","23°58´57.800""N","105°24´33.908""W",23.982722,-105.409419,2318,"F13A18","308","155","153","82"
"126","100050287","10","Durango","Dgo.","005","Durango","0287","Unión de Rodríguez","R","24°13´20.280""N","105°02´14.348""W",24.2223,-105.037319,2382,"G13C89","38","21","17","8"
"127","100050289","10","Durango","Dgo.","005","Durango","0289","Valle Florido","R","23°50´34.378""N","104°29´39.910""W",23.842883,-104.494419,1931,"F13B12","517","239","278","117"
"128","100050292","10","Durango","Dgo.","005","Durango","0292","Veintiocho de Septiembre","R","23°58´04.156""N","104°32´30.106""W",23.967821,-104.541696,1867,"F13B12","245","115","130","56"
"129","100050293","10","Durango","Dgo.","005","Durango","0293","Veintisiete de Noviembre","R","24°12´35.893""N","104°30´08.957""W",24.20997,-104.502488,1861,"G13D82","400","181","219","80"
"130","100050294","10","Durango","Dgo.","005","Durango","0294","El Vergel [Rancho]","R","23°53´27.989""N","104°29´24.250""W",23.891108,-104.490069,1891,"F13B12","-","-","-","-"
"131","100050295","10","Durango","Dgo.","005","Durango","0295","Vicente Suárez","R","24°20´25.513""N","104°26´41.811""W",24.34042,-104.444948,1927,"G13D72","92","46","46","22"
"132","100050297","10","Durango","Dgo.","005","Durango","0297","José María Pino Suárez","R","23°52´37.049""N","104°29´32.046""W",23.876958,-104.492235,1898,"F13B12","2014","990","1024","480"
"133","100050298","10","Durango","Dgo.","005","Durango","0298","Villa Montemorelos","R","23°59´31.423""N","104°28´51.390""W",23.992062,-104.480942,1861,"F13B12","1617","778","839","420"
"134","100050300","10","Durango","Dgo.","005","Durango","0300","Nuevo Centenario","R","23°46´29.855""N","104°59´28.964""W",23.77496,-104.991379,2556,"F13B11","59","25","34","13"
"135","100050304","10","Durango","Dgo.","005","Durango","0304","El Refugio (El Conejo)","R","23°58´34.976""N","104°42´01.966""W",23.976382,-104.700546,1894,"F13B11","668","310","358","151"
"136","100050305","10","Durango","Dgo.","005","Durango","0305","El Jaralillo","R","24°11´58.394""N","104°17´27.761""W",24.199554,-104.291045,1956,"G13D83","0","0","0","0"
"137","100050306","10","Durango","Dgo.","005","Durango","0306","Los Negros","R","24°17´02.494""N","105°08´02.462""W",24.284026,-105.134017,2390,"G13C79","2","*","*","1"
"138","100050307","10","Durango","Dgo.","005","Durango","0307","San José del Prado","R","24°16´09.824""N","105°05´29.048""W",24.269396,-105.091402,2441,"G13C79","7","*","*","2"
"139","100050308","10","Durango","Dgo.","005","Durango","0308","El Tecolote","R","24°09´30.037""N","104°26´45.741""W",24.158344,-104.446039,1861,"G13D82","0","0","0","0"
"140","100050309","10","Durango","Dgo.","005","Durango","0309","San Ramón","R","24°12´22.274""N","104°42´29.420""W",24.206187,-104.708172,1898,"G13D81","0","0","0","0"
"141","100050310","10","Durango","Dgo.","005","Durango","0310","El Mezquite","R","24°13´38.576""N","104°43´21.076""W",24.227382,-104.722521,1919,"G13D81","4","*","*","2"
"142","100050311","10","Durango","Dgo.","005","Durango","0311","Rancho la Herradura","R","24°14´12.317""N","104°42´13.185""W",24.236755,-104.703663,1902,"G13D81","0","0","0","0"
"143","100050312","10","Durango","Dgo.","005","Durango","0312","San Leonardo","R","24°12´01.463""N","104°43´31.051""W",24.200406,-104.725292,1918,"G13D81","6","*","*","1"
"144","100050313","10","Durango","Dgo.","005","Durango","0313","Campo Verde","R","24°11´22.390""N","104°42´45.935""W",24.189553,-104.71276,1899,"G13D81","8","*","*","1"
"145","100050314","10","Durango","Dgo.","005","Durango","0314","Acapulco","R","24°11´40.180""N","104°40´05.069""W",24.194494,-104.668075,1900,"G13D81","9","*","*","2"
"146","100050315","10","Durango","Dgo.","005","Durango","0315","Las Isabeles (El Palomino)","R","24°07´18.452""N","104°16´43.130""W",24.121792,-104.278647,1936,"G13D83","0","0","0","0"
"147","100050319","10","Durango","Dgo.","005","Durango","0319","El Mortero","R","24°07´52.799""N","104°35´13.393""W",24.131333,-104.587054,1869,"G13D82","1","*","*","1"
"148","100050323","10","Durango","Dgo.","005","Durango","0323","Los Berros","R","23°49´48.733""N","105°09´55.323""W",23.830204,-105.165368,2384,"F13A19","0","0","0","0"
"149","100050325","10","Durango","Dgo.","005","Durango","0325","Labor de Guadalupe","R","24°09´54.202""N","104°35´41.354""W",24.165056,-104.594821,1866,"G13D82","728","360","368","196"
"150","100050326","10","Durango","Dgo.","005","Durango","0326","San Pedro de los Pinos","R","23°48´57.695""N","104°53´11.107""W",23.816026,-104.886419,2313,"F13B11","27","17","10","4"
"151","100050329","10","Durango","Dgo.","005","Durango","0329","El Registro","R","24°00´47.193""N","104°26´16.514""W",24.013109,-104.437921,1858,"G13D82","0","0","0","0"
"152","100050331","10","Durango","Dgo.","005","Durango","0331","Santa Elena","R","23°36´39.941""N","104°28´25.683""W",23.611095,-104.473801,2002,"F13B22","4","*","*","1"
"153","100050332","10","Durango","Dgo.","005","Durango","0332","La Campana","R","23°40´24.606""N","104°29´04.802""W",23.673502,-104.484667,2051,"F13B22","12","5","7","3"
