"Alumno","Semestre","Cr. Apr.","Carga","Promedio","Carrera","localidad","latitud","longitud"
48,9,212,4,91.28,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
49,9,226,9,88.94,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
50,10,203,23,84.68,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
51,9,173,24,83.53,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
52,10,138,31,79.33,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
53,9,231,4,86.86,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
54,13,235,10,80.88,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
55,10,105,18,76.17,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
56,10,227,8,82.33,"SISTEMAS","La Esperanza",23.921388,-105.297257
57,9,226,4,89.1,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
58,9,200,25,83.66,"SISTEMAS","La Esperanza",23.921388,-105.297257
59,11,165,19,80.42,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
60,9,226,9,94.2,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
61,11,220,10,83.23,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
62,12,219,16,80.69,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
63,9,235,10,91.8,"SISTEMAS","La Esperanza",23.921388,-105.297257
64,11,231,4,86,"SISTEMAS","La Esperanza",23.921388,-105.297257
65,9,188,29,86.8,"SISTEMAS","La Esperanza",23.921388,-105.297257
66,9,231,4,93.14,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
67,9,231,4,94.16,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
68,10,227,8,81.96,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
69,9,222,13,86.54,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
70,11,212,14,83.59,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
71,10,208,22,80.62,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
72,9,226,9,91.71,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
73,9,226,4,87.31,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
74,10,230,15,83.94,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
75,1,NA,27,0,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
76,1,NA,27,0,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
77,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
78,8,180,26,82.62,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
79,3,55,28,88.5,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
80,7,165,34,89.61,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
81,8,199,27,88.26,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
82,7,155,35,89.29,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
83,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
84,7,165,34,82.5,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
85,1,NA,27,0,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
86,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
87,7,165,34,88.83,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
88,3,55,28,86.58,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
89,4,83,29,90.17,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
90,4,49,32,82.64,"SISTEMAS","Las Curras",24.011718,-104.468644
91,7,85,32,84.11,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
92,7,165,34,93.31,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
93,5,112,25,87.75,"SISTEMAS","Las Curras",24.011718,-104.468644
94,7,83,33,85.39,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
95,8,165,31,82.86,"SISTEMAS","La Esperanza",23.921388,-105.297257
96,5,63,24,82.71,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
97,7,115,28,81.36,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
98,2,27,28,86.67,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
99,1,NA,27,0,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
100,4,36,29,85.13,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
101,2,27,28,93.17,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
102,8,175,36,83.37,"SISTEMAS","Las Curras",24.011718,-104.468644
103,6,102,18,82.14,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
104,3,50,33,86.55,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
105,7,169,34,92.27,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
106,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
107,4,83,29,85.61,"SISTEMAS","La Esperanza",23.921388,-105.297257
108,6,137,28,88.6,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
109,4,83,29,83.39,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
110,5,112,25,86.17,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
111,1,NA,27,0,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
112,5,112,25,86.83,"SISTEMAS","La Esperanza",23.921388,-105.297257
113,5,79,23,81.06,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
114,3,22,13,85,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
115,3,55,28,85.33,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
116,7,165,34,93.67,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
117,2,27,28,88.67,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
118,1,NA,27,0,"SISTEMAS","La Esperanza",23.921388,-105.297257
119,3,50,28,86.55,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
120,3,55,28,92.25,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
121,3,50,28,89.45,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
122,1,NA,27,0,"SISTEMAS","La Esperanza",23.921388,-105.297257
123,4,59,34,84.08,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
124,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
125,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
126,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
127,4,68,34,80.53,"SISTEMAS","La Esperanza",23.921388,-105.297257
128,8,208,27,91.93,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
129,8,185,31,84.63,"SISTEMAS","Las Curras",24.011718,-104.468644
130,4,87,33,87.89,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
131,5,112,25,91.92,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
132,3,37,14,81,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
133,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
134,1,NA,27,0,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
135,7,133,27,81.86,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
136,5,63,27,85.64,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
137,9,98,19,76.68,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
138,8,199,27,87.93,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
139,8,204,27,91.5,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
140,7,165,34,93.08,"SISTEMAS","Las Curras",24.011718,-104.468644
141,5,84,35,81.5,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
142,3,36,23,89.13,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
143,7,192,29,91.93,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
144,1,NA,27,0,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
145,1,NA,27,0,"SISTEMAS","La Esperanza",23.921388,-105.297257
146,7,170,34,86.03,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
147,7,156,22,84.09,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
148,5,107,30,82.57,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
149,5,84,28,82.5,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
150,4,83,29,85.33,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
151,2,22,28,82.2,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
152,4,51,32,84.64,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
153,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
154,4,79,33,84.29,"SISTEMAS","La Esperanza",23.921388,-105.297257
155,1,NA,27,0,"SISTEMAS","Las Curras",24.011718,-104.468644
156,7,170,29,88.86,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
157,1,NA,27,0,"SISTEMAS","La Esperanza",23.921388,-105.297257
158,1,NA,27,0,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
159,8,133,23,81.31,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
160,7,142,26,82.65,"SISTEMAS","Las Curras",24.011718,-104.468644
161,2,22,28,81.6,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
162,3,55,28,91.75,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
163,7,164,34,88.11,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
164,8,180,32,90.51,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
165,7,170,33,91.08,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
166,8,180,32,90.05,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
167,8,165,34,81.64,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
168,7,112,25,87.33,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
169,7,170,29,90.76,"SISTEMAS","Las Curras",24.011718,-104.468644
170,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
171,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
172,7,160,34,87.26,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
173,8,156,27,83.74,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
174,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
175,3,50,33,90.91,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
176,3,34,20,82.5,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
177,1,NA,27,0,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
178,8,199,32,91.84,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
179,8,155,29,82.15,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
180,4,59,35,84.08,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
181,2,22,28,88.8,"SISTEMAS","Las Curras",24.011718,-104.468644
182,7,165,34,87.14,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
183,4,74,35,82.63,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
184,5,116,26,92.64,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
185,4,78,29,84.24,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
186,3,41,28,83.89,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
187,7,170,29,87.81,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
188,8,160,30,82.06,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
189,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
190,4,83,29,88.11,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
191,7,111,32,85.04,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
192,3,50,29,86.91,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
193,8,200,22,86.47,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
194,8,184,32,88.55,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
195,7,165,34,92.61,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
196,8,208,27,87.53,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
197,4,73,34,83.13,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
198,1,NA,27,0,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
199,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
200,7,107,17,79.26,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
201,7,146,33,85.34,"SISTEMAS","La Esperanza",23.921388,-105.297257
202,3,50,28,80.73,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
203,8,141,32,81.68,"SISTEMAS","La Esperanza",23.921388,-105.297257
204,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
205,2,27,28,87,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
206,3,46,32,83.6,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
207,6,137,28,87.3,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
208,5,107,32,83,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
209,3,17,19,79,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
210,4,65,28,81.29,"SISTEMAS","La Esperanza",23.921388,-105.297257
211,3,40,20,81.22,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
212,6,133,32,84.69,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
213,5,112,25,84.88,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
214,1,NA,27,0,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
215,4,68,35,83.07,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
216,4,55,27,82.33,"SISTEMAS","La Esperanza",23.921388,-105.297257
217,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
218,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
219,6,153,32,84.3,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
220,8,190,32,85.51,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
221,5,112,25,84,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
222,8,183,33,82.17,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
223,4,37,32,81.75,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
224,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
225,6,137,28,89.43,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
226,6,128,32,83.18,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
227,3,55,33,81.17,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
228,3,50,28,84.55,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
229,3,50,33,85.73,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
230,8,189,32,89.1,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
231,7,133,28,87.86,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
232,3,50,29,88.73,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
233,3,36,33,80.13,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
234,7,105,22,84,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
235,1,NA,27,0,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
236,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
237,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
238,5,112,25,87.79,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
239,6,129,31,83.89,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
240,2,27,28,92.33,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
241,5,112,25,91.63,"SISTEMAS","La Esperanza",23.921388,-105.297257
242,7,160,34,91.14,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
243,8,179,32,87.97,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
244,5,112,25,87.54,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
245,7,165,34,88.22,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
246,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
247,2,22,28,82.6,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
248,7,165,34,87.36,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
249,5,112,25,92,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
250,8,175,32,88.45,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
251,8,172,26,83.7,"SISTEMAS","Las Curras",24.011718,-104.468644
252,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
253,3,26,29,79,"SISTEMAS","La Esperanza",23.921388,-105.297257
254,3,27,20,83.17,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
255,8,204,27,89.77,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
256,5,116,26,87.64,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
257,3,55,28,90.75,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
258,5,65,27,82.29,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
259,5,102,26,87.77,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
260,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
261,4,78,29,81.18,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
262,8,173,34,86.24,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
263,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
264,8,99,20,80.36,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
265,5,112,25,89.04,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
266,3,50,28,87.36,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
267,3,55,28,92.17,"SISTEMAS","La Esperanza",23.921388,-105.297257
268,7,146,33,85.97,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
269,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
270,5,112,25,93.5,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
271,8,175,32,81.11,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
272,7,101,32,81.45,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
273,8,191,31,85.78,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
274,7,170,29,88.81,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
275,5,112,25,86.5,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
276,3,8,22,80,"SISTEMAS","La Esperanza",23.921388,-105.297257
277,8,208,27,85.53,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
278,2,27,28,85.33,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
279,8,177,31,88.82,"SISTEMAS","La Esperanza",23.921388,-105.297257
280,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
281,3,45,23,86,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
282,4,74,33,80.56,"SISTEMAS","Las Curras",24.011718,-104.468644
283,8,191,31,85.1,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
284,7,119,33,84.27,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
285,7,128,32,83.39,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
286,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
287,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
288,2,22,32,83.2,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
289,4,78,34,85.53,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
290,5,111,28,90.17,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
291,1,NA,27,0,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
292,3,55,28,93.5,"SISTEMAS","La Esperanza",23.921388,-105.297257
293,4,83,33,86.28,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
294,1,NA,27,0,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
295,5,101,36,84.05,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
296,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
297,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
298,7,155,34,83.18,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
299,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
300,3,27,23,92.33,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
301,1,NA,27,0,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
302,1,NA,27,0,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
303,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
304,7,169,34,91.7,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
305,5,112,25,84.96,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
306,4,87,33,93.26,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
307,2,27,28,77,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
308,4,83,29,91,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
309,3,50,33,90.55,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
310,7,165,34,82.47,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
311,3,55,33,96,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
312,4,88,36,90.53,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
313,3,55,28,86.75,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
314,7,132,33,85.34,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
315,5,111,21,90.67,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
316,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
317,1,NA,27,0,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
318,5,78,34,85.29,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
319,5,112,25,88.38,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
320,7,165,34,88.31,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
321,3,55,28,87.5,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
322,3,50,28,89.64,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
323,7,133,32,82.59,"SISTEMAS","La Esperanza",23.921388,-105.297257
324,3,55,28,83.58,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
325,7,164,35,84,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
326,2,27,28,80.33,"SISTEMAS","Las Curras",24.011718,-104.468644
327,8,170,27,83.76,"SISTEMAS","Las Curras",24.011718,-104.468644
328,1,NA,27,0,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
329,3,55,28,86.08,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
330,2,27,28,88.67,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
331,4,83,29,86.39,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
332,3,50,33,90.18,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
