Alumno,Semestre,Cr. Apr.,Carga,Promedio,Carrera
52,10,138,31,79.33,SISTEMAS
53,9,231,4,86.86,SISTEMAS
54,13,235,10,80.88,SISTEMAS
55,10,105,18,76.17,SISTEMAS
56,10,227,8,82.33,SISTEMAS
57,9,226,4,89.1,SISTEMAS
58,9,200,25,83.66,SISTEMAS
59,11,165,19,80.42,SISTEMAS
60,9,226,9,94.2,SISTEMAS
61,11,220,10,83.23,SISTEMAS
62,12,219,16,80.69,SISTEMAS
63,9,235,10,91.8,SISTEMAS
64,11,231,4,86,SISTEMAS
65,9,188,29,86.8,SISTEMAS
66,9,231,4,93.14,SISTEMAS
67,9,231,4,94.16,SISTEMAS
68,10,227,8,81.96,SISTEMAS
69,9,222,13,86.54,SISTEMAS
70,11,212,14,83.59,SISTEMAS
71,10,208,22,80.62,SISTEMAS
72,9,226,9,91.71,SISTEMAS
73,9,226,4,87.31,SISTEMAS
74,10,230,15,83.94,SISTEMAS
75,1,,27,0,SISTEMAS
76,1,,27,0,SISTEMAS
77,1,,27,0,SISTEMAS
78,8,180,26,82.62,SISTEMAS
79,3,55,28,88.5,SISTEMAS
80,7,165,34,89.61,SISTEMAS
81,8,199,27,88.26,SISTEMAS
82,7,155,35,89.29,SISTEMAS
83,1,,27,0,SISTEMAS
84,7,165,34,82.5,SISTEMAS
85,1,,27,0,SISTEMAS
86,1,,27,0,SISTEMAS
87,7,165,34,88.83,SISTEMAS
88,3,55,28,86.58,SISTEMAS
89,4,83,29,90.17,SISTEMAS
90,4,49,32,82.64,SISTEMAS
91,7,85,32,84.11,SISTEMAS
92,7,165,34,93.31,SISTEMAS
93,5,112,25,87.75,SISTEMAS
94,7,83,33,85.39,SISTEMAS
95,8,165,31,82.86,SISTEMAS
96,5,63,24,82.71,SISTEMAS
97,7,115,28,81.36,SISTEMAS
98,2,27,28,86.67,SISTEMAS
99,1,,27,0,SISTEMAS
100,4,36,29,85.13,SISTEMAS
101,2,27,28,93.17,SISTEMAS
102,8,175,36,83.37,SISTEMAS
103,6,102,18,82.14,SISTEMAS
104,3,50,33,86.55,SISTEMAS
105,7,169,34,92.27,SISTEMAS
106,1,,27,0,SISTEMAS
107,4,83,29,85.61,SISTEMAS
108,6,137,28,88.6,SISTEMAS
109,4,83,29,83.39,SISTEMAS
110,5,112,25,86.17,SISTEMAS
111,1,,27,0,SISTEMAS
112,5,112,25,86.83,SISTEMAS
113,5,79,23,81.06,SISTEMAS
114,3,22,13,85,SISTEMAS
115,3,55,28,85.33,SISTEMAS
116,7,165,34,93.67,SISTEMAS
117,2,27,28,88.67,SISTEMAS
118,1,,27,0,SISTEMAS
119,3,50,28,86.55,SISTEMAS
120,3,55,28,92.25,SISTEMAS
121,3,50,28,89.45,SISTEMAS
122,1,,27,0,SISTEMAS
123,4,59,34,84.08,SISTEMAS
124,1,,27,0,SISTEMAS
125,1,,27,0,SISTEMAS
126,1,,27,0,SISTEMAS
127,4,68,34,80.53,SISTEMAS
128,8,208,27,91.93,SISTEMAS
129,8,185,31,84.63,SISTEMAS
130,4,87,33,87.89,SISTEMAS
131,5,112,25,91.92,SISTEMAS
132,3,37,14,81,SISTEMAS
133,1,,27,0,SISTEMAS
134,1,,27,0,SISTEMAS
135,7,133,27,81.86,SISTEMAS
136,5,63,27,85.64,SISTEMAS
137,9,98,19,76.68,SISTEMAS
138,8,199,27,87.93,SISTEMAS
139,8,204,27,91.5,SISTEMAS
140,7,165,34,93.08,SISTEMAS
141,5,84,35,81.5,SISTEMAS
142,3,36,23,89.13,SISTEMAS
143,7,192,29,91.93,SISTEMAS
144,1,,27,0,SISTEMAS
145,1,,27,0,SISTEMAS
146,7,170,34,86.03,SISTEMAS
147,7,156,22,84.09,SISTEMAS
148,5,107,30,82.57,SISTEMAS
149,5,84,28,82.5,SISTEMAS
150,4,83,29,85.33,SISTEMAS
151,2,22,28,82.2,SISTEMAS
152,4,51,32,84.64,SISTEMAS
153,1,,27,0,SISTEMAS
154,4,79,33,84.29,SISTEMAS
155,1,,27,0,SISTEMAS
156,7,170,29,88.86,SISTEMAS
157,1,,27,0,SISTEMAS
158,1,,27,0,SISTEMAS
159,8,133,23,81.31,SISTEMAS
160,7,142,26,82.65,SISTEMAS
161,2,22,28,81.6,SISTEMAS
162,3,55,28,91.75,SISTEMAS
163,7,164,34,88.11,SISTEMAS
164,8,180,32,90.51,SISTEMAS
165,7,170,33,91.08,SISTEMAS
166,8,180,32,90.05,SISTEMAS
167,8,165,34,81.64,SISTEMAS
168,7,112,25,87.33,SISTEMAS
169,7,170,29,90.76,SISTEMAS
170,1,,27,0,SISTEMAS
171,1,,27,0,SISTEMAS
172,7,160,34,87.26,SISTEMAS
173,8,156,27,83.74,SISTEMAS
174,1,,27,0,SISTEMAS
175,3,50,33,90.91,SISTEMAS
176,3,34,20,82.5,SISTEMAS
177,1,,27,0,SISTEMAS
178,8,199,32,91.84,SISTEMAS
179,8,155,29,82.15,SISTEMAS
180,4,59,35,84.08,SISTEMAS
181,2,22,28,88.8,SISTEMAS
182,7,165,34,87.14,SISTEMAS
183,4,74,35,82.63,SISTEMAS
184,5,116,26,92.64,SISTEMAS
185,4,78,29,84.24,SISTEMAS
186,3,41,28,83.89,SISTEMAS
187,7,170,29,87.81,SISTEMAS
188,8,160,30,82.06,SISTEMAS
189,1,,27,0,SISTEMAS
190,4,83,29,88.11,SISTEMAS
191,7,111,32,85.04,SISTEMAS
192,3,50,29,86.91,SISTEMAS
193,8,200,22,86.47,SISTEMAS
194,8,184,32,88.55,SISTEMAS
195,7,165,34,92.61,SISTEMAS
196,8,208,27,87.53,SISTEMAS
197,4,73,34,83.13,SISTEMAS
198,1,,27,0,SISTEMAS
199,1,,27,0,SISTEMAS
200,7,107,17,79.26,SISTEMAS
201,7,146,33,85.34,SISTEMAS
202,3,50,28,80.73,SISTEMAS
203,8,141,32,81.68,SISTEMAS
204,1,,27,0,SISTEMAS
205,2,27,28,87,SISTEMAS
206,3,46,32,83.6,SISTEMAS
207,6,137,28,87.3,SISTEMAS
208,5,107,32,83,SISTEMAS
209,3,17,19,79,SISTEMAS
210,4,65,28,81.29,SISTEMAS
211,3,40,20,81.22,SISTEMAS
212,6,133,32,84.69,SISTEMAS
213,5,112,25,84.88,SISTEMAS
214,1,,27,0,SISTEMAS
215,4,68,35,83.07,SISTEMAS
216,4,55,27,82.33,SISTEMAS
217,1,,27,0,SISTEMAS
218,1,,27,0,SISTEMAS
219,6,153,32,84.3,SISTEMAS
220,8,190,32,85.51,SISTEMAS
221,5,112,25,84,SISTEMAS
222,8,183,33,82.17,SISTEMAS
223,4,37,32,81.75,SISTEMAS
224,1,,27,0,SISTEMAS
225,6,137,28,89.43,SISTEMAS
226,6,128,32,83.18,SISTEMAS
227,3,55,33,81.17,SISTEMAS
228,3,50,28,84.55,SISTEMAS
229,3,50,33,85.73,SISTEMAS
230,8,189,32,89.1,SISTEMAS
231,7,133,28,87.86,SISTEMAS
232,3,50,29,88.73,SISTEMAS
233,3,36,33,80.13,SISTEMAS
234,7,105,22,84,SISTEMAS
235,1,,27,0,SISTEMAS
236,1,,27,0,SISTEMAS
237,1,,27,0,SISTEMAS
238,5,112,25,87.79,SISTEMAS
239,6,129,31,83.89,SISTEMAS
240,2,27,28,92.33,SISTEMAS
241,5,112,25,91.63,SISTEMAS
242,7,160,34,91.14,SISTEMAS
243,8,179,32,87.97,SISTEMAS
244,5,112,25,87.54,SISTEMAS
245,7,165,34,88.22,SISTEMAS
246,1,,27,0,SISTEMAS
247,2,22,28,82.6,SISTEMAS
248,7,165,34,87.36,SISTEMAS
249,5,112,25,92,SISTEMAS
250,8,175,32,88.45,SISTEMAS
251,8,172,26,83.7,SISTEMAS
252,1,,27,0,SISTEMAS
253,3,26,29,79,SISTEMAS
254,3,27,20,83.17,SISTEMAS
255,8,204,27,89.77,SISTEMAS
256,5,116,26,87.64,SISTEMAS
257,3,55,28,90.75,SISTEMAS
258,5,65,27,82.29,SISTEMAS
259,5,102,26,87.77,SISTEMAS
260,1,,27,0,SISTEMAS
261,4,78,29,81.18,SISTEMAS
262,8,173,34,86.24,SISTEMAS
263,1,,27,0,SISTEMAS
264,8,99,20,80.36,SISTEMAS
265,5,112,25,89.04,SISTEMAS
266,3,50,28,87.36,SISTEMAS
267,3,55,28,92.17,SISTEMAS
268,7,146,33,85.97,SISTEMAS
269,1,,27,0,SISTEMAS
270,5,112,25,93.5,SISTEMAS
271,8,175,32,81.11,SISTEMAS
272,7,101,32,81.45,SISTEMAS
273,8,191,31,85.78,SISTEMAS
274,7,170,29,88.81,SISTEMAS
275,5,112,25,86.5,SISTEMAS
276,3,8,22,80,SISTEMAS
277,8,208,27,85.53,SISTEMAS
278,2,27,28,85.33,SISTEMAS
279,8,177,31,88.82,SISTEMAS
280,1,,27,0,SISTEMAS
281,3,45,23,86,SISTEMAS
282,4,74,33,80.56,SISTEMAS
283,8,191,31,85.1,SISTEMAS
284,7,119,33,84.27,SISTEMAS
285,7,128,32,83.39,SISTEMAS
286,1,,27,0,SISTEMAS
287,1,,27,0,SISTEMAS
288,2,22,32,83.2,SISTEMAS
289,4,78,34,85.53,SISTEMAS
290,5,111,28,90.17,SISTEMAS
291,1,,27,0,SISTEMAS
292,3,55,28,93.5,SISTEMAS
293,4,83,33,86.28,SISTEMAS
294,1,,27,0,SISTEMAS
295,5,101,36,84.05,SISTEMAS
296,1,,27,0,SISTEMAS
297,1,,27,0,SISTEMAS
298,7,155,34,83.18,SISTEMAS
299,1,,27,0,SISTEMAS
300,3,27,23,92.33,SISTEMAS
301,1,,27,0,SISTEMAS
302,1,,27,0,SISTEMAS
303,1,,27,0,SISTEMAS
304,7,169,34,91.7,SISTEMAS
305,5,112,25,84.96,SISTEMAS
306,4,87,33,93.26,SISTEMAS
307,2,27,28,77,SISTEMAS
308,4,83,29,91,SISTEMAS
309,3,50,33,90.55,SISTEMAS
310,7,165,34,82.47,SISTEMAS
311,3,55,33,96,SISTEMAS
312,4,88,36,90.53,SISTEMAS
313,3,55,28,86.75,SISTEMAS
314,7,132,33,85.34,SISTEMAS
315,5,111,21,90.67,SISTEMAS
316,1,,27,0,SISTEMAS
317,1,,27,0,SISTEMAS
318,5,78,34,85.29,SISTEMAS
319,5,112,25,88.38,SISTEMAS
320,7,165,34,88.31,SISTEMAS
321,3,55,28,87.5,SISTEMAS
322,3,50,28,89.64,SISTEMAS
323,7,133,32,82.59,SISTEMAS
324,3,55,28,83.58,SISTEMAS
325,7,164,35,84,SISTEMAS
326,2,27,28,80.33,SISTEMAS
327,8,170,27,83.76,SISTEMAS
328,1,,27,0,SISTEMAS
329,3,55,28,86.08,SISTEMAS
330,2,27,28,88.67,SISTEMAS
331,4,83,29,86.39,SISTEMAS
332,3,50,33,90.18,SISTEMAS
333,5,97,36,82.48,SISTEMAS
334,5,112,25,86.63,SISTEMAS
335,3,50,28,92,SISTEMAS
336,3,45,33,82.8,SISTEMAS
337,1,,27,0,SISTEMAS
338,2,23,28,88,SISTEMAS
339,6,137,28,85.83,SISTEMAS
340,1,,27,0,SISTEMAS
341,4,79,29,82.47,SISTEMAS
342,6,137,28,83.17,SISTEMAS
343,8,165,28,81.31,SISTEMAS
344,1,,27,0,SISTEMAS
345,4,73,34,86.94,SISTEMAS
346,5,112,25,93.46,SISTEMAS
347,5,116,30,91.24,SISTEMAS
348,5,75,20,80.31,SISTEMAS
349,7,133,27,82.97,SISTEMAS
350,1,,27,0,SISTEMAS
351,3,54,29,85.92,SISTEMAS
352,8,176,32,80.47,SISTEMAS
353,2,27,28,89.17,SISTEMAS
354,8,133,28,82.79,SISTEMAS
355,7,170,33,92.3,SISTEMAS
356,3,55,28,91.67,SISTEMAS
357,3,41,5,86.33,SISTEMAS
358,3,26,20,78.67,SISTEMAS
359,8,175,27,89.21,SISTEMAS
360,5,78,31,87.41,SISTEMAS
361,3,51,32,80.91,SISTEMAS
362,6,137,28,88.47,SISTEMAS
363,1,,27,0,SISTEMAS
364,6,137,28,89,SISTEMAS
365,1,,27,0,SISTEMAS
366,5,103,25,86.91,SISTEMAS
367,5,116,30,89.88,SISTEMAS
368,1,,27,0,SISTEMAS
369,4,41,10,81.56,SISTEMAS
370,1,,27,0,SISTEMAS
371,7,119,18,81.31,SISTEMAS
372,7,151,22,86.3,SISTEMAS
373,2,27,28,90,SISTEMAS
374,7,160,35,85.71,SISTEMAS
375,3,55,28,89.92,SISTEMAS
376,5,111,26,87.21,SISTEMAS
377,5,74,34,87.69,SISTEMAS
378,1,,27,0,SISTEMAS
379,7,87,21,82.58,SISTEMAS
380,4,69,29,79.73,SISTEMAS
381,3,32,18,83.71,SISTEMAS
382,5,112,25,85.92,SISTEMAS
383,2,27,28,85.17,SISTEMAS
384,3,50,33,86.91,SISTEMAS
385,5,120,26,92.31,SISTEMAS
386,8,175,33,82.34,SISTEMAS
387,2,22,23,86.6,SISTEMAS
388,5,89,25,86.58,SISTEMAS
389,2,27,28,88.17,SISTEMAS
390,5,107,30,80.26,SISTEMAS
391,2,27,28,81.83,SISTEMAS
392,8,180,27,81.97,SISTEMAS
393,3,55,28,93.58,SISTEMAS
394,3,50,28,88.55,SISTEMAS
395,1,,27,0,SISTEMAS
396,1,,27,0,SISTEMAS
397,1,,27,0,SISTEMAS
398,5,102,31,85.32,SISTEMAS
399,7,151,33,87,SISTEMAS
400,8,109,29,80.54,SISTEMAS
401,1,,27,0,SISTEMAS
402,4,78,34,84.12,SISTEMAS
403,3,55,28,92.42,SISTEMAS
404,4,73,34,83.5,SISTEMAS
405,4,63,33,76.64,SISTEMAS
406,1,,27,0,SISTEMAS
407,1,,27,0,SISTEMAS
408,3,21,20,80.2,SISTEMAS
409,3,55,28,82.5,SISTEMAS
410,3,22,22,80.4,SISTEMAS
411,7,165,34,82.78,SISTEMAS
412,2,27,28,88.33,SISTEMAS
413,2,22,28,81.4,SISTEMAS
414,6,137,28,84.87,SISTEMAS
415,3,39,24,80.78,SISTEMAS
416,3,55,28,95.17,SISTEMAS
417,8,123,32,81.07,SISTEMAS
418,2,26,24,83,SISTEMAS
419,5,112,25,90.75,SISTEMAS
420,5,65,19,83.93,SISTEMAS
421,5,33,9,81,SISTEMAS
422,2,27,28,82,SISTEMAS
423,7,89,27,80.26,SISTEMAS
424,1,,27,0,SISTEMAS
425,3,50,33,83.09,SISTEMAS
426,1,,27,0,SISTEMAS
427,2,27,28,89.33,SISTEMAS
428,6,132,33,85.69,SISTEMAS
429,4,64,34,81.64,SISTEMAS
430,2,,27,0,SISTEMAS
431,3,32,32,83,SISTEMAS
432,1,,27,0,SISTEMAS
433,7,137,28,89.7,SISTEMAS
434,8,191,31,84.88,SISTEMAS
435,1,,27,0,SISTEMAS
436,3,44,24,84.5,SISTEMAS
437,7,160,34,84.97,SISTEMAS
438,5,83,30,85.06,SISTEMAS
439,5,112,25,83.63,SISTEMAS
440,3,13,29,84,SISTEMAS
441,4,83,29,87.78,SISTEMAS
442,1,,27,0,SISTEMAS
443,7,160,34,90.34,SISTEMAS
444,5,106,26,83.61,SISTEMAS
445,7,78,33,77.47,SISTEMAS
446,2,27,28,82,SISTEMAS
447,3,55,28,85.5,SISTEMAS
448,1,,27,0,SISTEMAS
449,1,,27,0,SISTEMAS
450,4,78,29,84.59,SISTEMAS
451,8,183,27,86.15,SISTEMAS
452,2,27,28,84.5,SISTEMAS
453,9,219,16,89.98,ARQUITECTURA
454,9,227,8,91.96,ARQUITECTURA
455,7,155,16,83.39,ARQUITECTURA
456,9,148,24,80.39,ARQUITECTURA
457,11,162,24,83.09,ARQUITECTURA
458,9,168,25,81.83,ARQUITECTURA
459,9,174,28,83.38,ARQUITECTURA
460,9,227,8,87.45,ARQUITECTURA
461,12,203,28,83.86,ARQUITECTURA
462,9,217,18,85.42,ARQUITECTURA
463,9,223,12,95.91,ARQUITECTURA
464,9,227,8,90.36,ARQUITECTURA
465,9,227,8,87.98,ARQUITECTURA
466,10,209,22,83.4,ARQUITECTURA
467,9,227,8,90.72,ARQUITECTURA
468,10,167,15,80.24,ARQUITECTURA
469,10,227,10,89.47,ARQUITECTURA
470,9,198,29,83.33,ARQUITECTURA
471,10,166,24,81.67,ARQUITECTURA
472,9,217,18,84.71,ARQUITECTURA
473,10,227,10,90.68,ARQUITECTURA
474,9,114,30,81.08,ARQUITECTURA
475,9,171,28,87.21,ARQUITECTURA
476,10,178,28,77.27,ARQUITECTURA
477,10,190,8,87.17,ARQUITECTURA
478,12,221,6,86.83,ARQUITECTURA
479,9,223,12,84.74,ARQUITECTURA
480,12,206,17,83.58,ARQUITECTURA
481,9,221,14,90.09,ARQUITECTURA
482,9,223,12,89.89,ARQUITECTURA
483,12,197,16,79.95,ARQUITECTURA
484,8,198,21,88.17,ARQUITECTURA
485,9,223,12,91.91,ARQUITECTURA
486,10,146,28,84.87,ARQUITECTURA
487,10,219,16,85.85,ARQUITECTURA
488,12,220,13,82.53,ARQUITECTURA
489,12,194,16,79.63,ARQUITECTURA
490,10,223,4,82.89,ARQUITECTURA
491,9,223,12,89.83,ARQUITECTURA
492,9,227,8,89.32,ARQUITECTURA
493,9,223,12,94.5,ARQUITECTURA
494,10,153,29,82.15,ARQUITECTURA
495,12,223,4,80.33,ARQUITECTURA
496,9,196,39,88.9,ARQUITECTURA
497,10,227,10,88.7,ARQUITECTURA
498,9,227,8,87.38,ARQUITECTURA
499,11,219,16,84.91,ARQUITECTURA
500,10,202,21,83.71,ARQUITECTURA
501,11,107,10,81.17,ARQUITECTURA
502,9,227,8,91.23,ARQUITECTURA
503,10,213,16,83.38,ARQUITECTURA
504,11,160,16,81.54,ARQUITECTURA
505,10,204,19,83.98,ARQUITECTURA
506,10,227,10,91.6,ARQUITECTURA
507,11,219,16,90.24,ARQUITECTURA
508,9,207,16,83.64,ARQUITECTURA
509,9,211,24,85.45,ARQUITECTURA
510,12,178,29,82.34,ARQUITECTURA
511,9,223,12,88.54,ARQUITECTURA
512,9,223,4,90.24,ARQUITECTURA
513,10,227,10,84.53,ARQUITECTURA
514,9,209,14,86.58,ARQUITECTURA
515,9,227,10,90.91,ARQUITECTURA
516,11,186,16,78.92,ARQUITECTURA
517,9,166,30,84.27,ARQUITECTURA
518,9,166,25,88.06,ARQUITECTURA
519,9,162,12,81.56,ARQUITECTURA
520,10,153,29,79.67,ARQUITECTURA
521,9,213,22,85.2,ARQUITECTURA
522,9,221,14,90.48,ARQUITECTURA
523,10,215,12,82.51,ARQUITECTURA
524,12,227,10,92.36,ARQUITECTURA
525,9,205,20,85.64,ARQUITECTURA
526,8,163,15,86.83,ARQUITECTURA
527,12,211,24,82.7,ARQUITECTURA
528,9,215,16,88.59,ARQUITECTURA
529,10,172,12,79.97,ARQUITECTURA
530,10,190,16,82.18,ARQUITECTURA
531,10,219,8,84.5,ARQUITECTURA
532,10,204,9,81.19,ARQUITECTURA
533,12,223,14,84.37,ARQUITECTURA
534,10,178,21,80.21,ARQUITECTURA
535,9,198,29,88.31,ARQUITECTURA
536,11,174,17,82.68,ARQUITECTURA
537,9,170,12,86.33,ARQUITECTURA
538,10,210,17,84.7,ARQUITECTURA
539,10,179,32,83.97,ARQUITECTURA
540,9,223,12,85.72,ARQUITECTURA
541,9,205,20,84.74,ARQUITECTURA
542,10,186,16,79.95,ARQUITECTURA
543,9,134,30,82.79,ARQUITECTURA
544,9,209,18,88.19,ARQUITECTURA
545,10,186,15,81.45,ARQUITECTURA
546,10,221,6,84.41,ARQUITECTURA
547,9,215,17,88.18,ARQUITECTURA
548,9,117,20,78.74,ARQUITECTURA
549,9,218,17,88.69,ARQUITECTURA
550,10,160,20,84.97,ARQUITECTURA
551,11,174,24,83.95,ARQUITECTURA
552,10,213,22,85.51,ARQUITECTURA
553,1,,26,0,ARQUITECTURA
554,1,,26,0,ARQUITECTURA
555,6,123,27,82.85,ARQUITECTURA
556,1,,26,0,ARQUITECTURA
557,3,52,28,89.58,ARQUITECTURA
558,2,12,22,77.33,ARQUITECTURA
559,2,14,24,84,ARQUITECTURA
560,6,117,29,82.96,ARQUITECTURA
561,6,142,24,89.27,ARQUITECTURA
562,7,162,28,86.18,ARQUITECTURA
563,1,,26,0,ARQUITECTURA
564,6,110,30,82.92,ARQUITECTURA
565,2,26,26,86.5,ARQUITECTURA
566,5,90,36,84.9,ARQUITECTURA
567,5,110,32,90.42,ARQUITECTURA
568,5,106,36,89.87,ARQUITECTURA
569,1,,26,0,ARQUITECTURA
570,8,178,25,89.34,ARQUITECTURA
571,1,,26,0,ARQUITECTURA
572,1,,26,0,ARQUITECTURA
573,7,92,26,85.43,ARQUITECTURA
574,3,48,32,89,ARQUITECTURA
575,4,34,28,83.25,ARQUITECTURA
576,4,80,33,91.56,ARQUITECTURA
577,7,170,28,90,ARQUITECTURA
578,1,,26,0,ARQUITECTURA
579,4,80,30,89.11,ARQUITECTURA
580,7,166,32,90,ARQUITECTURA
581,7,186,25,91.79,ARQUITECTURA
582,4,76,30,87.35,ARQUITECTURA
583,4,80,30,94.11,ARQUITECTURA
584,5,34,23,88.38,ARQUITECTURA
585,3,28,22,81.57,ARQUITECTURA
586,3,52,28,88.75,ARQUITECTURA
587,6,142,24,94.8,ARQUITECTURA
588,4,80,30,90.28,ARQUITECTURA
589,8,198,25,89.98,ARQUITECTURA
590,4,80,30,92.78,ARQUITECTURA
591,6,96,36,83.36,ARQUITECTURA
592,3,52,24,94.75,ARQUITECTURA
593,7,170,32,83.64,ARQUITECTURA
594,1,,26,0,ARQUITECTURA
595,1,,26,0,ARQUITECTURA
596,3,56,28,84.85,ARQUITECTURA
597,1,,26,0,ARQUITECTURA
598,2,20,20,86.6,ARQUITECTURA
599,3,52,28,88.17,ARQUITECTURA
600,2,26,26,87.5,ARQUITECTURA
601,2,20,20,84.6,ARQUITECTURA
602,2,20,22,88,ARQUITECTURA
603,1,,26,0,ARQUITECTURA
604,1,,26,0,ARQUITECTURA
605,1,,26,0,ARQUITECTURA
606,2,26,26,88.83,ARQUITECTURA
607,5,110,32,90.58,ARQUITECTURA
608,2,18,26,85.5,ARQUITECTURA
609,2,12,12,77,ARQUITECTURA
610,6,142,24,89.67,ARQUITECTURA
611,2,12,22,75.33,ARQUITECTURA
612,1,,26,0,ARQUITECTURA
613,2,8,26,72,ARQUITECTURA
614,3,52,28,87.25,ARQUITECTURA
615,4,60,12,82.62,ARQUITECTURA
616,5,56,24,84.92,ARQUITECTURA
617,2,26,26,87.5,ARQUITECTURA
618,2,20,20,89.6,ARQUITECTURA
619,7,170,29,88.5,ARQUITECTURA
620,7,112,28,81.64,ARQUITECTURA
621,8,202,21,90.32,ARQUITECTURA
622,7,162,32,85.18,ARQUITECTURA
623,4,80,30,89.06,ARQUITECTURA
624,2,26,26,89,ARQUITECTURA
625,1,,26,0,ARQUITECTURA
626,4,50,27,80.17,ARQUITECTURA
627,8,186,29,87.23,ARQUITECTURA
628,2,26,26,89.67,ARQUITECTURA
629,2,20,20,86.6,ARQUITECTURA
630,1,,26,0,ARQUITECTURA
631,7,115,31,83.48,ARQUITECTURA
632,8,191,25,85.79,ARQUITECTURA
633,5,110,32,92,ARQUITECTURA
634,8,194,25,87.35,ARQUITECTURA
635,6,130,28,86,ARQUITECTURA
636,6,142,24,86,ARQUITECTURA
637,4,86,27,85.68,ARQUITECTURA
638,2,26,18,91.5,ARQUITECTURA
639,1,,26,0,ARQUITECTURA
640,2,18,22,80.75,ARQUITECTURA
641,8,194,25,84.83,ARQUITECTURA
642,6,136,26,88.14,ARQUITECTURA
643,3,38,28,81,ARQUITECTURA
644,2,26,26,90,ARQUITECTURA
645,3,48,28,91.09,ARQUITECTURA
646,2,26,26,85.33,ARQUITECTURA
647,6,124,26,83.85,ARQUITECTURA
648,7,170,28,88.5,ARQUITECTURA
649,2,22,22,82.4,ARQUITECTURA
650,6,139,23,90.17,ARQUITECTURA
651,7,137,29,82.77,ARQUITECTURA
652,5,92,21,91.43,ARQUITECTURA
653,2,26,26,90.33,ARQUITECTURA
654,6,138,24,87.1,ARQUITECTURA
655,2,26,26,85,ARQUITECTURA
656,5,94,30,85.9,ARQUITECTURA
657,8,211,20,91.28,ARQUITECTURA
658,5,110,32,90.04,ARQUITECTURA
659,1,,26,0,ARQUITECTURA
660,1,,26,0,ARQUITECTURA
661,3,52,28,83.42,ARQUITECTURA
662,2,20,20,81.6,ARQUITECTURA
663,7,151,23,85.22,ARQUITECTURA
664,1,,26,0,ARQUITECTURA
665,1,,26,0,ARQUITECTURA
666,8,198,25,86.95,ARQUITECTURA
667,3,52,28,88.58,ARQUITECTURA
668,8,182,17,85.03,ARQUITECTURA
669,4,80,30,93.94,ARQUITECTURA
670,2,26,26,85.17,ARQUITECTURA
671,8,134,24,85.4,ARQUITECTURA
672,6,133,27,92.39,ARQUITECTURA
673,5,102,29,89.22,ARQUITECTURA
674,1,,26,0,ARQUITECTURA
675,2,22,22,77.6,ARQUITECTURA
676,2,26,26,90.67,ARQUITECTURA
677,6,139,27,88.03,ARQUITECTURA
678,1,,26,0,ARQUITECTURA
679,1,,26,0,ARQUITECTURA
680,1,,26,0,ARQUITECTURA
681,3,48,28,90.27,ARQUITECTURA
682,8,206,17,83.62,ARQUITECTURA
683,4,68,28,80.38,ARQUITECTURA
684,1,,26,0,ARQUITECTURA
685,1,,26,0,ARQUITECTURA
686,7,82,23,81.78,ARQUITECTURA
687,1,,26,0,ARQUITECTURA
688,1,,26,0,ARQUITECTURA
689,1,,26,0,ARQUITECTURA
690,3,52,28,86.08,ARQUITECTURA
691,6,101,29,90.36,ARQUITECTURA
692,5,106,32,85.96,ARQUITECTURA
693,2,22,22,83.8,ARQUITECTURA
