RAMO,RAMO SIGLAS,RAMO DESCRIPCION,INSTITUCION SIGLAS,INSTITUCION NOMBRE,UR,AÑO,INDICE DE SATISFACCIÓN LABORAL
4,SEGOB,Secretaría de Gobernación,SE_SNPINNA,"Secretaría Ejecutiva del Sistema Nacional de Protección Integral de Niñas, Niños y Adolescentes",P00,2016,80
4,SEGOB,Secretaría de Gobernación,SE_SNSP,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,W00,2010,75
4,SEGOB,Secretaría de Gobernación,SE_SNSP,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,W00,2011,75
4,SEGOB,Secretaría de Gobernación,SE_SNSP,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,W00,2012,77
4,SEGOB,Secretaría de Gobernación,SE_SNSP,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,W00,2013,78
4,SEGOB,Secretaría de Gobernación,SE_SNSP,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,W00,2014,78
4,SEGOB,Secretaría de Gobernación,SE_SNSP,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,W00,2015,78
4,SEGOB,Secretaría de Gobernación,SE_SNSP,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,W00,2016,74
4,SEGOB,Secretaría de Gobernación,SEGOB,Secretaría de Gobernación,100,2010,73
4,SEGOB,Secretaría de Gobernación,SEGOB,Secretaría de Gobernación,100,2011,74
4,SEGOB,Secretaría de Gobernación,SEGOB,Secretaría de Gobernación,100,2012,75
4,SEGOB,Secretaría de Gobernación,SEGOB,Secretaría de Gobernación,100,2013,76
4,SEGOB,Secretaría de Gobernación,SEGOB,Secretaría de Gobernación,100,2014,77
4,SEGOB,Secretaría de Gobernación,SEGOB,Secretaría de Gobernación,100,2015,80
4,SEGOB,Secretaría de Gobernación,SEGOB,Secretaría de Gobernación,100,2016,78
4,SEGOB,Secretaría de Gobernación,SETEC,Secretaría Técnica del Consejo de Coordinación para la Implementación del Sistema de Justicia Penal,U00,2011,79
4,SEGOB,Secretaría de Gobernación,SETEC,Secretaría Técnica del Consejo de Coordinación para la Implementación del Sistema de Justicia Penal,U00,2012,82
4,SEGOB,Secretaría de Gobernación,SETEC,Secretaría Técnica del Consejo de Coordinación para la Implementación del Sistema de Justicia Penal,U00,2013,80
4,SEGOB,Secretaría de Gobernación,SETEC,Secretaría Técnica del Consejo de Coordinación para la Implementación del Sistema de Justicia Penal,U00,2014,81
4,SEGOB,Secretaría de Gobernación,SETEC,Secretaría Técnica del Consejo de Coordinación para la Implementación del Sistema de Justicia Penal,U00,2015,84
4,SEGOB,Secretaría de Gobernación,SPF,Servicio de Protección Federal,F00,2010,71
4,SEGOB,Secretaría de Gobernación,SPF,Servicio de Protección Federal,F00,2011,67
4,SEGOB,Secretaría de Gobernación,SPF,Servicio de Protección Federal,F00,2012,72
4,SEGOB,Secretaría de Gobernación,SPF,Servicio de Protección Federal,F00,2013,71
4,SEGOB,Secretaría de Gobernación,SPF,Servicio de Protección Federal,F00,2014,72
4,SEGOB,Secretaría de Gobernación,SPF,Servicio de Protección Federal,F00,2015,77
4,SEGOB,Secretaría de Gobernación,SPF,Servicio de Protección Federal,F00,2016,74
4,SEGOB,Secretaría de Gobernación,ST_CCPRI,Secretaría Técnica de la Comisión Calificadora de Publicaciones y Revistas Ilustradas,M00,2010,74
4,SEGOB,Secretaría de Gobernación,ST_CCPRI,Secretaría Técnica de la Comisión Calificadora de Publicaciones y Revistas Ilustradas,M00,2011,80
4,SEGOB,Secretaría de Gobernación,ST_CCPRI,Secretaría Técnica de la Comisión Calificadora de Publicaciones y Revistas Ilustradas,M00,2012,69
4,SEGOB,Secretaría de Gobernación,ST_CCPRI,Secretaría Técnica de la Comisión Calificadora de Publicaciones y Revistas Ilustradas,M00,2013,79
4,SEGOB,Secretaría de Gobernación,ST_CCPRI,Secretaría Técnica de la Comisión Calificadora de Publicaciones y Revistas Ilustradas,M00,2014,82
4,SEGOB,Secretaría de Gobernación,ST_CCPRI,Secretaría Técnica de la Comisión Calificadora de Publicaciones y Revistas Ilustradas,M00,2015,88
4,SEGOB,Secretaría de Gobernación,ST_CCPRI,Secretaría Técnica de la Comisión Calificadora de Publicaciones y Revistas Ilustradas,M00,2016,63
4,SEGOB,Secretaría de Gobernación,TFCA,Tribunal Federal de Conciliación y Arbitraje,F00,2012,75
4,SEGOB,Secretaría de Gobernación,TFCA,Tribunal Federal de Conciliación y Arbitraje,F00,2013,74
4,SEGOB,Secretaría de Gobernación,TFCA,Tribunal Federal de Conciliación y Arbitraje,F00,2014,77
4,SEGOB,Secretaría de Gobernación,TFCA,Tribunal Federal de Conciliación y Arbitraje,F00,2015,79
4,SEGOB,Secretaría de Gobernación,TFCA,Tribunal Federal de Conciliación y Arbitraje,F00,2016,75
4,SEGOB,Secretaría de Gobernación,TGM,Talleres Gráficos de México,E2D,2010,75
4,SEGOB,Secretaría de Gobernación,TGM,Talleres Gráficos de México,E2D,2011,77
4,SEGOB,Secretaría de Gobernación,TGM,Talleres Gráficos de México,E2D,2012,75
4,SEGOB,Secretaría de Gobernación,TGM,Talleres Gráficos de México,E2D,2013,76
4,SEGOB,Secretaría de Gobernación,TGM,Talleres Gráficos de México,E2D,2014,73
4,SEGOB,Secretaría de Gobernación,TGM,Talleres Gráficos de México,E2D,2015,76
4,SEGOB,Secretaría de Gobernación,TGM,Talleres Gráficos de México,E2D,2016,72
5,SRE,Secretaría de Relaciones Exteriores,AMEXCID,Agencia Mexicana de Cooperación Internacional para el Desarrollo,K00,2013,74
5,SRE,Secretaría de Relaciones Exteriores,AMEXCID,Agencia Mexicana de Cooperación Internacional para el Desarrollo,K00,2014,75
5,SRE,Secretaría de Relaciones Exteriores,AMEXCID,Agencia Mexicana de Cooperación Internacional para el Desarrollo,K00,2015,75
5,SRE,Secretaría de Relaciones Exteriores,AMEXCID,Agencia Mexicana de Cooperación Internacional para el Desarrollo,K00,2016,72
5,SRE,Secretaría de Relaciones Exteriores,CILA_NORTE,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Estados Unidos,B00,2011,83
5,SRE,Secretaría de Relaciones Exteriores,CILA_NORTE,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Estados Unidos,B00,2012,86
5,SRE,Secretaría de Relaciones Exteriores,CILA_NORTE,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Estados Unidos,B00,2013,83
5,SRE,Secretaría de Relaciones Exteriores,CILA_NORTE,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Estados Unidos,B00,2014,85
5,SRE,Secretaría de Relaciones Exteriores,CILA_NORTE,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Estados Unidos,B00,2015,86
5,SRE,Secretaría de Relaciones Exteriores,CILA_NORTE,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Estados Unidos,B00,2016,84
5,SRE,Secretaría de Relaciones Exteriores,CILA_SUR,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Guatemala y Entre México-Belice,C00,2011,79
5,SRE,Secretaría de Relaciones Exteriores,CILA_SUR,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Guatemala y Entre México-Belice,C00,2012,83
5,SRE,Secretaría de Relaciones Exteriores,CILA_SUR,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Guatemala y Entre México-Belice,C00,2013,87
5,SRE,Secretaría de Relaciones Exteriores,CILA_SUR,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Guatemala y Entre México-Belice,C00,2014,88
5,SRE,Secretaría de Relaciones Exteriores,CILA_SUR,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Guatemala y Entre México-Belice,C00,2015,84
5,SRE,Secretaría de Relaciones Exteriores,CILA_SUR,Sección Mexicana de la Comisión Internacional de Límites y Aguas Entre México-Guatemala y Entre México-Belice,C00,2016,87
5,SRE,Secretaría de Relaciones Exteriores,IME,Instituto de los Mexicanos en el Exterior,J00,2011,76
5,SRE,Secretaría de Relaciones Exteriores,IME,Instituto de los Mexicanos en el Exterior,J00,2012,85
5,SRE,Secretaría de Relaciones Exteriores,IME,Instituto de los Mexicanos en el Exterior,J00,2013,81
5,SRE,Secretaría de Relaciones Exteriores,IME,Instituto de los Mexicanos en el Exterior,J00,2014,82
5,SRE,Secretaría de Relaciones Exteriores,IME,Instituto de los Mexicanos en el Exterior,J00,2015,84
5,SRE,Secretaría de Relaciones Exteriores,IME,Instituto de los Mexicanos en el Exterior,J00,2016,73
5,SRE,Secretaría de Relaciones Exteriores,IMR,Instituto Matías Romero,I00,2010,79
5,SRE,Secretaría de Relaciones Exteriores,IMR,Instituto Matías Romero,I00,2011,80
5,SRE,Secretaría de Relaciones Exteriores,IMR,Instituto Matías Romero,I00,2012,81
5,SRE,Secretaría de Relaciones Exteriores,IMR,Instituto Matías Romero,I00,2013,79
5,SRE,Secretaría de Relaciones Exteriores,IMR,Instituto Matías Romero,I00,2014,85
5,SRE,Secretaría de Relaciones Exteriores,IMR,Instituto Matías Romero,I00,2015,85
5,SRE,Secretaría de Relaciones Exteriores,IMR,Instituto Matías Romero,I00,2016,80
5,SRE,Secretaría de Relaciones Exteriores,SRE,Secretaría de Relaciones Exteriores,100,2010,78
5,SRE,Secretaría de Relaciones Exteriores,SRE,Secretaría de Relaciones Exteriores,100,2011,78
5,SRE,Secretaría de Relaciones Exteriores,SRE,Secretaría de Relaciones Exteriores,100,2012,79
5,SRE,Secretaría de Relaciones Exteriores,SRE,Secretaría de Relaciones Exteriores,100,2013,78
5,SRE,Secretaría de Relaciones Exteriores,SRE,Secretaría de Relaciones Exteriores,100,2014,81
5,SRE,Secretaría de Relaciones Exteriores,SRE,Secretaría de Relaciones Exteriores,100,2015,81
5,SRE,Secretaría de Relaciones Exteriores,SRE,Secretaría de Relaciones Exteriores,100,2016,79
6,SHCP,Secretaría de Hacienda y Crédito Público,AGROASEMEX,"Agroasemex, S.A.",GSA,2010,86
6,SHCP,Secretaría de Hacienda y Crédito Público,AGROASEMEX,"Agroasemex, S.A.",GSA,2011,86
6,SHCP,Secretaría de Hacienda y Crédito Público,AGROASEMEX,"Agroasemex, S.A.",GSA,2012,88
6,SHCP,Secretaría de Hacienda y Crédito Público,AGROASEMEX,"Agroasemex, S.A.",GSA,2013,87
6,SHCP,Secretaría de Hacienda y Crédito Público,AGROASEMEX,"Agroasemex, S.A.",GSA,2014,90
6,SHCP,Secretaría de Hacienda y Crédito Público,AGROASEMEX,"Agroasemex, S.A.",GSA,2015,91
6,SHCP,Secretaría de Hacienda y Crédito Público,AGROASEMEX,"Agroasemex, S.A.",GSA,2016,87
6,SHCP,Secretaría de Hacienda y Crédito Público,BANCOMEXT,"Banco Nacional de Comercio Exterior, S.N.C.",G0N,2012,79
6,SHCP,Secretaría de Hacienda y Crédito Público,BANCOMEXT,"Banco Nacional de Comercio Exterior, S.N.C.",G0N,2013,81
6,SHCP,Secretaría de Hacienda y Crédito Público,BANCOMEXT,"Banco Nacional de Comercio Exterior, S.N.C.",G0N,2014,83
6,SHCP,Secretaría de Hacienda y Crédito Público,BANCOMEXT,"Banco Nacional de Comercio Exterior, S.N.C.",G0N,2015,85
6,SHCP,Secretaría de Hacienda y Crédito Público,BANCOMEXT,"Banco Nacional de Comercio Exterior, S.N.C.",G0N,2016,78
6,SHCP,Secretaría de Hacienda y Crédito Público,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",G1H,2010,95
6,SHCP,Secretaría de Hacienda y Crédito Público,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",G1H,2011,92
6,SHCP,Secretaría de Hacienda y Crédito Público,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",G1H,2012,100
6,SHCP,Secretaría de Hacienda y Crédito Público,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",G1H,2013,99
6,SHCP,Secretaría de Hacienda y Crédito Público,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",G1H,2014,98
6,SHCP,Secretaría de Hacienda y Crédito Público,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",G1H,2015,99
6,SHCP,Secretaría de Hacienda y Crédito Público,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",G1H,2016,92
6,SHCP,Secretaría de Hacienda y Crédito Público,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",G1C,2010,84
6,SHCP,Secretaría de Hacienda y Crédito Público,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",G1C,2011,83
6,SHCP,Secretaría de Hacienda y Crédito Público,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",G1C,2012,83
6,SHCP,Secretaría de Hacienda y Crédito Público,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",G1C,2013,84
6,SHCP,Secretaría de Hacienda y Crédito Público,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",G1C,2014,85
6,SHCP,Secretaría de Hacienda y Crédito Público,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",G1C,2015,83
6,SHCP,Secretaría de Hacienda y Crédito Público,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",G1C,2016,82
6,SHCP,Secretaría de Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",HJO,2010,72
6,SHCP,Secretaría de Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",HJO,2011,76
6,SHCP,Secretaría de Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",HJO,2012,76
6,SHCP,Secretaría de Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",HJO,2013,75
6,SHCP,Secretaría de Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",HJO,2014,77
6,SHCP,Secretaría de Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",HJO,2015,81
6,SHCP,Secretaría de Hacienda y Crédito Público,BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",HJO,2016,70
6,SHCP,Secretaría de Hacienda y Crédito Público,CMM,Casa de Moneda de México,G2T,2010,79
6,SHCP,Secretaría de Hacienda y Crédito Público,CMM,Casa de Moneda de México,G2T,2011,81
6,SHCP,Secretaría de Hacienda y Crédito Público,CMM,Casa de Moneda de México,G2T,2012,79
6,SHCP,Secretaría de Hacienda y Crédito Público,CMM,Casa de Moneda de México,G2T,2013,80
6,SHCP,Secretaría de Hacienda y Crédito Público,CMM,Casa de Moneda de México,G2T,2014,83
6,SHCP,Secretaría de Hacienda y Crédito Público,CMM,Casa de Moneda de México,G2T,2015,82
6,SHCP,Secretaría de Hacienda y Crédito Público,CMM,Casa de Moneda de México,G2T,2016,80
6,SHCP,Secretaría de Hacienda y Crédito Público,CNBV,Comisión Nacional Bancaria y de Valores  ,B00,2013,84
6,SHCP,Secretaría de Hacienda y Crédito Público,CNBV,Comisión Nacional Bancaria y de Valores  ,B01,2014,86
6,SHCP,Secretaría de Hacienda y Crédito Público,CNBV,Comisión Nacional Bancaria y de Valores  ,B02,2015,86
6,SHCP,Secretaría de Hacienda y Crédito Público,CNBV,Comisión Nacional Bancaria y de Valores  ,B03,2016,83
6,SHCP,Secretaría de Hacienda y Crédito Público,CNSF,Comisión Nacional de Seguros y Fianzas,C00,2013,78
6,SHCP,Secretaría de Hacienda y Crédito Público,CNSF,Comisión Nacional de Seguros y Fianzas,C00,2014,79
6,SHCP,Secretaría de Hacienda y Crédito Público,CNSF,Comisión Nacional de Seguros y Fianzas,C00,2015,81
6,SHCP,Secretaría de Hacienda y Crédito Público,CNSF,Comisión Nacional de Seguros y Fianzas,C00,2016,76
6,SHCP,Secretaría de Hacienda y Crédito Público,CONDUSEF,Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros,G3A,2010,79
6,SHCP,Secretaría de Hacienda y Crédito Público,CONDUSEF,Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros,G3A,2011,81
6,SHCP,Secretaría de Hacienda y Crédito Público,CONDUSEF,Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros,G3A,2012,83
6,SHCP,Secretaría de Hacienda y Crédito Público,CONDUSEF,Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros,G3A,2013,82
6,SHCP,Secretaría de Hacienda y Crédito Público,CONDUSEF,Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros,G3A,2014,83
6,SHCP,Secretaría de Hacienda y Crédito Público,CONDUSEF,Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros,G3A,2015,83
6,SHCP,Secretaría de Hacienda y Crédito Público,CONDUSEF,Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros,G3A,2016,79
6,SHCP,Secretaría de Hacienda y Crédito Público,CONSAR,Comisión Nacional del Sistema de Ahorro para el Retiro,D00,2011,77
6,SHCP,Secretaría de Hacienda y Crédito Público,CONSAR,Comisión Nacional del Sistema de Ahorro para el Retiro,D00,2012,80
6,SHCP,Secretaría de Hacienda y Crédito Público,CONSAR,Comisión Nacional del Sistema de Ahorro para el Retiro,D00,2013,82
6,SHCP,Secretaría de Hacienda y Crédito Público,CONSAR,Comisión Nacional del Sistema de Ahorro para el Retiro,D00,2014,82
6,SHCP,Secretaría de Hacienda y Crédito Público,CONSAR,Comisión Nacional del Sistema de Ahorro para el Retiro,D00,2015,85
6,SHCP,Secretaría de Hacienda y Crédito Público,CONSAR,Comisión Nacional del Sistema de Ahorro para el Retiro,D00,2016,84
6,SHCP,Secretaría de Hacienda y Crédito Público,FIRA,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",HBW,2013,92
6,SHCP,Secretaría de Hacienda y Crédito Público,FIRA,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",HBW,2014,92
6,SHCP,Secretaría de Hacienda y Crédito Público,FIRA,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",HBW,2015,94
6,SHCP,Secretaría de Hacienda y Crédito Público,FIRA,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",HBW,2016,92
6,SHCP,Secretaría de Hacienda y Crédito Público,FND,"Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero",HAN,2010,80
6,SHCP,Secretaría de Hacienda y Crédito Público,FND,"Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero",HAN,2011,82
