"matricula","carrera","genero","promedio","edad","peso","altura"
61,"ARQUITECTURA","M",81.36,20,82.09,182.09
62,"INFORMATICA","F",81.52,20,63.96,163.96
63,"BIOQUIMICA","M",84.93,21,75.62,175.62
64,"MECATRONICA","M",86.54,21,83.01,183.01
65,"CIVIL","F",83.11,20,64.17,164.17
66,"MECATRONICA","F",85.91,21,58.47,158.47
67,"INDUSTRIAL","M",82.06,20,80.8,180.8
68,"TIC","M",89.71,22,86.32,186.32
69,"ELECTRICA","F",94.02,23,63.64,163.64
70,"MECATRONICA","M",87.47,21,78.05,178.05
71,"BIOQUIMICA","F",85.53,21,58.57,158.57
72,"ADMINISTRACION","M",90.6,22,82.09,182.09
73,"INFORMATICA","F",87.51,21,56.46,156.46
74,"INFORMATICA","F",86.23,21,60.4,160.4
75,"ARQUITECTURA","F",90.52,22,57.53,157.53
76,"TIC","M",85.28,21,76.22,176.22
77,"ADMINISTRACION","F",89.53,22,62.08,162.08
78,"MECATRONICA","M",90.73,22,82.56,182.56
79,"ELECTRICA","F",91.12,22,61.42,161.42
80,"QUIMICA","F",89.07,22,61.74,161.74
81,"ELECTRONICA","F",82.48,20,60.13,160.13
82,"ARQUITECTURA","F",92.48,23,58.93,158.93
83,"MECATRONICA","M",89.73,22,80.92,180.92
84,"INDUSTRIAL","M",82.28,20,81.24,181.24
85,"INDUSTRIAL","M",78.39,19,79.42,179.42
86,"INFORMATICA","F",87.85,22,64.82,164.82
87,"INFORMATICA","M",90.65,22,82.75,182.75
88,"MECATRONICA","F",90.8,22,57.94,157.94
89,"QUIMICA","F",95.52,24,61.46,161.46
90,"ARQUITECTURA","M",85.84,21,81.44,181.44
91,"TIC","F",88.57,22,58.97,158.97
92,"INDUSTRIAL","F",86.9,21,59.01,159.01
93,"MECANICA","F",87.48,21,61.03,161.03
94,"SISTEMAS","M",84.72,21,82.6,182.6
95,"MECANICA","F",96,24,59.12,159.12
96,"BIOQUIMICA","M",83.9,20,80.17,180.17
97,"BIOQUIMICA","F",79.49,19,58.23,158.23
98,"CIVIL","F",88.49,22,58.81,158.81
99,"BIOQUIMICA","M",86.87,21,79.17,179.17
100,"ELECTRONICA","M",87.62,21,83.34,183.34
101,"TIC","F",85.25,21,58.73,158.73
102,"ADMINISTRACION","F",81.78,20,56.69,156.69
103,"ELECTRICA","M",83.39,20,83.15,183.15
104,"MECATRONICA","F",86.66,21,61.25,161.25
105,"ARQUITECTURA","M",89.63,22,81.15,181.15
106,"INFORMATICA","M",89.78,22,80.11,180.11
107,"ARQUITECTURA","F",88.41,22,58.18,158.18
108,"TIC","F",84.18,20,60.58,160.58
109,"ADMINISTRACION","F",86.91,21,64.43,164.43
110,"ELECTRICA","M",90.3,22,77.67,177.67
111,"ARQUITECTURA","M",88.23,22,78.89,178.89
112,"ADMINISTRACION","M",82.55,20,77.42,177.42
113,"SISTEMAS","M",79.06,19,79.8,179.8
114,"ELECTRICA","F",84.35,21,59.37,159.37
115,"QUIMICA","F",86.15,21,60.26,160.26
116,"INFORMATICA","M",81.22,20,79.03,179.03
117,"ARQUITECTURA","M",86.86,21,78.13,178.13
118,"QUIMICA","M",86.78,21,80.73,180.73
119,"SISTEMAS","M",88.98,22,76.04,176.04
120,"MECANICA","M",82.79,20,82.89,182.89
121,"INDUSTRIAL","M",84.89,21,82.11,182.11
122,"ADMINISTRACION","F",88.33,22,60.95,160.95
123,"BIOQUIMICA","M",81.62,20,79.78,179.78
124,"QUIMICA","F",84.2,20,56,156
125,"QUIMICA","M",89.89,22,78.87,178.87
126,"ELECTRONICA","F",84.91,21,57.84,157.84
127,"BIOQUIMICA","F",79.91,19,60.05,160.05
128,"CIVIL","F",90.29,22,59.82,159.82
129,"CIVIL","F",80.24,19,58.49,158.49
130,"ELECTRONICA","M",92.43,23,79.26,179.26
131,"ELECTRICA","M",89.67,22,74.16,174.16
132,"QUIMICA","F",86.13,21,61,161
133,"ARQUITECTURA","M",86.02,21,79.96,179.96
134,"CIVIL","F",79.27,19,58.81,158.81
135,"MECATRONICA","F",80.56,19,55.61,155.61
136,"QUIMICA","M",85.05,21,80.13,180.13
137,"MECATRONICA","F",87.62,21,57.64,157.64
138,"SISTEMAS","F",89.58,22,56.66,156.66
139,"ELECTRONICA","F",81.09,20,59.24,159.24
140,"ADMINISTRACION","M",85.7,21,80.83,180.83
141,"SISTEMAS","M",91.47,23,82.52,182.52
142,"ARQUITECTURA","M",86.85,21,77.64,177.64
143,"MECATRONICA","F",91.19,22,62.43,162.43
144,"BIOQUIMICA","M",89.17,22,77.56,177.56
145,"CIVIL","M",87.11,21,85.21,185.21
146,"QUIMICA","M",87.95,22,74.67,174.67
147,"QUIMICA","F",87.87,22,56.76,156.76
148,"ARQUITECTURA","M",82.28,20,77.4,177.4
149,"BIOQUIMICA","M",79.48,19,80.03,180.03
150,"MECATRONICA","M",89.16,22,84.95,184.95
151,"MECATRONICA","M",86.17,21,79.17,179.17
152,"ARQUITECTURA","M",81.72,20,77.73,177.73
153,"ADMINISTRACION","F",81.62,20,61.51,161.51
154,"TIC","M",82.04,20,79.03,179.03
155,"ELECTRONICA","M",88.27,22,80.6,180.6
156,"INDUSTRIAL","M",83.66,20,74.72,174.72
157,"CIVIL","M",82.28,20,78.58,178.58
158,"SISTEMAS","F",82.62,20,61.81,161.81
159,"MECANICA","M",82.1,20,79.59,179.59
160,"QUIMICA","F",79.18,19,59.78,159.78
161,"ELECTRICA","F",83.98,20,57.22,157.22
162,"MECATRONICA","M",79.89,19,81.42,181.42
163,"QUIMICA","F",84.17,20,54.38,154.38
164,"INDUSTRIAL","M",81.24,20,80.94,180.94
165,"ARQUITECTURA","M",79.3,19,76.86,176.86
166,"CIVIL","M",89.39,22,83.87,183.87
167,"MECATRONICA","F",80.82,20,61.04,161.04
168,"BIOQUIMICA","F",91.89,23,63.22,163.22
169,"BIOQUIMICA","F",81.15,20,64.3,164.3
170,"ARQUITECTURA","M",84.32,21,78.75,178.75
171,"ADMINISTRACION","F",81.79,20,59.31,159.31
172,"BIOQUIMICA","M",86.36,21,81.11,181.11
173,"SISTEMAS","F",85.16,21,59.9,159.9
174,"INFORMATICA","F",81.1,20,61.58,161.58
175,"ELECTRONICA","M",82.36,20,74.36,174.36
176,"SISTEMAS","F",86.93,21,59.82,159.82
177,"MECATRONICA","M",84.34,21,83.2,183.2
178,"QUIMICA","M",84.96,21,86.58,186.58
179,"ADMINISTRACION","F",89.6,22,63.23,163.23
180,"ADMINISTRACION","F",89.56,22,59.73,159.73
181,"SISTEMAS","M",79.17,19,84.8,184.8
182,"BIOQUIMICA","F",81.55,20,61.18,161.18
183,"BIOQUIMICA","M",86.17,21,78.48,178.48
184,"INDUSTRIAL","M",90.19,22,77.93,177.93
185,"MECANICA","M",84.32,21,72.48,172.48
186,"ELECTRICA","M",83.25,20,83.84,183.84
187,"ELECTRONICA","F",86.6,21,54.68,154.68
188,"INFORMATICA","F",89.83,22,59.56,159.56
189,"ELECTRICA","M",88.57,22,75.94,175.94
190,"ADMINISTRACION","F",85.16,21,57.24,157.24
191,"INDUSTRIAL","F",88.13,22,57.65,157.65
192,"ELECTRICA","F",90.79,22,62.92,162.92
193,"ADMINISTRACION","F",83.98,20,58.02,158.02
194,"ARQUITECTURA","M",85.31,21,80.15,180.15
195,"CIVIL","F",83.91,20,57.39,157.39
196,"MECATRONICA","M",82.23,20,85.12,185.12
197,"ADMINISTRACION","M",86.64,21,82.04,182.04
198,"SISTEMAS","M",90.53,22,76.43,176.43
199,"BIOQUIMICA","M",85.42,21,77.63,177.63
200,"ELECTRICA","F",87.19,21,58.05,158.05
201,"BIOQUIMICA","M",87.3,21,82.96,182.96
202,"BIOQUIMICA","M",85.33,21,73.98,173.98
203,"BIOQUIMICA","M",78.67,19,76.2,176.2
204,"ARQUITECTURA","M",82.84,20,85.03,185.03
205,"BIOQUIMICA","F",87.21,21,59.58,159.58
206,"ARQUITECTURA","M",87.4,21,79.88,179.88
207,"SISTEMAS","F",87.75,22,60.65,160.65
208,"TIC","M",79.79,19,85.3,185.3
209,"ADMINISTRACION","M",83.71,20,81.78,181.78
210,"INFORMATICA","M",84.71,21,78.34,178.34
211,"INDUSTRIAL","M",86.55,21,80.32,180.32
212,"ADMINISTRACION","M",83.65,20,77.27,177.27
213,"MECANICA","F",86.29,21,61.57,161.57
214,"ELECTRONICA","M",90.31,22,81.46,181.46
215,"ELECTRONICA","F",89.05,22,61.23,161.23
216,"MECANICA","M",87.88,22,81.21,181.21
217,"MECATRONICA","F",83.26,20,58.63,158.63
218,"INDUSTRIAL","F",87.48,21,62.97,162.97
219,"SISTEMAS","M",89.29,22,82.68,182.68
220,"ADMINISTRACION","F",88.84,22,61.88,161.88
221,"SISTEMAS","F",79.73,19,63.13,163.13
222,"MECATRONICA","M",85.03,21,80.53,180.53
223,"SISTEMAS","F",88.32,22,62.36,162.36
224,"QUIMICA","F",91.53,23,59.78,159.78
225,"CIVIL","M",83.49,20,78.43,178.43
226,"QUIMICA","F",89.33,22,57.85,157.85
227,"MECANICA","F",89.31,22,60.53,160.53
228,"ELECTRICA","M",90.39,22,80.03,180.03
229,"ELECTRICA","M",85.18,21,75.56,175.56
230,"INDUSTRIAL","M",80.73,19,76.57,176.57
231,"SISTEMAS","M",87.18,21,75.8,175.8
232,"CIVIL","M",90.84,22,77.47,177.47
233,"ELECTRONICA","F",81.89,20,61.32,161.32
234,"ARQUITECTURA","F",84.6,21,58.85,158.85
235,"QUIMICA","M",85.01,21,82.97,182.97
236,"MECATRONICA","F",89.27,22,61.22,161.22
237,"CIVIL","M",82.35,20,81.01,181.01
238,"INFORMATICA","M",83.72,20,75.78,175.78
239,"ARQUITECTURA","F",84.56,21,62.53,162.53
240,"INFORMATICA","M",87.57,21,81.28,181.28
241,"MECATRONICA","F",84.08,20,62.36,162.36
242,"MECANICA","F",87.23,21,62.89,162.89
243,"QUIMICA","F",86.51,21,61.89,161.89
244,"ELECTRONICA","M",87.3,21,84.04,184.04
245,"MECATRONICA","M",91.22,23,84,184
246,"TIC","M",82.79,20,83.14,183.14
247,"BIOQUIMICA","M",83.97,20,80.57,180.57
248,"ELECTRICA","M",94.52,23,77.2,177.2
249,"TIC","M",88.33,22,79.79,179.79
250,"ELECTRICA","F",87.16,21,61.21,161.21
251,"MECATRONICA","M",91.57,23,80.23,180.23
252,"MECATRONICA","M",82.14,20,83.13,183.13
253,"SISTEMAS","M",86.04,21,79.95,179.95
254,"BIOQUIMICA","M",82.35,20,79.91,179.91
255,"ADMINISTRACION","M",87.5,21,75.21,175.21
256,"ARQUITECTURA","F",88.28,22,61.29,161.29
257,"TIC","F",81.01,20,61.56,161.56
258,"INDUSTRIAL","F",87.64,21,58.15,158.15
259,"BIOQUIMICA","F",83.21,20,57.77,157.77
260,"QUIMICA","F",83.28,20,61.34,161.34
261,"QUIMICA","F",82.07,20,60.51,160.51
262,"TIC","M",82.84,20,79.93,179.93
263,"TIC","M",86.31,21,79.49,179.49
264,"QUIMICA","F",85.18,21,58.95,158.95
265,"SISTEMAS","M",91.64,23,73.66,173.66
266,"BIOQUIMICA","F",87.75,22,62.43,162.43
267,"ELECTRICA","F",86.13,21,57.46,157.46
268,"CIVIL","M",87.26,21,75.68,175.68
269,"MECATRONICA","F",81.17,20,58.95,158.95
270,"ADMINISTRACION","M",88.2,22,79.93,179.93
271,"MECANICA","M",84.35,21,79.35,179.35
272,"INDUSTRIAL","M",83.16,20,77.54,177.54
273,"CIVIL","F",90.34,22,62.86,162.86
274,"MECATRONICA","M",81.43,20,76.9,176.9
275,"ARQUITECTURA","F",87.89,22,60.27,160.27
276,"INFORMATICA","F",85.35,21,58.23,158.23
277,"INDUSTRIAL","M",88.13,22,77.24,177.24
278,"MECATRONICA","M",87.83,22,79.17,179.17
279,"MECATRONICA","F",86.81,21,59.65,159.65
280,"MECANICA","F",85.61,21,59.08,159.08
281,"CIVIL","M",81.44,20,81.11,181.11
282,"INDUSTRIAL","M",84.83,21,81.16,181.16
283,"MECANICA","M",87.66,21,77.76,177.76
284,"SISTEMAS","F",82.21,20,61.8,161.8
285,"INFORMATICA","M",90.37,22,75.22,175.22
286,"ELECTRONICA","M",86.12,21,82.71,182.71
287,"ARQUITECTURA","M",92.52,23,80.98,180.98
288,"ELECTRONICA","M",83,20,76.2,176.2
289,"INDUSTRIAL","M",82.55,20,78.94,178.94
290,"ADMINISTRACION","M",80.74,19,78.67,178.67
291,"INFORMATICA","F",85.86,21,63.85,163.85
292,"TIC","F",79.81,19,60.5,160.5
293,"ARQUITECTURA","F",89.31,22,58.23,158.23
294,"ELECTRONICA","M",85.03,21,75.22,175.22
295,"MECANICA","M",84.58,21,80.7,180.7
296,"INDUSTRIAL","F",84.39,21,60.05,160.05
297,"INFORMATICA","F",77.5,19,59.96,159.96
298,"BIOQUIMICA","F",87.08,21,60.18,160.18
299,"ELECTRICA","F",83.26,20,62.25,162.25
300,"CIVIL","F",86.78,21,57.19,157.19
301,"INDUSTRIAL","M",79.82,19,75.21,175.21
302,"INDUSTRIAL","F",81.25,20,58.52,158.52
303,"MECATRONICA","F",87.36,21,60.12,160.12
304,"INDUSTRIAL","F",86.93,21,60.81,160.81
305,"QUIMICA","M",86.3,21,79,179
306,"SISTEMAS","M",91.38,23,80.54,180.54
307,"TIC","F",88.76,22,59.85,159.85
308,"ELECTRONICA","F",87.18,21,61.43,161.43
309,"ELECTRICA","F",82.16,20,58.07,158.07
310,"INFORMATICA","F",82.39,20,58.57,158.57
311,"ELECTRICA","F",85.35,21,57.17,157.17
312,"QUIMICA","M",90.45,22,83.28,183.28
313,"CIVIL","M",81.04,20,82.97,182.97
314,"CIVIL","F",84.66,21,61.03,161.03
315,"ADMINISTRACION","M",84.26,20,80.77,180.77
316,"INFORMATICA","F",86.23,21,61.35,161.35
317,"CIVIL","F",87.75,22,62.32,162.32
318,"QUIMICA","M",81.56,20,83.75,183.75
319,"ARQUITECTURA","M",82.34,20,83.19,183.19
320,"MECATRONICA","F",84.33,21,58.86,158.86
321,"ARQUITECTURA","M",88.52,22,78.93,178.93
322,"BIOQUIMICA","F",85.24,21,57.55,157.55
323,"ADMINISTRACION","F",90.53,22,62.22,162.22
324,"ELECTRICA","M",85.13,21,75.4,175.4
325,"ADMINISTRACION","M",84.11,20,78.35,178.35
326,"INFORMATICA","M",90.26,22,78.25,178.25
327,"SISTEMAS","M",84.14,20,80.32,180.32
328,"BIOQUIMICA","M",88.06,22,81.3,181.3
329,"INDUSTRIAL","F",87.57,21,56.8,156.8
330,"ADMINISTRACION","F",83.7,20,58.86,158.86
331,"SISTEMAS","M",78.28,19,80.5,180.5
332,"ELECTRICA","F",86,21,57.72,157.72
333,"MECANICA","M",90.71,22,81.05,181.05
334,"SISTEMAS","F",81.4,20,56.67,156.67
335,"SISTEMAS","M",86.87,21,81.76,181.76
336,"MECANICA","M",81.98,20,82.64,182.64
337,"ARQUITECTURA","M",90.35,22,81.49,181.49
338,"MECATRONICA","F",85.04,21,63.01,163.01
339,"SISTEMAS","M",85.21,21,89.33,189.33
340,"ELECTRONICA","F",84.42,21,61.56,161.56
341,"INFORMATICA","F",85.61,21,62.92,162.92
342,"MECANICA","F",85.88,21,55.81,155.81
343,"MECANICA","M",84.62,21,82.89,182.89
344,"SISTEMAS","F",84.84,21,59.25,159.25
345,"BIOQUIMICA","M",87.94,22,79.55,179.55
346,"MECANICA","M",85.16,21,81.93,181.93
347,"MECANICA","F",80.15,19,60.69,160.69
348,"TIC","F",81.51,20,64.08,164.08
349,"BIOQUIMICA","M",89.57,22,80.72,180.72
350,"INFORMATICA","F",83.32,20,61.27,161.27
351,"INFORMATICA","M",87.38,21,81.89,181.89
352,"ELECTRICA","F",83.46,20,58.52,158.52
353,"ARQUITECTURA","F",87.93,22,57.97,157.97
354,"BIOQUIMICA","M",84.18,20,80.05,180.05
355,"INDUSTRIAL","M",82.5,20,76.6,176.6
356,"SISTEMAS","M",84.95,21,80.52,180.52
357,"BIOQUIMICA","F",82.56,20,57.42,157.42
358,"BIOQUIMICA","F",87.98,22,58.13,158.13
359,"ELECTRONICA","M",87.95,22,79.69,179.69
360,"MECATRONICA","M",83.98,20,72.96,172.96
361,"TIC","M",89.53,22,73.89,173.89
362,"ELECTRONICA","F",84.88,21,63.23,163.23
363,"MECANICA","F",85.86,21,58.93,158.93
364,"ELECTRICA","M",86.8,21,80.73,180.73
365,"SISTEMAS","F",90.67,22,57.88,157.88
366,"BIOQUIMICA","M",90.59,22,87.82,187.82
367,"CIVIL","F",85.83,21,61.75,161.75
368,"MECATRONICA","F",83.93,20,60.61,160.61
369,"MECATRONICA","F",88.11,22,56.37,156.37
370,"ADMINISTRACION","F",88.84,22,58.4,158.4
371,"MECANICA","F",85.28,21,64.15,164.15
372,"INFORMATICA","M",81.54,20,74.94,174.94
373,"CIVIL","F",87.4,21,61.01,161.01
374,"ADMINISTRACION","M",87.99,22,78.12,178.12
375,"INFORMATICA","F",83.71,20,62.67,162.67
376,"ARQUITECTURA","M",82.38,20,81.28,181.28
377,"ELECTRONICA","F",87.16,21,61.21,161.21
378,"INDUSTRIAL","M",83.47,20,78.61,178.61
379,"INFORMATICA","M",85.67,21,78.41,178.41
380,"INDUSTRIAL","F",91.82,23,60.25,160.25
381,"QUIMICA","F",85.01,21,62.7,162.7
382,"ARQUITECTURA","M",89.34,22,81.46,181.46
383,"ARQUITECTURA","M",83.5,20,82.76,182.76
384,"BIOQUIMICA","F",86.8,21,58.97,158.97
385,"MECANICA","M",92.28,23,78.62,178.62
386,"QUIMICA","M",83.89,20,84.19,184.19
387,"ARQUITECTURA","M",82.73,20,80.97,180.97
388,"INFORMATICA","F",87.9,22,62.04,162.04
389,"MECATRONICA","M",87.14,21,80.02,180.02
390,"ARQUITECTURA","M",84.64,21,81.73,181.73
391,"INFORMATICA","M",82.48,20,75.1,175.1
392,"INFORMATICA","F",83.83,20,59.22,159.22
393,"QUIMICA","F",88.71,22,58.72,158.72
394,"MECATRONICA","M",95.33,24,79.96,179.96
395,"ELECTRONICA","F",92.46,23,63,163
396,"ADMINISTRACION","F",90.08,22,57.5,157.5
397,"ADMINISTRACION","M",85.4,21,78.83,178.83
398,"MECANICA","M",79.15,19,85.34,185.34
399,"MECANICA","F",85.17,21,58.14,158.14
400,"ELECTRONICA","F",82.38,20,64.41,164.41
401,"BIOQUIMICA","F",88.86,22,60.54,160.54
402,"INDUSTRIAL","F",78.55,19,61.13,161.13
403,"ELECTRONICA","F",86.96,21,62.04,162.04
404,"MECANICA","M",89.7,22,80.96,180.96
405,"ARQUITECTURA","F",91.96,23,61.62,161.62
406,"MECATRONICA","F",87.04,21,64.24,164.24
407,"MECATRONICA","M",89.81,22,76.33,176.33
408,"MECATRONICA","M",87.78,22,79.69,179.69
409,"ADMINISTRACION","M",87.7,21,79.81,179.81
410,"QUIMICA","F",82.51,20,60.23,160.23
411,"ELECTRONICA","M",88.06,22,75.51,175.51
412,"MECANICA","M",85.23,21,80.1,180.1
413,"ELECTRICA","M",81.62,20,77.46,177.46
414,"QUIMICA","F",85.35,21,57.23,157.23
415,"MECANICA","F",86.73,21,59.14,159.14
416,"QUIMICA","M",82.82,20,76.24,176.24
417,"ADMINISTRACION","F",82.75,20,61.19,161.19
418,"TIC","F",84.86,21,60.41,160.41
419,"CIVIL","F",90.65,22,57.82,157.82
420,"BIOQUIMICA","M",85.93,21,82.57,182.57
421,"SISTEMAS","M",85.03,21,80.09,180.09
422,"TIC","M",83.7,20,81.33,181.33
423,"ARQUITECTURA","M",93.13,23,80.9,180.9
424,"ADMINISTRACION","F",82.47,20,60.03,160.03
425,"ADMINISTRACION","M",90.14,22,82.49,182.49
426,"ARQUITECTURA","M",87.03,21,86.96,186.96
427,"ARQUITECTURA","M",86.54,21,78.43,178.43
428,"MECATRONICA","M",86.9,21,79.91,179.91
429,"CIVIL","M",87.88,22,78.43,178.43
430,"MECATRONICA","M",82.34,20,79.77,179.77
431,"ARQUITECTURA","M",89.26,22,84.52,184.52
432,"QUIMICA","M",85.02,21,84.39,184.39
433,"ELECTRICA","F",83.14,20,56.33,156.33
434,"ELECTRONICA","M",92.8,23,78.02,178.02
435,"INDUSTRIAL","F",82.9,20,58.82,158.82
436,"ELECTRONICA","F",94.48,23,61.04,161.04
437,"ELECTRONICA","M",84.15,20,82.63,182.63
438,"TIC","M",86.31,21,83.25,183.25
439,"ELECTRICA","M",81.07,20,79.03,179.03
440,"INDUSTRIAL","M",85.25,21,84.4,184.4
441,"SISTEMAS","M",84.98,21,79.11,179.11
442,"BIOQUIMICA","M",84.6,21,76.29,176.29
443,"BIOQUIMICA","M",84.32,21,78.7,178.7
444,"TIC","F",81.15,20,57.42,157.42
445,"QUIMICA","M",87.25,21,80.5,180.5
446,"BIOQUIMICA","F",92.56,23,62.31,162.31
447,"SISTEMAS","M",85.87,21,75.3,175.3
448,"TIC","F",83.05,20,59.48,159.48
449,"INDUSTRIAL","F",87.64,21,58.33,158.33
450,"CIVIL","F",86.57,21,61.08,161.08
451,"ARQUITECTURA","M",81.24,20,80.9,180.9
452,"ARQUITECTURA","M",93.38,23,82.54,182.54
453,"TIC","M",84.42,21,79.29,179.29
454,"MECATRONICA","M",86.59,21,83.85,183.85
455,"ELECTRONICA","F",79.32,19,61.83,161.83
456,"ELECTRONICA","M",90.66,22,80.1,180.1
457,"SISTEMAS","M",84.26,20,84.79,184.79
458,"MECATRONICA","M",86.32,21,82.96,182.96
459,"SISTEMAS","M",73.96,18,74.57,174.57
460,"MECATRONICA","M",82.47,20,80.65,180.65
461,"MECATRONICA","F",81.37,20,57.94,157.94
462,"ARQUITECTURA","F",84.96,21,60.81,160.81
463,"MECANICA","F",87.95,22,60.2,160.2
464,"TIC","F",75.35,18,60.4,160.4
465,"MECATRONICA","M",84.4,21,85.75,185.75
466,"ARQUITECTURA","M",93.54,23,76.96,176.96
467,"ADMINISTRACION","M",87.28,21,86.03,186.03
468,"TIC","M",89.55,22,82.56,182.56
469,"ELECTRONICA","F",88.26,22,60.35,160.35
470,"INFORMATICA","F",87.84,22,61.25,161.25
471,"SISTEMAS","F",88.13,22,58.99,158.99
472,"SISTEMAS","F",85.31,21,59.13,159.13
473,"MECATRONICA","F",85.7,21,57.79,157.79
474,"MECANICA","F",88.19,22,59.11,159.11
475,"TIC","M",86.08,21,80.96,180.96
476,"MECANICA","F",84.12,20,61.97,161.97
477,"QUIMICA","M",83.52,20,83.8,183.8
478,"ELECTRONICA","F",79.04,19,60.43,160.43
479,"MECANICA","F",85.82,21,60.3,160.3
480,"ELECTRONICA","F",84.6,21,53.48,153.48
481,"INDUSTRIAL","M",87.26,21,79.42,179.42
482,"BIOQUIMICA","F",99.04,25,61.73,161.73
483,"ELECTRONICA","M",85.95,21,78.2,178.2
484,"ADMINISTRACION","F",90.49,22,59.25,159.25
485,"QUIMICA","M",83.88,20,73.02,173.02
486,"MECATRONICA","M",85.65,21,76.82,176.82
487,"MECATRONICA","M",81.49,20,75.98,175.98
488,"MECATRONICA","M",93.16,23,81.79,181.79
489,"ADMINISTRACION","M",83.01,20,78.92,178.92
490,"ELECTRONICA","M",84.21,20,78.49,178.49
491,"SISTEMAS","M",88.87,22,80.04,180.04
492,"ARQUITECTURA","M",84.61,21,79.11,179.11
493,"SISTEMAS","F",84.41,21,61.12,161.12
494,"ELECTRICA","M",91.33,23,75.99,175.99
495,"MECATRONICA","F",86.92,21,59.67,159.67
496,"SISTEMAS","F",84.83,21,63.2,163.2
497,"INFORMATICA","M",84.08,20,81.13,181.13
498,"MECANICA","F",89.15,22,61.96,161.96
499,"ADMINISTRACION","F",83.13,20,60.64,160.64
500,"MECANICA","M",90.8,22,78.33,178.33
501,"MECATRONICA","F",85.82,21,60.11,160.11
502,"SISTEMAS","F",87.78,22,58.46,158.46
503,"ARQUITECTURA","F",82.35,20,56.96,156.96
504,"ARQUITECTURA","F",84.23,20,59.7,159.7
505,"TIC","M",90.13,22,81.63,181.63
506,"INFORMATICA","M",81.46,20,80.62,180.62
507,"MECATRONICA","F",84.92,21,59.01,159.01
508,"ARQUITECTURA","M",85.12,21,81.37,181.37
509,"TIC","M",91.54,23,82.22,182.22
510,"MECATRONICA","F",87.93,22,57.45,157.45
511,"QUIMICA","M",82.4,20,81.05,181.05
512,"ARQUITECTURA","M",84.39,21,82.39,182.39
513,"TIC","M",87.71,21,82.55,182.55
514,"MECATRONICA","F",85.81,21,58.16,158.16
