"d_codigo","d_asenta","D_mnpio","d_ciudad","d_estado","CIUDADASENTA"
34040,"Villa de Guadalupe","Durango","Victoria de Durango","Durango","Victoria de Durango,Villa de Guadalupe"
34043,"Las Cumbres","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Cumbres"
34043,"Niños Héroes","Durango","Victoria de Durango","Durango","Victoria de Durango,Niños Héroes"
34045,"Antonio Ramirez","Durango","Victoria de Durango","Durango","Victoria de Durango,Antonio Ramirez"
34045,"Parque Sahuatoba","Durango","Victoria de Durango","Durango","Victoria de Durango,Parque Sahuatoba"
34045,"Alcaldes","Durango","Victoria de Durango","Durango","Victoria de Durango,Alcaldes"
34045,"Valle Dorado","Durango","Victoria de Durango","Durango","Victoria de Durango,Valle Dorado"
34045,"El Mirador","Durango","Victoria de Durango","Durango","Victoria de Durango,El Mirador"
34045,"Gobernadores","Durango","Victoria de Durango","Durango","Victoria de Durango,Gobernadores"
34045,"Las Margaritas","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Margaritas"
34046,"Miguel de La Madrid Hurtado","Durango","Victoria de Durango","Durango","Victoria de Durango,Miguel de La Madrid Hurtado"
34046,"Legisladores Durangueños","Durango","Victoria de Durango","Durango","Victoria de Durango,Legisladores Durangueños"
34047,"Bellavista","Durango","Victoria de Durango","Durango","Victoria de Durango,Bellavista"
34048,"Felipe Ángeles","Durango","Victoria de Durango","Durango","Victoria de Durango,Felipe Ángeles"
34049,"La Virgen","Durango","Victoria de Durango","Durango","Victoria de Durango,La Virgen"
34049,"Privada San Vicente","Durango","Victoria de Durango","Durango","Victoria de Durango,Privada San Vicente"
34050,"Maderera","Durango","Victoria de Durango","Durango","Victoria de Durango,Maderera"
34050,"Santa María","Durango","Victoria de Durango","Durango","Victoria de Durango,Santa María"
34058,"La Loma","Durango","Victoria de Durango","Durango","Victoria de Durango,La Loma"
34060,"Fátima","Durango","Victoria de Durango","Durango","Victoria de Durango,Fátima"
34069,"Paloma","Durango","Victoria de Durango","Durango","Victoria de Durango,Paloma"
34070,"Silvestre Dorador","Durango","Victoria de Durango","Durango","Victoria de Durango,Silvestre Dorador"
34074,"El Calvario","Durango","Victoria de Durango","Durango","Victoria de Durango,El Calvario"
34075,"Madrazo","Durango","Victoria de Durango","Durango","Victoria de Durango,Madrazo"
34076,"Los Ángeles","Durango","Victoria de Durango","Durango","Victoria de Durango,Los Ángeles"
34077,"Predio Canoas","Durango","Victoria de Durango","Durango","Victoria de Durango,Predio Canoas"
34080,"Del Lago","Durango","Victoria de Durango","Durango","Victoria de Durango,Del Lago"
34080,"Esperanza","Durango","Victoria de Durango","Durango","Victoria de Durango,Esperanza"
34080,"Nueva Vizcaya","Durango","Victoria de Durango","Durango","Victoria de Durango,Nueva Vizcaya"
34080,"Real del Prado","Durango","Victoria de Durango","Durango","Victoria de Durango,Real del Prado"
34090,"Ciénega","Durango","Victoria de Durango","Durango","Victoria de Durango,Ciénega"
34100,"Lomas del Parque","Durango","Victoria de Durango","Durango","Victoria de Durango,Lomas del Parque"
34100,"Los Remedios","Durango","Victoria de Durango","Durango","Victoria de Durango,Los Remedios"
34100,"Villa Lomas","Durango","Victoria de Durango","Durango","Victoria de Durango,Villa Lomas"
34100,"Loma Dorada Diamante","Durango","Victoria de Durango","Durango","Victoria de Durango,Loma Dorada Diamante"
34100,"Privada San Lorenzo","Durango","Victoria de Durango","Durango","Victoria de Durango,Privada San Lorenzo"
34100,"Riconada San Javier","Durango","Victoria de Durango","Durango","Victoria de Durango,Riconada San Javier"
34103,"Ampliación Tapias","Durango","Victoria de Durango","Durango","Victoria de Durango,Ampliación Tapias"
34103,"F.O.S. La Virgen","Durango","Victoria de Durango","Durango","Victoria de Durango,F.O.S. La Virgen"
34103,"Campestre Los Pinos","Durango","Victoria de Durango","Durango","Victoria de Durango,Campestre Los Pinos"
34104,"Loma Dorada","Durango","Victoria de Durango","Durango","Victoria de Durango,Loma Dorada"
34105,"El Saltito","Durango","Victoria de Durango","Durango","Victoria de Durango,El Saltito"
34105,"La Esmeralda","Durango","Victoria de Durango","Durango","Victoria de Durango,La Esmeralda"
34105,"General Lázaro Cárdenas (Garabitos Nuevo)","Durango","Victoria de Durango","Durango","Victoria de Durango,General Lázaro Cárdenas (Garabitos Nuevo)"
34105,"Colinas del Saltito","Durango","Victoria de Durango","Durango","Victoria de Durango,Colinas del Saltito"
34105,"Paseo del Saltito","Durango","Victoria de Durango","Durango","Victoria de Durango,Paseo del Saltito"
34105,"Lomas","Durango","Victoria de Durango","Durango","Victoria de Durango,Lomas"
34105,"Alexa","Durango","Victoria de Durango","Durango","Victoria de Durango,Alexa"
34105,"Gardenias Privadas Residencial","Durango","Victoria de Durango","Durango","Victoria de Durango,Gardenias Privadas Residencial"
34106,"Campestre Jacarandas","Durango","Victoria de Durango","Durango","Victoria de Durango,Campestre Jacarandas"
34106,"Hacienda Residencial San Fernanda","Durango","Victoria de Durango","Durango","Victoria de Durango,Hacienda Residencial San Fernanda"
34106,"Paseo del Bosque","Durango","Victoria de Durango","Durango","Victoria de Durango,Paseo del Bosque"
34106,"Residencial Santa Bárbara","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial Santa Bárbara"
34106,"San Ángel","Durango","Victoria de Durango","Durango","Victoria de Durango,San Ángel"
34106,"Las Alamedas","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Alamedas"
34106,"15 de Mayo (Tapias)","Durango","Victoria de Durango","Durango","Victoria de Durango,15 de Mayo (Tapias)"
34106,"Privada San Ángel Inn","Durango","Victoria de Durango","Durango","Victoria de Durango,Privada San Ángel Inn"
34106,"Las Alamedas II","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Alamedas II"
34106,"Residencial las Alamedas","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial las Alamedas"
34106,"Privada Alejandro","Durango","Victoria de Durango","Durango","Victoria de Durango,Privada Alejandro"
34107,"Santi Residencial","Durango","Victoria de Durango","Durango","Victoria de Durango,Santi Residencial"
34107,"Residencial Hortencia","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial Hortencia"
34107,"Residencial La Salle","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial La Salle"
34107,"Rancho la Nogalera","Durango","","Durango",",Rancho la Nogalera"
34107,"Haciendas el Saltito","Durango","Victoria de Durango","Durango","Victoria de Durango,Haciendas el Saltito"
34108,"Ampliación El Saltito","Durango","Victoria de Durango","Durango","Victoria de Durango,Ampliación El Saltito"
34108,"Lomas del Sahuatoba","Durango","Victoria de Durango","Durango","Victoria de Durango,Lomas del Sahuatoba"
34108,"Hacienda Alejandro Plus","Durango","Victoria de Durango","Durango","Victoria de Durango,Hacienda Alejandro Plus"
34108,"Rinconada Misión del Pedregal","Durango","Victoria de Durango","Durango","Victoria de Durango,Rinconada Misión del Pedregal"
34108,"La Lomita","Durango","Victoria de Durango","Durango","Victoria de Durango,La Lomita"
34108,"Del Bosque","Durango","Victoria de Durango","Durango","Victoria de Durango,Del Bosque"
34108,"Buenos Aires","Durango","Victoria de Durango","Durango","Victoria de Durango,Buenos Aires"
34108,"Pedregal de San Pedro","Durango","Victoria de Durango","Durango","Victoria de Durango,Pedregal de San Pedro"
34109,"Residencial Caletto","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial Caletto"
34109,"Privadas del Sahuatoba","Durango","Victoria de Durango","Durango","Victoria de Durango,Privadas del Sahuatoba"
34109,"Privadas del Guadiana","Durango","Victoria de Durango","Durango","Victoria de Durango,Privadas del Guadiana"
34109,"Real del Lago","Durango","Victoria de Durango","Durango","Victoria de Durango,Real del Lago"
34109,"Privadas del Parque","Durango","Victoria de Durango","Durango","Victoria de Durango,Privadas del Parque"
34110,"Empleado Municipal","Durango","Victoria de Durango","Durango","Victoria de Durango,Empleado Municipal"
34110,"Lomas del Guadiana","Durango","Victoria de Durango","Durango","Victoria de Durango,Lomas del Guadiana"
34110,"Alexa Plus","Durango","Victoria de Durango","Durango","Victoria de Durango,Alexa Plus"
34110,"Valle Alegre","Durango","Victoria de Durango","Durango","Victoria de Durango,Valle Alegre"
34110,"Villa los Remedios","Durango","Victoria de Durango","Durango","Victoria de Durango,Villa los Remedios"
34113,"Sarh","Durango","Victoria de Durango","Durango","Victoria de Durango,Sarh"
34116,"Vista Hermosa del Guadiana","Durango","Victoria de Durango","Durango","Victoria de Durango,Vista Hermosa del Guadiana"
34119,"San Roque","Durango","Victoria de Durango","Durango","Victoria de Durango,San Roque"
34119,"Predio la Loza","Durango","Victoria de Durango","Durango","Victoria de Durango,Predio la Loza"
34120,"Benito Juárez","Durango","Victoria de Durango","Durango","Victoria de Durango,Benito Juárez"
34120,"Gustavo Díaz Ordaz","Durango","Victoria de Durango","Durango","Victoria de Durango,Gustavo Díaz Ordaz"
34120,"La Granja","Durango","Victoria de Durango","Durango","Victoria de Durango,La Granja"
34120,"Valle del Sur","Durango","Victoria de Durango","Durango","Victoria de Durango,Valle del Sur"
34120,"La Estancia","Durango","Victoria de Durango","Durango","Victoria de Durango,La Estancia"
34123,"9 de Julio","Durango","Victoria de Durango","Durango","Victoria de Durango,9 de Julio"
34123,"El Rosario","Durango","Victoria de Durango","Durango","Victoria de Durango,El Rosario"
34124,"Arco Iris","Durango","Victoria de Durango","Durango","Victoria de Durango,Arco Iris"
34124,"El Soliceño","Durango","Victoria de Durango","Durango","Victoria de Durango,El Soliceño"
34124,"Miguel González Avelar","Durango","Victoria de Durango","Durango","Victoria de Durango,Miguel González Avelar"
34124,"Balcón de Tapias","Durango","Victoria de Durango","Durango","Victoria de Durango,Balcón de Tapias"
34124,"Nuevo Amanecer","Durango","Victoria de Durango","Durango","Victoria de Durango,Nuevo Amanecer"
34124,"San Miguel","Durango","Victoria de Durango","Durango","Victoria de Durango,San Miguel"
34124,"12 de Diciembre","Durango","Victoria de Durango","Durango","Victoria de Durango,12 de Diciembre"
34124,"Puertas del Sol III","Durango","Victoria de Durango","Durango","Victoria de Durango,Puertas del Sol III"
34125,"1° de Mayo","Durango","Victoria de Durango","Durango","Victoria de Durango,1° de Mayo"
34126,"Potreros del Refugio","Durango","Victoria de Durango","Durango","Victoria de Durango,Potreros del Refugio"
34127,"CNOP","Durango","Victoria de Durango","Durango","Victoria de Durango,CNOP"
34127,"Tierra y Libertad","Durango","Victoria de Durango","Durango","Victoria de Durango,Tierra y Libertad"
34128,"Las Flores","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Flores"
34128,"Manuel Buendía","Durango","Victoria de Durango","Durango","Victoria de Durango,Manuel Buendía"
34128,"Niños Héroes de Chapultepec","Durango","Victoria de Durango","Durango","Victoria de Durango,Niños Héroes de Chapultepec"
34128,"Puerta del Sol","Durango","Victoria de Durango","Durango","Victoria de Durango,Puerta del Sol"
34128,"Puertas del Sol II","Durango","Victoria de Durango","Durango","Victoria de Durango,Puertas del Sol II"
34129,"Aztlán","Durango","Victoria de Durango","Durango","Victoria de Durango,Aztlán"
34130,"Del Valle","Durango","Victoria de Durango","Durango","Victoria de Durango,Del Valle"
34130,"Francisco Villa","Durango","Victoria de Durango","Durango","Victoria de Durango,Francisco Villa"
34130,"Insurgentes","Durango","Victoria de Durango","Durango","Victoria de Durango,Insurgentes"
34135,"Vicente Guerrero","Durango","Victoria de Durango","Durango","Victoria de Durango,Vicente Guerrero"
34136,"Ricardo Flores Magón","Durango","Victoria de Durango","Durango","Victoria de Durango,Ricardo Flores Magón"
34137,"Picachos","Durango","Victoria de Durango","Durango","Victoria de Durango,Picachos"
34137,"Veteranos de La Revolución","Durango","Victoria de Durango","Durango","Victoria de Durango,Veteranos de La Revolución"
34138,"De Analco","Durango","Victoria de Durango","Durango","Victoria de Durango,De Analco"
34138,"Hernandez","Durango","Victoria de Durango","Durango","Victoria de Durango,Hernandez"
34138,"El Milagro","Durango","Victoria de Durango","Durango","Victoria de Durango,El Milagro"
34139,"Cantarranas","Durango","Victoria de Durango","Durango","Victoria de Durango,Cantarranas"
34139,"La Esmeralda","Durango","Victoria de Durango","Durango","Victoria de Durango,La Esmeralda"
34139,"Barrio Tierra Blanca","Durango","Victoria de Durango","Durango","Victoria de Durango,Barrio Tierra Blanca"
34139,"Villa Alegre","Durango","Victoria de Durango","Durango","Victoria de Durango,Villa Alegre"
34139,"Cazarco","Durango","Victoria de Durango","Durango","Victoria de Durango,Cazarco"
34139,"El Brillante","Durango","Victoria de Durango","Durango","Victoria de Durango,El Brillante"
34139,"El Consuelo","Durango","Victoria de Durango","Durango","Victoria de Durango,El Consuelo"
34139,"Estrella","Durango","Victoria de Durango","Durango","Victoria de Durango,Estrella"
34139,"Privada Luna","Durango","Victoria de Durango","Durango","Victoria de Durango,Privada Luna"
34139,"Rinconada Badiola","Durango","Victoria de Durango","Durango","Victoria de Durango,Rinconada Badiola"
34140,"Anahuac","Durango","Victoria de Durango","Durango","Victoria de Durango,Anahuac"
34140,"División del Norte","Durango","Victoria de Durango","Durango","Victoria de Durango,División del Norte"
34140,"Lucio Cabañas","Durango","Victoria de Durango","Durango","Victoria de Durango,Lucio Cabañas"
34143,"Ampliación Tlatelolco","Durango","Victoria de Durango","Durango","Victoria de Durango,Ampliación Tlatelolco"
34143,"Bello Atardecer","Durango","Victoria de Durango","Durango","Victoria de Durango,Bello Atardecer"
34143,"San José","Durango","Victoria de Durango","Durango","Victoria de Durango,San José"
34143,"Tlatelolco","Durango","Victoria de Durango","Durango","Victoria de Durango,Tlatelolco"
34143,"Valle Municipal","Durango","Victoria de Durango","Durango","Victoria de Durango,Valle Municipal"
34144,"Las Calzadas","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Calzadas"
34144,"La Joya","Durango","Victoria de Durango","Durango","Victoria de Durango,La Joya"
34144,"Durango Nuevo 1","Durango","Victoria de Durango","Durango","Victoria de Durango,Durango Nuevo 1"
34144,"Durango Nuevo II","Durango","Victoria de Durango","Durango","Victoria de Durango,Durango Nuevo II"
34144,"El Brillante","Durango","Victoria de Durango","Durango","Victoria de Durango,El Brillante"
34144,"Villas Doradas","Durango","Victoria de Durango","Durango","Victoria de Durango,Villas Doradas"
34144,"Villa Antigua","Durango","Victoria de Durango","Durango","Victoria de Durango,Villa Antigua"
34144,"Bosques del Nayar","Durango","Victoria de Durango","Durango","Victoria de Durango,Bosques del Nayar"
34144,"Bello Amanecer","Durango","Victoria de Durango","Durango","Victoria de Durango,Bello Amanecer"
34144,"23 de Marzo","Durango","Victoria de Durango","Durango","Victoria de Durango,23 de Marzo"
34144,"Rinconada San Antonio","Durango","Victoria de Durango","Durango","Victoria de Durango,Rinconada San Antonio"
34144,"Buena Vista","Durango","Victoria de Durango","Durango","Victoria de Durango,Buena Vista"
34144,"Ampliación Nuevo Milenio","Durango","Victoria de Durango","Durango","Victoria de Durango,Ampliación Nuevo Milenio"
34144,"La Estrella","Durango","Victoria de Durango","Durango","Victoria de Durango,La Estrella"
34144,"El Lucero","Durango","Victoria de Durango","Durango","Victoria de Durango,El Lucero"
34144,"Jardines del Nayar","Durango","Victoria de Durango","Durango","Victoria de Durango,Jardines del Nayar"
34144,"Pedregal de La Nueva España","Durango","Victoria de Durango","Durango","Victoria de Durango,Pedregal de La Nueva España"
34145,"Asentamientos Humanos","Durango","Victoria de Durango","Durango","Victoria de Durango,Asentamientos Humanos"
34146,"Los Álamos","Durango","Victoria de Durango","Durango","Victoria de Durango,Los Álamos"
34147,"Arroyo Seco","Durango","Victoria de Durango","Durango","Victoria de Durango,Arroyo Seco"
34147,"Cerrada la Huerta","Durango","Victoria de Durango","Durango","Victoria de Durango,Cerrada la Huerta"
34147,"Villas del Atardecer","Durango","Victoria de Durango","Durango","Victoria de Durango,Villas del Atardecer"
34147,"Fundo Legal Arroyo Seco","Durango","Victoria de Durango","Durango","Victoria de Durango,Fundo Legal Arroyo Seco"
34147,"Las Gardenias","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Gardenias"
34147,"Manuel Gómez Morin","Durango","Victoria de Durango","Durango","Victoria de Durango,Manuel Gómez Morin"
34147,"Las Calandrias","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Calandrias"
34147,"La Huerta","Durango","Victoria de Durango","Durango","Victoria de Durango,La Huerta"
34147,"La Moderna","Durango","Victoria de Durango","Durango","Victoria de Durango,La Moderna"
34147,"Los Tulipanes I","Durango","Victoria de Durango","Durango","Victoria de Durango,Los Tulipanes I"
34147,"Gaviotas II","Durango","Victoria de Durango","Durango","Victoria de Durango,Gaviotas II"
34147,"El Durazno","Durango","Victoria de Durango","Durango","Victoria de Durango,El Durazno"
34147,"Hacienda de Tapias","Durango","Victoria de Durango","Durango","Victoria de Durango,Hacienda de Tapias"
34150,"IV Centenario","Durango","Victoria de Durango","Durango","Victoria de Durango,IV Centenario"
34150,"Chapultepec","Durango","Victoria de Durango","Durango","Victoria de Durango,Chapultepec"
34150,"Juan de La Barrera","Durango","Victoria de Durango","Durango","Victoria de Durango,Juan de La Barrera"
34150,"Silvestre Revueltas","Durango","Victoria de Durango","Durango","Victoria de Durango,Silvestre Revueltas"
34150,"Privada Paraíso","Durango","Victoria de Durango","Durango","Victoria de Durango,Privada Paraíso"
34150,"Villas Santa Teresa","Durango","Victoria de Durango","Durango","Victoria de Durango,Villas Santa Teresa"
34156,"Ocampo","Durango","Victoria de Durango","Durango","Victoria de Durango,Ocampo"
34157,"Francisco González de La Vega","Durango","Victoria de Durango","Durango","Victoria de Durango,Francisco González de La Vega"
34157,"San Diego","Durango","Victoria de Durango","Durango","Victoria de Durango,San Diego"
34158,"La Pradera","Durango","Victoria de Durango","Durango","Victoria de Durango,La Pradera"
34159,"Francisco I Madero","Durango","Victoria de Durango","Durango","Victoria de Durango,Francisco I Madero"
34160,"Azcapotzalco","Durango","Victoria de Durango","Durango","Victoria de Durango,Azcapotzalco"
34160,"El Edén","Durango","Victoria de Durango","Durango","Victoria de Durango,El Edén"
34160,"Huizache I","Durango","Victoria de Durango","Durango","Victoria de Durango,Huizache I"
34160,"Huizache II","Durango","Victoria de Durango","Durango","Victoria de Durango,Huizache II"
34160,"Villas del Edén","Durango","Victoria de Durango","Durango","Victoria de Durango,Villas del Edén"
34162,"Las Milpas","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Milpas"
34162,"Los Nogales","Durango","Victoria de Durango","Durango","Victoria de Durango,Los Nogales"
34162,"Solidaridad","Durango","Victoria de Durango","Durango","Victoria de Durango,Solidaridad"
34162,"Valle del Mezquital I","Durango","Victoria de Durango","Durango","Victoria de Durango,Valle del Mezquital I"
34162,"Nueva Providencia","Durango","Victoria de Durango","Durango","Victoria de Durango,Nueva Providencia"
34162,"Valle del Mezquital II","Durango","Victoria de Durango","Durango","Victoria de Durango,Valle del Mezquital II"
34162,"Los Pinos Residencial","Durango","Victoria de Durango","Durango","Victoria de Durango,Los Pinos Residencial"
34162,"Nuevo Durango I","Durango","Victoria de Durango","Durango","Victoria de Durango,Nuevo Durango I"
34162,"Real del Country","Durango","Victoria de Durango","Durango","Victoria de Durango,Real del Country"
34162,"Residencial Santa Teresa","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial Santa Teresa"
34162,"Margarita Maza de Juárez","Durango","Victoria de Durango","Durango","Victoria de Durango,Margarita Maza de Juárez"
34163,"Benito Juárez","Durango","Victoria de Durango","Durango","Victoria de Durango,Benito Juárez"
34164,"Nuevo Milenio","Durango","Victoria de Durango","Durango","Victoria de Durango,Nuevo Milenio"
34164,"Milenio 450 II","Durango","Victoria de Durango","Durango","Victoria de Durango,Milenio 450 II"
34164,"Cristóbal Colón","Durango","Victoria de Durango","Durango","Victoria de Durango,Cristóbal Colón"
34164,"Luz del Carmen","Durango","Victoria de Durango","Durango","Victoria de Durango,Luz del Carmen"
34164,"Alianza por Durango","Durango","Victoria de Durango","Durango","Victoria de Durango,Alianza por Durango"
34165,"Los Sauces","Durango","Victoria de Durango","Durango","Victoria de Durango,Los Sauces"
34165,"Universal","Durango","Victoria de Durango","Durango","Victoria de Durango,Universal"
34166,"Centauro del Norte","Durango","Victoria de Durango","Durango","Victoria de Durango,Centauro del Norte"
34166,"Primer Presidente","Durango","Victoria de Durango","Durango","Victoria de Durango,Primer Presidente"
34166,"SEDUE","Durango","Victoria de Durango","Durango","Victoria de Durango,SEDUE"
34166,"Valle del Guadiana","Durango","Victoria de Durango","Durango","Victoria de Durango,Valle del Guadiana"
34166,"Rinconada del Ángel","Durango","Victoria de Durango","Durango","Victoria de Durango,Rinconada del Ángel"
34166,"Las Flores III","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Flores III"
34166,"Santa Teresa","Durango","Victoria de Durango","Durango","Victoria de Durango,Santa Teresa"
34166,"Nuevo Durango II","Durango","Victoria de Durango","Durango","Victoria de Durango,Nuevo Durango II"
34166,"Nuevo Durango III","Durango","Victoria de Durango","Durango","Victoria de Durango,Nuevo Durango III"
34166,"Hacienda las Flores","Durango","Victoria de Durango","Durango","Victoria de Durango,Hacienda las Flores"
34166,"Residencial Villa Dorada","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial Villa Dorada"
34167,"Las Magdalenas","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Magdalenas"
34167,"Barcelona","Durango","Victoria de Durango","Durango","Victoria de Durango,Barcelona"
34167,"Milenio 450","Durango","Victoria de Durango","Durango","Victoria de Durango,Milenio 450"
34167,"Victoria de Durango","Durango","Victoria de Durango","Durango","Victoria de Durango,Victoria de Durango"
34167,"Galicia","Durango","Victoria de Durango","Durango","Victoria de Durango,Galicia"
34167,"Benito Juárez","Durango","Victoria de Durango","Durango","Victoria de Durango,Benito Juárez"
34167,"Jardines de Cancún","Durango","Victoria de Durango","Durango","Victoria de Durango,Jardines de Cancún"
34167,"Isabel Almanza","Durango","Victoria de Durango","Durango","Victoria de Durango,Isabel Almanza"
34167,"Don Francisco","Durango","Victoria de Durango","Durango","Victoria de Durango,Don Francisco"
