"","juegos","lugar","categoria"
"487",1078,900,"E"
"488",1489,873,"E"
"489",1636,743,"D"
"490",2552,146,"A"
"491",1510,836,"E"
"492",2434,49,"A"
"493",1890,583,"C"
"494",1525,846,"E"
"495",2340,263,"B"
"496",608,838,"E"
"497",1604,738,"D"
"498",1485,822,"E"
"499",1708,640,"D"
"500",2443,66,"A"
"501",2590,46,"A"
"502",2397,288,"B"
"503",1590,619,"D"
"504",3119,21,"A"
"505",2776,46,"A"
"506",2187,365,"B"
"507",2476,198,"A"
"508",997,978,"E"
"509",2450,68,"A"
"510",2358,383,"B"
"511",1623,625,"D"
"512",2192,321,"B"
"513",1317,961,"E"
"514",1549,921,"E"
"515",2380,346,"B"
"516",2333,227,"B"
"517",2052,528,"C"
"518",2500,21,"A"
"519",846,863,"E"
"520",2001,494,"C"
"521",2060,490,"C"
"522",1343,843,"E"
"523",1414,999,"E"
"524",1642,790,"D"
"525",1472,929,"E"
"526",1845,704,"D"
"527",1245,869,"E"
"528",1296,815,"E"
"529",2728,7,"A"
"530",2706,66,"A"
"531",1943,477,"C"
"532",1920,586,"C"
"533",2092,521,"C"
"534",1539,877,"E"
"535",2475,187,"A"
"536",2366,211,"B"
"537",2042,422,"C"
"538",1600,685,"D"
"539",1597,628,"D"
"540",2635,147,"A"
"541",1559,885,"E"
"542",1537,831,"E"
"543",2729,11,"A"
"544",2276,353,"B"
"545",1452,927,"E"
"546",2701,39,"A"
"547",781,889,"E"
"548",2564,91,"A"
"549",2021,596,"C"
"550",1539,805,"E"
"551",2146,351,"B"
"552",2135,231,"B"
"553",1918,535,"C"
"554",1467,834,"E"
"555",1644,644,"D"
"556",2702,118,"A"
"557",3378,83,"A"
"558",1840,639,"D"
"559",1323,874,"E"
"560",1681,720,"D"
"561",1630,630,"D"
"562",2404,357,"B"
"563",2539,130,"A"
"564",1519,899,"E"
"565",2377,236,"B"
"566",2354,265,"B"
"567",2195,346,"B"
"568",2686,149,"A"
"569",2529,142,"A"
"570",2588,56,"A"
"571",1944,420,"C"
"572",2246,223,"B"
"573",1856,796,"D"
"574",2733,143,"A"
"575",1938,506,"C"
"576",1752,722,"D"
"577",1062,896,"E"
"578",2724,104,"A"
"579",2340,222,"B"
"580",1592,735,"D"
"581",1935,456,"C"
"582",2498,135,"A"
"583",1149,917,"E"
"584",2011,542,"C"
"585",1801,603,"D"
"586",1776,605,"D"
"587",1921,445,"C"
"588",1605,654,"D"
"589",1707,635,"D"
"590",1962,568,"C"
"591",1723,706,"D"
"592",1927,517,"C"
"593",2450,186,"A"
"594",1895,549,"C"
"595",1713,623,"D"
"596",2600,59,"A"
"597",2179,257,"B"
"598",1785,717,"D"
"599",1592,629,"D"
"600",1123,841,"E"
"601",1608,681,"D"
"602",2544,32,"A"
"603",2206,347,"B"
"604",1718,756,"D"
"605",3219,177,"A"
"606",2457,39,"A"
"607",2089,548,"C"
"608",1519,920,"E"
"609",2427,71,"A"
"610",1584,785,"D"
"611",2064,502,"C"
"612",1838,647,"D"
"613",2830,56,"A"
"614",2371,206,"B"
"615",1689,610,"D"
"616",2548,5,"A"
"617",2391,364,"B"
"618",1162,853,"E"
"619",1808,669,"D"
"620",1465,955,"E"
"621",2243,240,"B"
"622",1267,998,"E"
"623",1731,777,"D"
"624",1707,658,"D"
"625",1828,691,"D"
"626",1056,912,"E"
"627",2056,468,"C"
"628",2249,227,"B"
"629",1368,913,"E"
"630",2305,307,"B"
"631",2360,392,"B"
"632",2133,376,"B"
"633",793,840,"E"
"634",1732,722,"D"
"635",2454,67,"A"
"636",1103,874,"E"
"637",1689,762,"D"
"638",2668,174,"A"
"639",2442,37,"A"
"640",2992,109,"A"
"641",2038,537,"C"
"642",1595,709,"D"
"643",1870,469,"C"
"644",1256,823,"E"
"645",1680,693,"D"
"646",1817,697,"D"
"647",1832,613,"D"
"648",1526,844,"E"
"649",2130,331,"B"
"650",2639,165,"A"
"651",1776,605,"D"
"652",2608,118,"A"
"653",729,954,"E"
"654",1556,937,"E"
"655",2188,301,"B"
"656",3206,43,"A"
"657",2109,504,"C"
"658",2671,85,"A"
"659",2168,229,"B"
"660",2085,437,"C"
"661",2775,106,"A"
"662",2170,241,"B"
"663",1600,623,"D"
"664",2585,11,"A"
"665",1606,728,"D"
"666",2136,304,"B"
"667",2331,378,"B"
"668",2473,96,"A"
"669",2511,184,"A"
"670",1540,942,"E"
"671",1064,851,"E"
"672",1130,924,"E"
"673",1317,815,"E"
"674",2197,279,"B"
"675",2233,285,"B"
"676",2003,470,"C"
"677",2244,379,"B"
"678",2543,65,"A"
"679",2233,302,"B"
"680",2122,387,"B"
"681",2311,215,"B"
"682",1102,945,"E"
"683",1927,431,"C"
"684",1050,827,"E"
"685",1626,648,"D"
"686",1409,856,"E"
"687",2533,132,"A"
"688",992,992,"E"
"689",1672,793,"D"
"690",2853,107,"A"
"691",1116,960,"E"
"692",1881,559,"C"
"693",1569,831,"E"
"694",2146,326,"B"
"695",2405,253,"B"
"696",1571,993,"E"
"697",2066,434,"C"
"698",1756,774,"D"
"699",2014,432,"C"
"700",1827,674,"D"
"701",2698,25,"A"
"702",1419,884,"E"
"703",2460,121,"A"
"704",2953,153,"A"
"705",1783,782,"D"
"706",1716,633,"D"
"707",1632,612,"D"
"708",2183,218,"B"
"709",1275,824,"E"
"710",1848,638,"D"
"711",2703,68,"A"
"712",2549,138,"A"
"713",1309,964,"E"
"714",1950,568,"C"
"715",2051,433,"C"
"716",1372,807,"E"
"717",1225,859,"E"
"718",925,825,"E"
"719",1320,963,"E"
"720",1740,642,"D"
"721",2378,338,"B"
"722",1602,747,"D"
"723",2526,37,"A"
"724",1359,929,"E"
"725",1839,705,"D"
"726",1306,977,"E"
"727",3146,159,"A"
"728",1475,896,"E"
"729",1441,903,"E"
"730",1413,904,"E"
"731",2006,506,"C"
"732",1324,881,"E"
"733",1771,729,"D"
"734",2019,406,"C"
"735",1763,700,"D"
"736",1899,402,"C"
"737",1193,910,"E"
"738",1974,534,"C"
"739",2331,201,"B"
"740",2931,123,"A"
"741",1889,562,"C"
"742",2904,37,"A"
"743",2115,493,"C"
"744",1825,656,"D"
"745",1866,426,"C"
"746",1666,617,"D"
"747",2092,430,"C"
"748",2129,388,"B"
"749",2137,267,"B"
"750",1570,1000,"E"
"751",1730,721,"D"
"752",2354,228,"B"
"753",2478,53,"A"
"754",2178,386,"B"
"755",1780,624,"D"
"756",2823,81,"A"
"757",2334,252,"B"
"758",2509,11,"A"
"759",1887,546,"C"
"760",1552,844,"E"
"761",1920,487,"C"
"762",2530,77,"A"
"763",1002,896,"E"
"764",2079,457,"C"
"765",1816,698,"D"
"766",2223,287,"B"
"767",1434,899,"E"
"768",1712,792,"D"
"769",2477,48,"A"
"770",2287,236,"B"
"771",1466,886,"E"
"772",2275,285,"B"
"773",2300,373,"B"
"774",1710,753,"D"
"775",2104,403,"C"
"776",2255,335,"B"
"777",1447,978,"E"
"778",1432,958,"E"
"779",1897,471,"C"
"780",1775,772,"D"
"781",2280,379,"B"
"782",2569,6,"A"
"783",2270,236,"B"
"784",1264,828,"E"
"785",2080,537,"C"
"786",2292,232,"B"
"787",2653,58,"A"
"788",2937,61,"A"
"789",1119,852,"E"
"790",934,955,"E"
"791",1636,798,"D"
"792",2981,22,"A"
"793",1624,688,"D"
"794",2893,92,"A"
"795",2866,144,"A"
"796",1798,791,"D"
"797",2198,211,"B"
"798",1836,765,"D"
"799",2556,10,"A"
"800",1662,713,"D"
"801",2428,182,"A"
"802",1631,767,"D"
"803",1258,871,"E"
"804",2428,141,"A"
"805",1244,880,"E"
"806",1449,817,"E"
"807",3086,83,"A"
"808",1032,965,"E"
"809",1020,988,"E"
"810",2412,189,"A"
"811",3283,83,"A"
"812",2859,81,"A"
"813",1276,971,"E"
"814",2074,467,"C"
"815",2339,303,"B"
"816",1308,931,"E"
"817",2121,254,"B"
"818",2095,585,"C"
"819",1515,832,"E"
"820",1715,745,"D"
"821",2168,232,"B"
"822",1929,409,"C"
"823",2399,276,"B"
"824",2357,293,"B"
"825",2480,145,"A"
"826",2223,270,"B"
"827",2003,409,"C"
"828",1523,813,"E"
"829",1675,606,"D"
"830",1818,723,"D"
"831",2592,162,"A"
"832",2928,11,"A"
"833",2577,171,"A"
"834",2283,211,"B"
"835",2903,70,"A"
"836",2664,35,"A"
"837",1588,692,"D"
"838",1571,852,"E"
"839",2079,562,"C"
"840",2553,165,"A"
"841",2124,230,"B"
"842",2394,395,"B"
"843",2022,572,"C"
"844",1786,769,"D"
"845",1735,787,"D"
"846",1529,838,"E"
"847",2068,441,"C"
"848",1568,874,"E"
"849",2488,13,"A"
"850",1970,443,"C"
"851",1837,693,"D"
"852",1872,489,"C"
"853",1862,679,"D"
"854",2681,184,"A"
"855",2280,371,"B"
"856",2838,128,"A"
"857",1949,505,"C"
"858",1866,461,"C"
"859",1176,970,"E"
"860",1797,786,"D"
"861",1958,492,"C"
"862",1732,751,"D"
"863",1763,707,"D"
"864",1395,942,"E"
"865",2110,571,"C"
"866",2126,327,"B"
"867",2258,378,"B"
"868",3052,181,"A"
"869",1223,980,"E"
"870",714,845,"E"
"871",1653,648,"D"
"872",2004,465,"C"
"873",2237,270,"B"
"874",1880,581,"C"
"875",2428,139,"A"
"876",1309,961,"E"
"877",1114,901,"E"
"878",2165,356,"B"
"879",2528,11,"A"
"880",1276,806,"E"
"881",1490,982,"E"
"882",1733,747,"D"
"883",1546,867,"E"
"884",1557,841,"E"
"885",1919,565,"C"
"886",1150,993,"E"
"887",984,988,"E"
"888",1462,996,"E"
"889",1009,998,"E"
"890",2170,258,"B"
"891",1989,540,"C"
"892",1351,916,"E"
"893",2115,458,"C"
"894",1867,423,"C"
"895",3298,94,"A"
"896",2285,390,"B"
"897",911,856,"E"
"898",1832,655,"D"
"899",2153,321,"B"
"900",2495,90,"A"
"901",2710,114,"A"
"902",1348,823,"E"
"903",2030,458,"C"
"904",1347,896,"E"
"905",2162,322,"B"
"906",2058,569,"C"
"907",2631,185,"A"
"908",1096,943,"E"
"909",1832,747,"D"
"910",1393,802,"E"
"911",2645,62,"A"
"912",2450,21,"A"
"913",2052,544,"C"
"914",1977,530,"C"
"915",2801,30,"A"
"916",1269,986,"E"
"917",2190,377,"B"
"918",1523,836,"E"
"919",1474,811,"E"
"920",2051,439,"C"
"921",1463,825,"E"
"922",2756,107,"A"
"923",1636,610,"D"
"924",1122,828,"E"
"925",2024,563,"C"
"926",1879,567,"C"
"927",1547,816,"E"
"928",2302,375,"B"
"929",1970,576,"C"
"930",1664,711,"D"
"931",2645,27,"A"
"932",2142,251,"B"
"933",1842,730,"D"
"934",2638,114,"A"
"935",2681,77,"A"
"936",1888,550,"C"
"937",2294,262,"B"
"938",2166,229,"B"
"939",2294,386,"B"
"940",1564,862,"E"
"941",2148,372,"B"
"942",1795,645,"D"
"943",2448,43,"A"
"944",1819,760,"D"
"945",2468,67,"A"
"946",2100,576,"C"
"947",1285,828,"E"
"948",1520,820,"E"
"949",2032,582,"C"
"950",1974,415,"C"
"951",2342,291,"B"
"952",2184,250,"B"
"953",2628,105,"A"
"954",1788,660,"D"
"955",1487,977,"E"
"956",1826,642,"D"
"957",2269,277,"B"
"958",2219,344,"B"
"959",2059,444,"C"
"960",2095,535,"C"
"961",2324,241,"B"
"962",1629,654,"D"
"963",1694,779,"D"
"964",1891,549,"C"
"965",2409,395,"B"
"966",1951,462,"C"
"967",1657,692,"D"
"968",3572,160,"A"
"969",1289,939,"E"
"970",1944,562,"C"
"971",2354,289,"B"
"972",1781,613,"D"
"973",2933,176,"A"
"974",1967,583,"C"
"975",2073,530,"C"
"976",1633,682,"D"
"977",2881,167,"A"
"978",1300,860,"E"
"979",1759,745,"D"
"980",1853,694,"D"
"981",2169,307,"B"
"982",1845,733,"D"
"983",2673,41,"A"
"984",1545,1000,"E"
"985",1773,637,"D"
"986",1738,671,"D"
"987",1936,475,"C"
"988",1667,790,"D"
"989",2571,36,"A"
"990",2219,364,"B"
"991",1764,783,"D"
"992",1297,866,"E"
"993",1229,809,"E"
"994",1207,858,"E"
"995",2722,22,"A"
"996",1453,858,"E"
"997",3251,138,"A"
"998",1762,799,"D"
"999",1873,548,"C"
"1000",1723,650,"D"
"1001",1866,597,"C"
"1002",1941,581,"C"
"1003",2033,456,"C"
"1004",2645,98,"A"
"1005",1774,658,"D"
"1006",2979,26,"A"
"1007",2426,160,"A"
"1008",2883,29,"A"
"1009",2320,231,"B"
"1010",2353,261,"B"
"1011",1665,736,"D"
"1012",1592,649,"D"
"1013",1606,732,"D"
"1014",2513,86,"A"
"1015",1729,733,"D"
"1016",1743,761,"D"
"1017",1739,761,"D"
"1018",2218,317,"B"
"1019",2292,355,"B"
"1020",885,870,"E"
"1021",1406,839,"E"
"1022",1952,514,"C"
"1023",2737,54,"A"
"1024",2390,384,"B"
"1025",2395,290,"B"
"1026",1671,669,"D"
"1027",1065,960,"E"
"1028",2118,298,"B"
"1029",1498,849,"E"
"1030",2839,56,"A"
"1031",1743,659,"D"
"1032",1738,747,"D"
"1033",1918,466,"C"
"1034",2214,356,"B"
"1035",1259,927,"E"
"1036",2011,438,"C"
"1037",1451,971,"E"
"1038",1074,858,"E"
"1039",2496,178,"A"
"1040",1473,847,"E"
"1041",2407,206,"B"
"1042",1977,548,"C"
"1043",1720,652,"D"
"1044",1311,879,"E"
"1045",1420,969,"E"
"1046",1630,602,"D"
"1047",2597,9,"A"
"1048",2144,383,"B"
"1049",2111,570,"C"
"1050",1739,783,"D"
"1051",2395,239,"B"
"1052",1870,515,"C"
"1053",2003,539,"C"
"1054",2082,538,"C"
"1055",1928,439,"C"
"1056",2437,15,"A"
"1057",1014,882,"E"
"1058",2169,363,"B"
"1059",1318,880,"E"
"1060",3094,101,"A"
"1061",1507,815,"E"
"1062",1721,676,"D"
"1063",2274,245,"B"
"1064",2746,158,"A"
"1065",2407,386,"B"
"1066",2506,50,"A"
"1067",2849,199,"A"
"1068",2592,36,"A"
"1069",1483,897,"E"
"1070",2730,72,"A"
"1071",2246,297,"B"
"1072",1882,551,"C"
"1073",1769,752,"D"
"1074",1855,696,"D"
"1075",1921,429,"C"
"1076",1443,918,"E"
"1077",1295,901,"E"
"1078",2177,353,"B"
"1079",2023,421,"C"
"1080",1891,471,"C"
"1081",2052,600,"C"
"1082",796,845,"E"
"1083",2384,261,"B"
"1084",1937,503,"C"
"1085",1798,732,"D"
"1086",1762,754,"D"
"1087",1954,587,"C"
"1088",2755,15,"A"
"1089",1430,810,"E"
"1090",1613,665,"D"
"1091",2408,233,"B"
"1092",1130,962,"E"
"1093",1833,793,"D"
"1094",1373,856,"E"
"1095",2163,221,"B"
"1096",1205,825,"E"
"1097",2457,126,"A"
"1098",1846,643,"D"
"1099",1195,919,"E"
"1100",2506,61,"A"
"1101",2769,22,"A"
"1102",1880,471,"C"
"1103",1191,993,"E"
"1104",2478,48,"A"
"1105",1292,821,"E"
"1106",1909,432,"C"
"1107",1376,970,"E"
"1108",2132,304,"B"
"1109",2271,371,"B"
"1110",1743,639,"D"
"1111",2045,536,"C"
"1112",2003,409,"C"
"1113",1034,909,"E"
"1114",2636,61,"A"
"1115",1496,895,"E"
"1116",2411,54,"A"
"1117",1614,663,"D"
"1118",2483,12,"A"
"1119",1472,891,"E"
"1120",1746,653,"D"
"1121",1553,878,"E"
"1122",1548,804,"E"
"1123",1464,878,"E"
"1124",1510,804,"E"
"1125",2427,157,"A"
"1126",1387,823,"E"
"1127",2294,313,"B"
"1128",1627,769,"D"
"1129",2308,392,"B"
"1130",1546,829,"E"
"1131",2993,144,"A"
"1132",2370,250,"B"
"1133",1603,644,"D"
"1134",2347,210,"B"
"1135",2113,594,"C"
"1136",2446,107,"A"
"1137",1221,834,"E"
"1138",2861,59,"A"
"1139",1813,701,"D"
"1140",2627,81,"A"
"1141",2669,73,"A"
"1142",2240,256,"B"
"1143",2592,95,"A"
"1144",1352,808,"E"
"1145",2010,486,"C"
"1146",1723,737,"D"
"1147",2274,274,"B"
"1148",2267,386,"B"
"1149",1955,516,"C"
"1150",1883,592,"C"
"1151",2724,186,"A"
"1152",2432,80,"A"
