"","matricula","carrera","genero","promedio","edad","peso","altura"
"59",59,"MECANICA","F",87.97,22,57.53,157.53
"60",60,"ELECTRONICA","M",85.53,21,79.66,179.66
"61",61,"TIC","F",94.32,23,60.11,160.11
"62",62,"CIVIL","M",85.86,21,80.98,180.98
"63",63,"ELECTRONICA","M",88.39,22,80.57,180.57
"64",64,"ELECTRICA","M",86.1,21,76.65,176.65
"65",65,"MECANICA","F",83.43,20,57.82,157.82
"66",66,"CIVIL","M",86.65,21,78.22,178.22
"67",67,"INDUSTRIAL","M",79.75,19,75.94,175.94
"68",68,"MECATRONICA","F",91.08,22,64.44,164.44
"69",69,"ADMINISTRACION","M",86.53,21,80.23,180.23
"70",70,"TIC","F",93.53,23,59.1,159.1
"71",71,"ELECTRICA","M",87.65,21,79.38,179.38
"72",72,"SISTEMAS","F",83.54,20,59.12,159.12
"73",73,"ELECTRICA","M",88.12,22,79.71,179.71
"74",74,"ELECTRICA","M",82.76,20,79.39,179.39
"75",75,"INDUSTRIAL","M",81.66,20,78,178
"76",76,"TIC","F",87.01,21,59.17,159.17
"77",77,"TIC","F",84.46,21,58.36,158.36
"78",78,"ELECTRONICA","M",86,21,77.43,177.43
"79",79,"SISTEMAS","F",86.26,21,61.31,161.31
"80",80,"QUIMICA","F",83.96,20,58.81,158.81
"81",81,"ELECTRONICA","M",84.03,20,84.65,184.65
"82",82,"MECATRONICA","F",85.53,21,60.28,160.28
"83",83,"ELECTRONICA","M",90.08,22,82.78,182.78
"84",84,"ELECTRICA","M",80.72,19,78.49,178.49
"85",85,"MECATRONICA","F",88.06,22,54.98,154.98
"86",86,"BIOQUIMICA","M",87.15,21,80.05,180.05
"87",87,"MECATRONICA","F",89.68,22,62.53,162.53
"88",88,"ADMINISTRACION","M",84.95,21,79.76,179.76
"89",89,"CIVIL","M",87.28,21,78.6,178.6
"90",90,"ADMINISTRACION","M",86.93,21,80.82,180.82
"91",91,"CIVIL","M",84.12,20,80.04,180.04
"92",92,"ARQUITECTURA","M",90.18,22,76.95,176.95
"93",93,"MECANICA","F",90.02,22,63.71,163.71
"94",94,"TIC","F",88.43,22,59.5,159.5
"95",95,"SISTEMAS","F",91.5,23,56.6,156.6
"96",96,"SISTEMAS","F",87.93,22,57.01,157.01
"97",97,"ELECTRONICA","M",81.58,20,81.67,181.67
"98",98,"ELECTRONICA","M",84.01,20,84.41,184.41
"99",99,"SISTEMAS","F",81.76,20,62.52,162.52
"100",100,"INFORMATICA","F",84.36,21,59.97,159.97
"101",101,"MECANICA","F",83.85,20,62.1,162.1
"102",102,"ELECTRICA","M",86.15,21,82.49,182.49
"103",103,"CIVIL","M",82.84,20,80.27,180.27
"104",104,"QUIMICA","F",86.55,21,60.07,160.07
"105",105,"MECANICA","F",83.73,20,63.47,163.47
"106",106,"BIOQUIMICA","M",92.12,23,72.4,172.4
"107",107,"ADMINISTRACION","M",88.48,22,80.53,180.53
"108",108,"INDUSTRIAL","M",89.15,22,78.73,178.73
"109",109,"QUIMICA","F",87.33,21,56.1,156.1
"110",110,"INFORMATICA","F",91.83,23,58.45,158.45
"111",111,"QUIMICA","F",83.8,20,59.69,159.69
"112",112,"MECATRONICA","F",84.4,21,58.98,158.98
"113",113,"ELECTRICA","M",90.96,22,83.11,183.11
"114",114,"ELECTRONICA","M",83.75,20,82.17,182.17
"115",115,"ADMINISTRACION","M",85.28,21,76.49,176.49
"116",116,"ARQUITECTURA","M",84.64,21,81.71,181.71
"117",117,"MECATRONICA","F",84.89,21,61.74,161.74
"118",118,"ADMINISTRACION","M",85.03,21,76.23,176.23
"119",119,"ELECTRONICA","M",87.71,21,79.22,179.22
"120",120,"MECANICA","F",85.39,21,63.7,163.7
"121",121,"QUIMICA","F",84.25,20,61.12,161.12
"122",122,"INDUSTRIAL","M",90.65,22,82.88,182.88
"123",123,"INDUSTRIAL","M",85.26,21,85.55,185.55
"124",124,"BIOQUIMICA","M",85.38,21,80.4,180.4
"125",125,"MECATRONICA","F",85.65,21,60.59,160.59
"126",126,"ELECTRONICA","M",88.47,22,83.42,183.42
"127",127,"INDUSTRIAL","F",85.75,21,60.02,160.02
"128",128,"BIOQUIMICA","M",85.87,21,81.22,181.22
"129",129,"BIOQUIMICA","M",83.64,20,78.31,178.31
"130",130,"INFORMATICA","F",84.88,21,58.16,158.16
"131",131,"INFORMATICA","F",86.21,21,59.9,159.9
"132",132,"ADMINISTRACION","M",83.96,20,78.22,178.22
"133",133,"ARQUITECTURA","M",87.84,22,82.49,182.49
"134",134,"MECANICA","F",80.74,19,58.55,158.55
"135",135,"QUIMICA","F",87.06,21,58.26,158.26
"136",136,"INFORMATICA","F",80.68,19,57.98,157.98
"137",137,"INFORMATICA","F",84.96,21,62.52,162.52
"138",138,"INDUSTRIAL","F",84.17,20,59.14,159.14
"139",139,"QUIMICA","F",83.74,20,58.67,158.67
"140",140,"INDUSTRIAL","F",85.8,21,59.72,159.72
"141",141,"MECANICA","F",79.37,19,58.92,158.92
"142",142,"INFORMATICA","F",90.08,22,63.74,163.74
"143",143,"CIVIL","M",80.23,19,82.17,182.17
"144",144,"CIVIL","M",84.39,21,77.7,177.7
"145",145,"MECATRONICA","F",82.13,20,60.68,160.68
"146",146,"ELECTRONICA","M",83.4,20,80.81,180.81
"147",147,"BIOQUIMICA","M",93.23,23,83.56,183.56
"148",148,"MECATRONICA","F",86.06,21,59.31,159.31
"149",149,"ADMINISTRACION","M",81.54,20,82.61,182.61
"150",150,"TIC","F",80.32,19,62.63,162.63
"151",151,"INFORMATICA","F",87.56,21,64.42,164.42
"152",152,"INFORMATICA","F",85.94,21,59.92,159.92
"153",153,"ELECTRICA","M",84.9,21,80.23,180.23
"154",154,"ELECTRONICA","M",82.78,20,83.9,183.9
"155",155,"INDUSTRIAL","F",80.85,20,60.64,160.64
"156",156,"BIOQUIMICA","M",82.28,20,80.68,180.68
"157",157,"INDUSTRIAL","F",89.46,22,63.08,163.08
"158",158,"ARQUITECTURA","M",83.85,20,82.8,182.8
"159",159,"CIVIL","M",81.2,20,80.06,180.06
"160",160,"BIOQUIMICA","M",92.48,23,74.83,174.83
"161",161,"CIVIL","M",87.47,21,79.68,179.68
"162",162,"TIC","F",85.17,21,62.53,162.53
"163",163,"ELECTRONICA","M",89.67,22,78.38,178.38
"164",164,"SISTEMAS","F",89.07,22,54.84,154.84
"165",165,"TIC","F",83.85,20,60.61,160.61
"166",166,"ELECTRONICA","M",93.64,23,78.03,178.03
"167",167,"ARQUITECTURA","M",85.12,21,79.65,179.65
"168",168,"ELECTRICA","M",81.07,20,79.64,179.64
"169",169,"MECATRONICA","F",85.5,21,57.35,157.35
"170",170,"ELECTRICA","M",86.72,21,79.44,179.44
"171",171,"MECANICA","F",94,23,58.83,158.83
"172",172,"SISTEMAS","F",86.37,21,59.51,159.51
"173",173,"TIC","F",87.58,21,58.76,158.76
"174",174,"ELECTRONICA","M",85.73,21,78.61,178.61
"175",175,"ELECTRICA","M",84.84,21,78.21,178.21
"176",176,"TIC","F",85.88,21,64.06,164.06
"177",177,"MECANICA","F",88.73,22,61.34,161.34
"178",178,"MECATRONICA","F",93.19,23,60.68,160.68
"179",179,"INFORMATICA","F",89.56,22,63.84,163.84
"180",180,"TIC","F",90.18,22,58,158
"181",181,"CIVIL","M",81.73,20,81.81,181.81
"182",182,"BIOQUIMICA","M",89.41,22,76.8,176.8
"183",183,"TIC","F",86.76,21,58.92,158.92
"184",184,"INDUSTRIAL","F",80.92,20,61.14,161.14
"185",185,"TIC","F",87.8,22,58.75,158.75
"186",186,"BIOQUIMICA","M",85.45,21,78.47,178.47
"187",187,"MECATRONICA","F",91.07,22,63.29,163.29
"188",188,"MECATRONICA","F",83.35,20,63.56,163.56
"189",189,"QUIMICA","F",84.51,21,58.37,158.37
"190",190,"INFORMATICA","F",82.79,20,59.91,159.91
"191",191,"MECATRONICA","F",85.39,21,62.22,162.22
"192",192,"ELECTRONICA","M",87.39,21,74.1,174.1
"193",193,"ADMINISTRACION","M",83.47,20,78.62,178.62
"194",194,"QUIMICA","F",88.88,22,62.09,162.09
"195",195,"CIVIL","M",81.82,20,81.21,181.21
"196",196,"INFORMATICA","F",82.37,20,59.33,159.33
"197",197,"ADMINISTRACION","M",90.99,22,76.82,176.82
"198",198,"SISTEMAS","F",82.48,20,61.81,161.81
"199",199,"ELECTRICA","M",87.43,21,84.62,184.62
"200",200,"SISTEMAS","F",84.68,21,55.1,155.1
"201",201,"CIVIL","M",87.42,21,78.72,178.72
"202",202,"BIOQUIMICA","M",91.85,23,86.14,186.14
"203",203,"INDUSTRIAL","F",91.5,23,61.08,161.08
"204",204,"CIVIL","M",84.85,21,79.36,179.36
"205",205,"BIOQUIMICA","M",78.08,19,76.3,176.3
"206",206,"INDUSTRIAL","F",94.65,23,59.17,159.17
"207",207,"INFORMATICA","F",88.31,22,61.7,161.7
"208",208,"ADMINISTRACION","M",87.88,22,80.63,180.63
"209",209,"CIVIL","M",85.95,21,78.56,178.56
"210",210,"MECATRONICA","F",87.77,22,57.94,157.94
"211",211,"QUIMICA","F",85.43,21,59.76,159.76
"212",212,"ADMINISTRACION","M",87.46,21,76.19,176.19
"213",213,"MECATRONICA","F",84.61,21,65.98,165.98
"214",214,"QUIMICA","F",81.25,20,63.52,163.52
"215",215,"SISTEMAS","F",89.42,22,61.52,161.52
"216",216,"ELECTRICA","M",91.26,23,80.37,180.37
"217",217,"MECANICA","F",84.93,21,58.96,158.96
"218",218,"QUIMICA","F",81.66,20,64.13,164.13
"219",219,"QUIMICA","F",88.22,22,57.11,157.11
"220",220,"ELECTRICA","M",85.85,21,83.04,183.04
"221",221,"CIVIL","M",80,19,80.74,180.74
"222",222,"BIOQUIMICA","M",86.01,21,82.73,182.73
"223",223,"ELECTRICA","M",83.82,20,84.46,184.46
"224",224,"INDUSTRIAL","F",84.82,21,59.97,159.97
"225",225,"QUIMICA","F",81.99,20,60.45,160.45
"226",226,"INDUSTRIAL","F",92.25,23,53.77,153.77
"227",227,"CIVIL","M",84.85,21,79.5,179.5
"228",228,"ARQUITECTURA","M",80.44,19,82.63,182.63
"229",229,"ELECTRONICA","M",86.68,21,86.92,186.92
"230",230,"TIC","F",86.91,21,57.44,157.44
"231",231,"ELECTRICA","M",82.58,20,80.73,180.73
"232",232,"ADMINISTRACION","M",75.99,18,80.07,180.07
"233",233,"ELECTRICA","M",83.78,20,84.36,184.36
"234",234,"MECANICA","F",87.98,22,59.45,159.45
"235",235,"ELECTRONICA","M",85.79,21,79.98,179.98
"236",236,"MECANICA","F",85.66,21,57.85,157.85
"237",237,"MECANICA","F",87.94,22,59.96,159.96
"238",238,"INFORMATICA","F",81.89,20,57.41,157.41
"239",239,"ELECTRONICA","M",89.8,22,79.5,179.5
"240",240,"ELECTRONICA","M",85.98,21,78.1,178.1
"241",241,"CIVIL","M",88.45,22,79.48,179.48
"242",242,"INFORMATICA","F",89.58,22,58.47,158.47
"243",243,"TIC","F",86.77,21,63.72,163.72
"244",244,"ADMINISTRACION","M",82.96,20,78.19,178.19
"245",245,"ELECTRONICA","M",90.03,22,79.89,179.89
"246",246,"BIOQUIMICA","M",79.07,19,78.74,178.74
"247",247,"ELECTRONICA","M",84.11,20,82.26,182.26
"248",248,"ADMINISTRACION","M",85.11,21,84.01,184.01
"249",249,"ELECTRONICA","M",85.42,21,78.87,178.87
"250",250,"QUIMICA","F",89.53,22,57.71,157.71
"251",251,"MECATRONICA","F",86.47,21,60.92,160.92
"252",252,"QUIMICA","F",87.41,21,61.18,161.18
"253",253,"INDUSTRIAL","M",85.76,21,78.85,178.85
"254",254,"INFORMATICA","F",85.14,21,61.52,161.52
"255",255,"INDUSTRIAL","M",88.41,22,80.64,180.64
"256",256,"ADMINISTRACION","M",89.97,22,75.94,175.94
"257",257,"CIVIL","M",77.68,19,81.93,181.93
"258",258,"INDUSTRIAL","M",87.98,22,76.22,176.22
"259",259,"ELECTRICA","M",87.3,21,84.18,184.18
"260",260,"QUIMICA","F",84.53,21,60.84,160.84
"261",261,"INDUSTRIAL","F",89.29,22,63.66,163.66
"262",262,"ELECTRICA","M",84.65,21,79.7,179.7
"263",263,"CIVIL","M",85.02,21,75.07,175.07
"264",264,"SISTEMAS","F",88.97,22,56.89,156.89
"265",265,"MECATRONICA","F",91.96,23,62.88,162.88
"266",266,"BIOQUIMICA","M",86.94,21,78.08,178.08
"267",267,"ARQUITECTURA","M",84.54,21,76.9,176.9
"268",268,"MECATRONICA","F",81.88,20,60.68,160.68
"269",269,"MECANICA","F",84.85,21,59.43,159.43
"270",270,"BIOQUIMICA","M",82.74,20,76.62,176.62
"271",271,"ARQUITECTURA","M",85.1,21,72,172
"272",272,"ADMINISTRACION","M",87.37,21,78.57,178.57
"273",273,"ELECTRICA","M",83.05,20,81.12,181.12
"274",274,"BIOQUIMICA","M",95.18,24,78.9,178.9
"275",275,"CIVIL","M",86.54,21,79.54,179.54
"276",276,"BIOQUIMICA","M",89.92,22,78.57,178.57
"277",277,"CIVIL","M",78.07,19,80.74,180.74
"278",278,"BIOQUIMICA","M",88.57,22,82.22,182.22
"279",279,"INDUSTRIAL","M",81.44,20,84.2,184.2
"280",280,"SISTEMAS","F",89.19,22,56.48,156.48
"281",281,"ARQUITECTURA","M",87.38,21,80.69,180.69
"282",282,"INDUSTRIAL","F",84.59,21,59.43,159.43
"283",283,"TIC","F",90.59,22,62.35,162.35
"284",284,"ELECTRICA","M",83.57,20,87.03,187.03
"285",285,"ARQUITECTURA","M",83.99,20,79.98,179.98
"286",286,"ADMINISTRACION","M",82.53,20,81.36,181.36
"287",287,"ELECTRICA","M",83.69,20,83.34,183.34
"288",288,"BIOQUIMICA","M",89.27,22,84.81,184.81
"289",289,"ADMINISTRACION","M",87.5,21,83.79,183.79
"290",290,"BIOQUIMICA","M",89.48,22,73.49,173.49
"291",291,"BIOQUIMICA","M",84.65,21,76.34,176.34
"292",292,"ADMINISTRACION","M",87.3,21,79.04,179.04
"293",293,"QUIMICA","F",86.85,21,64.25,164.25
"294",294,"ELECTRICA","M",81.06,20,80.45,180.45
"295",295,"INDUSTRIAL","F",92.16,23,60.21,160.21
"296",296,"MECANICA","F",86.47,21,60.22,160.22
"297",297,"ADMINISTRACION","M",88.65,22,81.88,181.88
"298",298,"ADMINISTRACION","M",89.31,22,84.03,184.03
"299",299,"ARQUITECTURA","M",85.82,21,83.18,183.18
"300",300,"QUIMICA","F",84.94,21,54.72,154.72
"301",301,"MECANICA","F",89.1,22,55.3,155.3
"302",302,"ADMINISTRACION","M",82.37,20,79.73,179.73
"303",303,"INDUSTRIAL","M",92.83,23,82.39,182.39
"304",304,"INDUSTRIAL","M",84.67,21,75,175
"305",305,"ELECTRICA","M",91.73,23,82.24,182.24
"306",306,"QUIMICA","F",91.24,23,57.66,157.66
"307",307,"BIOQUIMICA","M",86.29,21,80.82,180.82
"308",308,"SISTEMAS","F",87.96,22,60,160
"309",309,"ARQUITECTURA","M",82.45,20,76.28,176.28
"310",310,"ELECTRONICA","M",87.12,21,85.52,185.52
"311",311,"ADMINISTRACION","M",89.62,22,82.27,182.27
"312",312,"BIOQUIMICA","M",86.34,21,89.05,189.05
"313",313,"SISTEMAS","F",84.43,21,61.61,161.61
"314",314,"MECATRONICA","F",83.73,20,59.26,159.26
"315",315,"CIVIL","M",85.88,21,79.59,179.59
"316",316,"INDUSTRIAL","M",89.7,22,78.27,178.27
"317",317,"ADMINISTRACION","M",84.32,21,75.95,175.95
"318",318,"ELECTRICA","M",85.58,21,73.14,173.14
"319",319,"QUIMICA","F",81.52,20,60,160
"320",320,"MECANICA","F",87.71,21,63.45,163.45
"321",321,"MECANICA","F",90.53,22,60.87,160.87
"322",322,"ELECTRICA","M",91.19,22,79,179
"323",323,"ELECTRONICA","M",88.82,22,82.5,182.5
"324",324,"QUIMICA","F",79.52,19,60.42,160.42
"325",325,"TIC","F",87.67,21,61.31,161.31
"326",326,"QUIMICA","F",87.58,21,61.15,161.15
"327",327,"SISTEMAS","F",84.78,21,59.62,159.62
"328",328,"SISTEMAS","F",86.59,21,62.33,162.33
"329",329,"CIVIL","M",83.01,20,81.02,181.02
"330",330,"MECATRONICA","F",88.35,22,56.52,156.52
"331",331,"QUIMICA","F",84.87,21,61.4,161.4
"332",332,"CIVIL","M",80.56,19,86.24,186.24
"333",333,"ELECTRONICA","M",84.73,21,80.96,180.96
"334",334,"SISTEMAS","F",90.73,22,64.45,164.45
"335",335,"ADMINISTRACION","M",84.84,21,81.52,181.52
"336",336,"ELECTRICA","M",88.54,22,81.72,181.72
"337",337,"ELECTRONICA","M",89.28,22,79.26,179.26
"338",338,"BIOQUIMICA","M",86.02,21,73.5,173.5
"339",339,"INFORMATICA","F",84.78,21,57.43,157.43
"340",340,"QUIMICA","F",84.17,20,59.6,159.6
"341",341,"QUIMICA","F",88.56,22,57.54,157.54
"342",342,"BIOQUIMICA","M",82.32,20,75.04,175.04
"343",343,"INFORMATICA","F",86.85,21,59.89,159.89
"344",344,"ELECTRICA","M",85,21,78.11,178.11
"345",345,"MECANICA","F",78.15,19,65.41,165.41
"346",346,"CIVIL","M",81.12,20,80.35,180.35
"347",347,"INDUSTRIAL","M",89.17,22,81.42,181.42
"348",348,"BIOQUIMICA","M",85.34,21,81.55,181.55
"349",349,"ELECTRICA","M",88.78,22,80.16,180.16
"350",350,"MECATRONICA","F",92.54,23,61.46,161.46
"351",351,"INDUSTRIAL","M",91.11,22,81.68,181.68
"352",352,"ARQUITECTURA","M",88.35,22,82.44,182.44
"353",353,"SISTEMAS","F",87.32,21,62.22,162.22
"354",354,"ELECTRONICA","M",85.33,21,83.3,183.3
"355",355,"QUIMICA","F",91.47,23,60.13,160.13
"356",356,"CIVIL","M",88.07,22,76.01,176.01
"357",357,"TIC","F",81.93,20,54.07,154.07
"358",358,"ADMINISTRACION","M",85.46,21,78.58,178.58
"359",359,"TIC","F",79.35,19,56.61,156.61
"360",360,"INDUSTRIAL","M",85.32,21,78.99,178.99
"361",361,"ADMINISTRACION","M",77.02,18,79.23,179.23
"362",362,"ELECTRICA","M",90.55,22,80.93,180.93
"363",363,"SISTEMAS","F",83.8,20,63.74,163.74
"364",364,"CIVIL","M",84.51,21,85.37,185.37
"365",365,"INFORMATICA","F",85.41,21,62.05,162.05
"366",366,"SISTEMAS","F",88.12,22,60.52,160.52
"367",367,"ARQUITECTURA","M",88.35,22,81.34,181.34
"368",368,"MECATRONICA","F",87.97,22,59.89,159.89
"369",369,"MECATRONICA","F",84.02,20,56.44,156.44
"370",370,"INDUSTRIAL","M",81.28,20,86.16,186.16
"371",371,"ELECTRONICA","M",84.65,21,83.75,183.75
"372",372,"INFORMATICA","F",86.96,21,62.63,162.63
"373",373,"QUIMICA","F",83.15,20,58.87,158.87
"374",374,"BIOQUIMICA","M",85.76,21,81.83,181.83
"375",375,"BIOQUIMICA","M",81.96,20,81.56,181.56
"376",376,"ELECTRONICA","M",85.97,21,75.04,175.04
"377",377,"ELECTRICA","M",86.45,21,79.47,179.47
"378",378,"TIC","F",85.49,21,60.84,160.84
"379",379,"BIOQUIMICA","M",85.43,21,81.27,181.27
"380",380,"INDUSTRIAL","M",92.11,23,78.02,178.02
"381",381,"ELECTRONICA","M",88.64,22,85.95,185.95
"382",382,"INFORMATICA","F",89.85,22,64.15,164.15
"383",383,"MECANICA","F",82.8,20,61.56,161.56
"384",384,"QUIMICA","F",86.57,21,58.56,158.56
"385",385,"CIVIL","M",90,22,77.04,177.04
"386",386,"CIVIL","M",85.8,21,75.89,175.89
"387",387,"SISTEMAS","F",78.62,19,58.54,158.54
"388",388,"SISTEMAS","F",87.19,21,55.89,155.89
"389",389,"ADMINISTRACION","M",79.4,19,81.57,181.57
"390",390,"QUIMICA","F",83.19,20,56.73,156.73
"391",391,"ADMINISTRACION","M",90.59,22,76.21,176.21
"392",392,"ADMINISTRACION","M",88.13,22,82.15,182.15
"393",393,"QUIMICA","F",89.78,22,60.91,160.91
"394",394,"INDUSTRIAL","F",87.06,21,62.55,162.55
"395",395,"BIOQUIMICA","M",85.62,21,81.59,181.59
"396",396,"ELECTRICA","M",82.8,20,79.79,179.79
"397",397,"MECANICA","F",91.52,23,60.98,160.98
"398",398,"ELECTRICA","M",86.16,21,75.19,175.19
"399",399,"ELECTRICA","M",83.52,20,80.35,180.35
"400",400,"ADMINISTRACION","M",89,22,80.6,180.6
"401",401,"MECANICA","F",89.72,22,61.75,161.75
"402",402,"BIOQUIMICA","M",92.57,23,79.85,179.85
"403",403,"QUIMICA","F",83.91,20,60.21,160.21
"404",404,"TIC","F",84.65,21,57.01,157.01
"405",405,"QUIMICA","F",84.56,21,61.23,161.23
"406",406,"MECATRONICA","F",84.7,21,55.74,155.74
"407",407,"ELECTRICA","M",84.73,21,80.65,180.65
"408",408,"SISTEMAS","F",84.98,21,60.91,160.91
"409",409,"ARQUITECTURA","M",90.99,22,84.51,184.51
"410",410,"QUIMICA","F",83.58,20,62.07,162.07
"411",411,"QUIMICA","F",84.66,21,62.29,162.29
"412",412,"ELECTRICA","M",88.26,22,74.31,174.31
"413",413,"MECATRONICA","F",89.9,22,63.58,163.58
"414",414,"SISTEMAS","F",83.33,20,59.03,159.03
"415",415,"MECATRONICA","F",84.24,20,65.92,165.92
"416",416,"INDUSTRIAL","M",87.81,22,77.87,177.87
"417",417,"INDUSTRIAL","M",89.53,22,76.27,176.27
"418",418,"ELECTRICA","M",85.13,21,82.26,182.26
"419",419,"MECATRONICA","F",81.05,20,59.97,159.97
"420",420,"SISTEMAS","F",91.92,23,62.82,162.82
"421",421,"ELECTRONICA","M",90.97,22,78.49,178.49
"422",422,"INDUSTRIAL","F",83.54,20,57.89,157.89
"423",423,"MECANICA","F",85.77,21,61.7,161.7
"424",424,"ADMINISTRACION","M",79.91,19,79.21,179.21
"425",425,"ELECTRICA","M",87.97,22,83.41,183.41
"426",426,"ELECTRONICA","M",91.59,23,82.03,182.03
"427",427,"ADMINISTRACION","M",80.33,19,79.28,179.28
"428",428,"QUIMICA","F",83.3,20,60.39,160.39
"429",429,"SISTEMAS","F",83.78,20,60.82,160.82
"430",430,"TIC","F",83.64,20,57.39,157.39
"431",431,"QUIMICA","F",78.96,19,58.7,158.7
"432",432,"ARQUITECTURA","M",87.74,22,80.94,180.94
"433",433,"ELECTRICA","M",80.69,19,85.86,185.86
"434",434,"INDUSTRIAL","F",85.91,21,61.8,161.8
"435",435,"ADMINISTRACION","M",88.05,22,81.54,181.54
"436",436,"SISTEMAS","F",85.31,21,62.07,162.07
"437",437,"MECATRONICA","F",89.09,22,61.02,161.02
"438",438,"ARQUITECTURA","M",85.91,21,77.94,177.94
"439",439,"INDUSTRIAL","M",83.76,20,83.84,183.84
"440",440,"TIC","F",88.24,22,57.57,157.57
"441",441,"ARQUITECTURA","M",84.5,21,76.92,176.92
"442",442,"CIVIL","M",92.14,23,80.99,180.99
"443",443,"INDUSTRIAL","F",85.94,21,63.78,163.78
"444",444,"INFORMATICA","F",88.95,22,58.72,158.72
"445",445,"CIVIL","M",86.71,21,83.32,183.32
"446",446,"ELECTRONICA","M",75.58,18,79.43,179.43
"447",447,"ELECTRICA","M",81.27,20,81.54,181.54
"448",448,"QUIMICA","F",84.53,21,56.79,156.79
"449",449,"ADMINISTRACION","M",86.82,21,76.64,176.64
"450",450,"ARQUITECTURA","M",77.88,19,85.98,185.98
"451",451,"QUIMICA","F",89.33,22,60.05,160.05
"452",452,"ELECTRONICA","M",83.91,20,80.21,180.21
"453",453,"ELECTRICA","M",83.39,20,71.87,171.87
"454",454,"BIOQUIMICA","M",80.61,19,83.86,183.86
"455",455,"ARQUITECTURA","M",80.96,20,79.58,179.58
"456",456,"MECANICA","F",86.2,21,61.02,161.02
"457",457,"INFORMATICA","F",87.76,22,60.81,160.81
"458",458,"QUIMICA","F",78.73,19,60.88,160.88
"459",459,"INFORMATICA","F",82.52,20,59.1,159.1
"460",460,"ARQUITECTURA","M",87.86,22,85.96,185.96
"461",461,"BIOQUIMICA","M",84.43,21,80.43,180.43
"462",462,"INDUSTRIAL","M",93.5,23,79.47,179.47
"463",463,"ARQUITECTURA","M",90.32,22,85.13,185.13
"464",464,"ELECTRONICA","M",88.06,22,78.82,178.82
